"time","PI.x","aimc.is[1]","aimc.is[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","loadInertia.w","powerSensor.flange_a.phi"
0,0,-6.9023285862481849,-0.60080539481678263,1.0503530217158425e-15,-2.7397642817826716e-16,-7.1637050819948591,-4.2368765592284321,157.07963267948966,0
5.0000000000000002e-05,0.28616544241564307,-6.8279840353310606,-0.7313717700889143,-1.4456559673222764e-06,2.4442858442836357e-06,-7.1637035859789187,-4.2368790886618974,157.07924179625783,0.0078539718630113112
0.0001,0.57169380471816711,-6.7519517421120705,-0.86176321636556485,-5.7750290029636386e-06,9.764051209706028e-06,-7.1636991055575061,-4.2368866638080549,157.07885059049363,0.015707924173812848
0.00015000000000000001,0.85657998725353601,-6.6742502602322054,-0.99194752455187207,-1.2976402481512849e-05,2.1938767412707927e-05,-7.1636916524926733,-4.2368992640363752,157.07845907179046,0.023561856916675426
0.00020000000000000001,1.1408188279546483,-6.5948985602149834,-1.1218925293775532,-2.303805541479839e-05,3.8947311774608915e-05,-7.1636812385450188,-4.2369168681115443,157.07806724990812,0.031415770076104736
0.00025000000000000001,1.4244052280374842,-6.513916024636984,-1.2515661180542181,-3.5948504365079e-05,6.0768595779283213e-05,-7.1636678752328145,-4.2369394548275743,157.07767513451935,0.039269663637081807
0.00030000000000000003,1.7073341884933431,-6.431322443235767,-1.3809362382164483,-5.1696708728420848e-05,8.7381430829856459e-05,-7.1636515736207862,-4.2369670028664954,157.07728273518325,0.04712353758554285
0.00035,1.9896006988478123,-6.347138008627053,-1.5099709057545274,-7.0271578403014237e-05,0.00011876463673190867,-7.1636323448243209,-4.236999490920021,157.07689006147231,0.054977391907318464
0.00040000000000000002,2.2711998023002984,-6.2613833110401211,-1.6386382126803811,-9.1662362941067029e-05,0.00015489676024599231,-7.163610199608657,-4.2370368973943924,157.07649712293241,0.062831226589055461
0.00045000000000000004,2.5521265210448116,-6.1740793338003757,-1.7669063352434939,-0.00011585815912959253,0.000195756500285525,-7.1635851488968196,-4.2370792008541205,157.07610392911286,0.07068504161702148
0.00050000000000000001,2.8323760450901343,-6.0852474472383919,-1.8947435417018157,-0.00014284895266161883,0.00024132210046665437,-7.163557202698092,-4.2371263793805749,157.07571048941972,0.078538836979514401
0.00055000000000000003,3.1119434644521675,-5.9949094048731926,-2.0221182003085696,-0.00017262421042412224,0.00029157205884238196,-7.1635263715548305,-4.2371784113257043,157.07531681334783,0.086392612663653362
0.00060000000000000006,3.3908240363347919,-5.9030873367738605,-2.1489987870835345,-0.0002051742919858858,0.0003464844369729198,-7.163492665091507,-4.2372352745777837,157.07492291025039,0.094246368658594565
0.00065000000000000008,3.6690129457648815,-5.8098037454027533,-2.2753538937760061,-0.00024048917183073105,0.00040603749422127706,-7.1634560933285067,-4.2372969472349062,157.07452878954149,0.10210010495261414
0.00069999999999999999,3.9465055047821855,-5.7150814991313146,-2.4011522355859789,-0.00027855951037437644,0.00047020917359042055,-7.1634166655806411,-4.2373634070586572,157.07413446052922,0.10995382153555341
