"time","imc.idq_rr[1]","imc.idq_rr[2]","loadInertia.phi","loadInertia.w","imc.idq_sr[1]","imc.idq_sr[2]","imc.is[1]","imc.is[2]","tauElectrical","tauShaft","wMechanical"
0,-119.20911382908156,-66.722330369359725,0,157.07963267948966,122.47448713915894,70.710678118654812,122.47448713915891,-3.1776437161565097e-15,-7.1286194924762558,-5.7028955939810047,157.07963267948966
0.00050000000000000001,-128.1790663234616,-47.252632470592793,0.078539201807502901,157.07717455133033,132.02814524135718,50.681050345539809,122.47448359486049,7.0885039130764355e-06,-7.1285698599584855,-5.7028558879667886,157.07717455133033
0.001,-133.99280083558057,-26.619751874415329,0.15707717455137016,157.07471642425745,138.33081236202312,29.403849259289636,122.47447901347724,1.6251276244759924e-05,-7.1285677902456417,-5.702854232196513,157.07471642425745
0.0015,-136.50732868392444,-5.3317494444696383,0.23561391823173522,157.07225829698586,141.22746122307589,7.4029856466558979,122.474486369978,1.5382743749418284e-06,-7.128571694065875,-5.7028573552527,157.07225829698586
0.002,-135.66088146664416,16.087224153608972,0.31414943284787578,157.06980016679768,140.64692112258416,-14.779836898278061,122.47451010471706,-4.5931166283153816e-05,-7.1285852018868177,-5.7028681615094543,157.06980016679768
0.0025000000000000001,-131.47444039624503,37.109830102628322,0.39268371839743876,157.06734203004194,136.6036301433526,-36.598473078480502,122.47455445709808,-0.00013463578568462253,-7.1286099334754383,-5.7028879467803506,157.06734203004194
0.0030000000000000001,-124.05120942025216,57.218520806485472,0.47121677487612712,157.0648838825262,129.19727301825733,-57.515777354726602,122.47462183840601,-0.00026939841836144847,-7.1286479620862035,-5.7029183696689625,157.0648838825262
0.0035000000000000001,-113.5740699964811,75.918281725067885,0.54974860227737588,157.06242571945464,118.61032031865273,-77.016828772112021,122.47471419656775,-0.00045411473615659432,-7.1287005145035014,-5.7029604116028008,157.06242571945464
0.0040000000000000001,-100.30107210474196,92.748814870508511,0.62827920059211473,157.05996753558875,105.10352985720372,-94.621604361972757,122.47483275699945,-0.00069123560228741179,-7.1287685865229076,-5.7030148692183262,157.05996753558875
0.0045000000000000005,-84.559075947511218,107.29586696811931,0.70680856980859341,157.05750932548031,89.00952144976452,-109.89679291156611,122.47497798741746,-0.00098169644205353223,-7.1288528042129791,-5.7030822433703836,157.05750932548031
0.0050000000000000001,-66.735700418211749,119.20142352971345,0.78533670991228754,157.05505108352091,70.724583212605594,-122.46645798404836,122.47514960330322,-0.0013249282179795035,-7.1289533237767753,-5.7031626590214204,157.05505108352091
0.0054999999999999997,-47.269776080067444,128.17251733628626,0.86386362088586954,157.05259280410414,50.698911154611871,-132.02128771789614,122.47534660731773,-0.0017189362500246777,-7.1290699637921513,-5.7032559710337214,157.05259280410414
0.0060000000000000001,-26.640538671135097,133.98843541670161,0.94238930270923915,157.05013448177385,29.425522453368178,-138.32620371069873,122.47556734610625,-0.0021604138299343685,-7.1292021164389734,-5.7033616931511784,157.05013448177385
