"time","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w","smpm3.is[1]","smpm3.is[2]","smpm3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpm3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpm3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[1]","smpmM.is[2]","smpmM.is[3]","smpmM.is[4]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x","vfController3.x"
0,0,0,0,0,5.3573660129412584e-14,-2.6786830064706295e-14,-0.50552761152221515,0,-0.50552761152221515,0,-6.4288392155295128e-14,-1.986620571702725e-14,5.2010401794674792e-14,5.2010401794674805e-14,-0.50552761152221504,0,-0.50552761152221504,0,0,0
5.0000000000000002e-05,9.0610506607115056e-20,5.2184045971913614e-15,9.0610448730636953e-20,5.2184016750610147e-15,0.0003877438576237516,-0.00019387183105479332,-0.50552761178867411,-6.8382053904833367e-17,-0.50552778806875598,-5.1388518428994763e-14,0.00023264631458492059,7.1891729298722494e-05,-0.00018821478236841213,-0.0001882148619874909,-0.505527611788674,-6.8382015616549706e-17,-0.50552778806875587,-5.1388498149972084e-14,3.9270608148137322e-07,3.9270608148137322e-07
0.0001,5.7863926112610223e-18,1.6662370002645276e-13,5.7863921347066974e-18,1.6662368811657995e-13,0.0015469171694878602,-0.00077345702406469801,-0.50552761364719023,-2.1820799877150156e-15,-0.50552831677080545,-8.2135006859918299e-13,0.00092815030170331271,0.00028681524490981232,-0.00075088873185767528,-0.00075089000296701903,-0.50552761364719012,-2.1820798317746232e-15,-0.50552831677080534,-8.2135002839166613e-13,1.5708043594765048e-06,1.5708043594765048e-06
0.00015000000000000001,1.2561466639213307e-16,1.8956766270449213e-12,1.2561466498917824e-16,1.895676604827262e-12,0.0034697199848359259,-0.0017348503163031968,-0.50552761914210453,-2.479746760346469e-14,-0.50552919583379674,-5.1020692766273222e-12,0.0020818319909122369,0.00064332784032651938,-0.0016842335196815305,-0.0016842414004814073,-0.50552761914210442,-2.4797467312801661e-14,-0.50552919583379663,-5.1020692259531967e-12,3.5343004483101942e-06,3.5343004483101942e-06
0.00020000000000000001,3.6868565119389579e-16,5.3081374935643101e-12,3.686856483516723e-16,5.3081374602157829e-12,0.0061555990344077782,-0.003077774659536099,-0.50552762841829402,-6.942813776990468e-14,-0.50553042513032287,-1.3112025951192275e-11,0.0036933594206552565,0.0011413272063152003,-0.0029879804148678656,-0.0029880006604222392,-0.50552762841829391,-6.9428137333967118e-14,-0.50553042513032276,-1.3112025903974884e-11,6.2831943684220199e-06,6.2831943684220199e-06
0.00025000000000000001,3.1281289978018955e-15,2.5647203093239641e-11,3.1281289927008179e-15,2.5647203046995634e-11,0.0095861618511190495,-0.0047930064573303141,-0.505527646279606,-3.3482493933607475e-13,-0.50553200041438984,-3.9391571282866988e-11,0.0057516971106817841,0.0017774212216548342,-0.0046531903833746053,-0.0046532510347038966,-0.50552764627960589,-3.3482493873211183e-13,-0.50553200041438973,-3.9391571233650517e-11,9.8174864752370038e-06,9.8174864752370038e-06
0.00030000000000000003,7.9674372906466487e-15,6.0129486591629382e-11,7.9674372825233551e-15,6.012948653087263e-11,0.013764789229989853,-0.0068822411145473749,-0.50552767184300496,-7.8469601803980537e-13,-0.50553392246645379,-8.1279920864087895e-11,0.0082588735380042678,0.0025522334208141133,-0.0066815065367185978,-0.006681631556560208,-0.50552767184300484,-7.8469601724697244e-13,-0.50553392246645368,-8.1279920810778741e-11,1.4137176701659369e-05,1.4137176701659369e-05
0.00035,1.4720288053504274e-14,1.076944337482304e-10,1.4720288041616822e-14,1.076944336713999e-10,0.018692769357446178,-0.0093461246323520517,-0.50552770477202735,-1.405213084023145e-12,-0.50553619158389218,-1.3776323567270121e-10,0.011215661614371169,0.0034660013894874113,-0.0090735549506137207,-0.0090737667477565915,-0.50552770477202724,-1.4052130830213239e-12,-0.50553619158389207,-1.3776323561448685e-10,1.9242265022123597e-05,1.9242265022123597e-05
0.00040000000000000002,2.3386681286374794e-14,1.6834204456304279e-10,2.3386681269981239e-14,1.6834204446857755e-10,0.024370102233166588,-0.012184657010583626,-0.5055277450666732,-2.1963761372860948e-12,-0.50553880776670512,-2.0884151570870708e-10,0.014622061339909922,0.0045187251277160343,-0.011829335625165398,-0.011829656608396358,-0.50552774506667308,-2.1963761360551673e-12,-0.50553880776670501,-2.0884151564477496e-10,2.5132751436629696e-05,2.5132751436629696e-05
0.00045000000000000004,4.4471314737844515e-14,2.9298560264039948e-10,4.4471314716138938e-14,2.9298560252941572e-10,0.030770360872932542,-0.015384556130658974,-0.50552779961103578,-3.820856795889089e-12,-0.50554176489844327,-3.3112744131124644e-10,0.0184622165238769,0.0057055500218490254,-0.014935992685862957,-0.014936501157430906,-0.50552779961103556,-3.8208567944441127e-12,-0.50554176489844316,-3.3112744124519788e-10,3.1808635991349955e-05,3.1808635991349955e-05
0.00050000000000000001,7.4738473228372477e-14,4.659425163873167e-10,7.4738473200568689e-14,4.6594251626010594e-10,0.03790168546297619,-0.018949913224400736,-0.50552786628463853,-6.0745352779090672e-12,-0.50554506486312933,-4.9334337190727345e-10,0.022741011277902852,0.0070279714168525794,-0.01839748607032694,-0.018398243115866172,-0.50552786628463831,-6.0745352762542592e-12,-0.50554506486312922,-4.9334337184134995e-10,3.9269918672062114e-05,3.9269918672062114e-05
0.00055000000000000003,1.1221368724152927e-13,6.7764309338007791e-10,1.1221368720685308e-13,6.7764309323642838e-10,0.045769043235345523,-0.022883224806907597,-0.50552794379354293,-8.8328554142321309e-12,-0.50554870881041469,-6.8860756534917276e-10,0.027461425941335264,0.0084869017888875489,-0.022216232176622532,-0.022217288375997422,-0.50552794379354271,-8.8328554123651035e-12,-0.50554870881041458,-6.8860756528478626e-10,4.7516599470087628e-05,4.7516599470087628e-05
0.00060000000000000006,1.568969567773149e-13,9.2808733361868289e-10,1.5689695673499209e-13,9.2808733345838304e-10,0.054372434190415569,-0.027184490878367065,-0.50552803213774922,-1.2095817204858282e-11,-0.50555269674029968,-9.1692002163694417e-10,0.032623460514366494,0.010082341138013212,-0.026392231004904766,-0.026393636937981947,-0.50552803213774899,-1.2095817202776645e-11,-0.50555269674029957,-9.1692002157550688e-10,5.6548678385426475e-05,5.6548678385426475e-05
0.00065000000000000008,2.3555210226555777e-13,1.3228402326685528e-09,2.3555210221489417e-13,1.3228402324927164e-09,0.063680566796982752,-0.031837955598465771,-0.50552813944780128,-1.723510710336214e-11,-0.50555702139267367,-1.2372810261812786e-09,0.03820834007830657,0.011808560224756322,-0.030910248501209065,-0.030912144399207888,-0.50552813944780106,-1.7235107101081015e-11,-0.50555702139267356,-1.2372810261226241e-09,6.6366155470749997e-05,6.6366155470749997e-05
