"time","aimc3.is[1]","aimc3.is[2]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[1]","aimcM.is[2]","aimcM.is[3]","aimcM.is[4]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w"
0,0,0,0,0,0,0,2.3276697898574062e-19,-1.4058237689203452e-19,7.3329453714798094e-20,-2.7993849741336962e-20,0,0,-3.2061595034758992e-23,3.8040202034539241e-23,0,0,0,0
5.0000000000000002e-05,2.2210631847476838e-05,-0.001235696682833573,-2.8906575752631329e-11,2.7315383083279503e-09,-1.41747231611972e-08,9.0329244554329902e-07,1.3326379107996678e-05,-0.00080277899090365761,-0.00050947108094079958,0.00048790854659709441,-2.8906575751555458e-11,2.7315383083279789e-09,-1.4174723160677057e-08,9.0329244554302807e-07,8.0563001680585673e-23,2.9653481828654585e-18,8.0563001666803589e-23,2.9653481823016221e-18
0.0001,4.4418465844561338e-05,-0.0012463425780726684,-1.1561184823384558e-10,5.4614676060588244e-09,-2.8403502113782344e-08,9.0559289818867535e-07,2.6651079507293249e-05,-0.00079835963632645074,-0.00052006447000304558,0.00047694211752336859,-1.1561184823759137e-10,5.4614676060475243e-09,-2.8403502114377589e-08,9.0559289818416892e-07,1.288603413748482e-21,2.3715001902972013e-17,1.2886034272320477e-21,2.3715002167197558e-17
0.00015000000000000001,6.660704266966402e-05,-0.0012565311623878223,-2.8698815902785581e-10,8.186208941868612e-09,-4.2701813973827735e-08,9.0755908071752151e-07,3.9964225603100707e-05,-0.00079364886928777077,-0.00053046620195586647,0.00046580272659597986,-2.8698815903313607e-10,8.1862089418805515e-09,-4.2701813975216082e-08,9.0755908071550229e-07,1.0756278235902739e-20,1.0525097794656397e-16,1.0756278163417668e-20,1.0525097724597411e-16
0.00020000000000000001,8.8794749315205699e-05,-0.0012666991964514767,-4.6216885681312085e-10,1.0910716136822643e-08,-5.700324690475147e-08,9.0951024289561444e-07,5.3276849591156198e-05,-0.00078892500948252241,-0.00054085932002618825,0.00045465556657418128,-4.6216885681977919e-10,1.0910716136859404e-08,-5.7003246906916261e-08,9.095102428963917e-07,2.0598246381759669e-20,1.8953370652869205e-16,2.0598246218771928e-20,1.8953370480713637e-16
0.00025000000000000001,0.00011090939039634499,-0.0012759873509248477,-7.9649911951667516e-10,1.3617710765729292e-08,-7.1411891936538898e-08,9.1082422803648566e-07,6.6545634239434335e-05,-0.000783659006048632,-0.00055087353556744912,0.0004432004375651248,-7.9649911952345225e-10,1.3617710765768199e-08,-7.1411891938273675e-08,9.1082422803728611e-07,9.3269327061749777e-20,5.0434130446688108e-16,9.3269326809371583e-20,5.0434130266227124e-16
0.00030000000000000003,0.00013301709705023051,-0.0012851919987414101,-1.1459337763278459e-09,1.632304333103212e-08,-8.5830712137987527e-08,9.1207774067093528e-07,7.9810258231252987e-05,-0.00077834154943587711,-0.00056085179063888164,0.00043171608016980814,-1.145933776334622e-09,1.632304333107102e-08,-8.583071213917782e-08,9.1207774067149559e-07,1.7190332493623272e-19,8.4102730640918057e-16,1.7190332459456965e-19,8.4102730461053067e-16
0.00035,0.00015512480370411582,-0.0012943966465579723,-1.4953684331390162e-09,1.9028375896334944e-08,-1.0024953233943613e-07,9.133312533053849e-07,9.3074882223071029e-05,-0.00077302409282312232,-0.00057083004571031491,0.00042023172277449219,-1.4953684331457917e-09,1.9028375896373838e-08,-1.0024953234008194e-07,9.1333125330570497e-07,2.5053732281071558e-19,1.1777133083514797e-15,2.5053732237976761e-19,1.1777133065587897e-15
0.00040000000000000002,0.00017723251035800113,-0.0013036012943745347,-1.8448030899501872e-09,2.1733708461637771e-08,-1.1466835254088477e-07,9.1458476593983441e-07,0.00010633950621488946,-0.00076770663621036808,-0.00058080830078174731,0.00040874736537917564,-1.8448030899569616e-09,2.1733708461676659e-08,-1.1466835254098608e-07,9.1458476593991445e-07,3.2917132068519855e-19,1.5143993102937789e-15,3.2917132016496568e-19,1.5143993085070492e-15
0.00045000000000000004,0.00019907651887125202,-0.0013111607602162448,-2.4777692119397938e-09,2.437983721657238e-08,-1.2919312588167081e-07,9.1466806817327626e-07,0.00011944591132275147,-0.00076144091979627793,-0.00059004228018183383,0.00039677473584441634,-2.4777692119465675e-09,2.4379837216611261e-08,-1.2919312588167785e-07,9.146680681733147e-07,8.6017041212686478e-19,2.6796758941716315e-15,8.6017041154338736e-19,2.679675892449657e-15
0.00050000000000000001,0.00022086532550695775,-0.0013183758279757534,-3.1700890676463605e-09,2.7013572401031784e-08,-1.4374007917491734e-07,9.1450640162877132e-07,0.00013251919530417482,-0.00075497669716099221,-0.00059912045486380393,0.00038469989269986364,-3.1700890676531335e-09,2.7013572401070658e-08,-1.4374007917492433e-07,9.1450640162880975e-07,1.4858664264992427e-18,4.0184074585386267e-15,1.4858664258579719e-18,4.018407456893716e-15
