"Time","smee.stator.stray.port_p.Phi.re","constantSpeedQS.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smeeQS.short.port_p.reference.gamma","smee.excitation.electroMagneticConverter.Phi.re","constantSpeed.phi"
14.9047,-0.0046488387,2338.8787,0.017923472,0.44955546,-0.08143872,4.6924295,0.34615588,2338.0933
14.9048,-0.002089344,2338.8943,0.0037937539,0.44989687,-0.081544548,4.6924505,0.34615582,2338.1089
14.9049,0.00047221154,2338.9099,-0.010339724,0.44979429,-0.081569955,4.6924715,0.34615576,2338.1245
14.905,0.0030333023,2338.9258,-0.024463015,0.44924781,-0.081514917,4.692492,0.34615567,2338.1404
14.9051,0.0055914018,2338.9414,-0.038562179,0.44825798,-0.081379488,4.692513,0.34615561,2338.156
14.9052,0.0081439875,2338.957,-0.052623305,0.4468258,-0.081163794,4.692534,0.34615555,2338.1716
14.9053,0.010688542,2338.9727,-0.066632509,0.44495264,-0.080868058,4.692555,0.34615549,2338.1873
14.9054,0.013222557,2338.9885,-0.08057598,0.44264033,-0.080492571,4.6925759,0.34615543,2338.2031
14.9055,0.015743531,2339.0042,-0.094439939,0.43989122,-0.080037691,4.6925969,0.34615535,2338.2188
14.9056,0.018248979,2339.0198,-0.10821071,0.43670797,-0.079503886,4.6926179,0.34615529,2338.2344
14.9057,0.020736432,2339.0356,-0.12187472,0.43309376,-0.078891665,4.6926389,0.34615523,2338.2502
14.9058,0.023203433,2339.0513,-0.13541846,0.42905211,-0.078201644,4.6926599,0.34615517,2338.2659
14.9059,0.025647551,2339.0669,-0.14882858,0.42458704,-0.077434495,4.6926808,0.34615508,2338.2815
14.906,0.028066376,2339.0828,-0.16209184,0.41970298,-0.076590978,4.6927018,0.34615502,2338.2974
14.9061,0.030457521,2339.0984,-0.17519513,0.41440469,-0.075671926,4.6927228,0.34615496,2338.313
14.9062,0.03281863,2339.114,-0.18812555,0.40869743,-0.07467825,4.6927438,0.3461549,2338.3286
14.9063,0.035147373,2339.1296,-0.20087034,0.40258682,-0.073610917,4.6927643,0.34615484,2338.3442
14.9064,0.037441451,2339.1455,-0.21341689,0.39607888,-0.072470985,4.6927853,0.34615475,2338.3601
14.9065,0.039698608,2339.1611,-0.22575286,0.38918009,-0.071259588,4.6928062,0.34615469,2338.3757
14.9066,0.041916609,2339.1768,-0.23786603,0.38189721,-0.069977909,4.6928272,0.34615463,2338.3914
14.9067,0.044093274,2339.1926,-0.24974449,0.37423742,-0.068627216,4.6928482,0.34615454,2338.4072
14.9068,0.046226457,2339.2083,-0.26137647,0.36620829,-0.067208841,4.6928692,0.34615448,2338.4229
14.9069,0.048314046,2339.2239,-0.27275053,0.35781777,-0.065724179,4.6928902,0.34615442,2338.4385
14.907,0.050353989,2339.2397,-0.28385544,0.3490741,-0.064174704,4.6929111,0.34615433,2338.4543
14.9071,0.05234427,2339.2554,-0.29468024,0.33998594,-0.062561937,4.6929321,0.34615427,2338.47
14.9072,0.054282933,2339.271,-0.3052142,0.33056223,-0.060887463,4.6929531,0.34615421,2338.4856
14.9073,0.056168057,2339.2866,-0.315447,0.32081228,-0.059152946,4.6929741,0.34615412,2338.5012
14.9074,0.057997789,2339.3025,-0.32536849,0.31074575,-0.05736009,4.6929951,0.34615406,2338.5171
14.9075,0.059770323,2339.3181,-0.33496886,0.30037251,-0.055510662,4.6930161,0.346154,2338.5327
14.9076,0.061483908,2339.3337,-0.3442387,0.28970283,-0.053606488,4.6930366,0.34615391,2338.5483
14.9077,0.063136861,2339.3496,-0.35316885,0.27874723,-0.051649448,4.6930575,0.34615386,2338.5642
14.9078,0.064727545,2339.3652,-0.36175042,0.26751655,-0.049641468,4.6930785,0.3461538,2338.5798
14.9079,0.066254392,2339.3809,-0.36997503,0.25602183,-0.047584526,4.6930995,0.34615371,2338.5955
14.908,0.067715898,2339.3965,-0.37783453,0.24427445,-0.045480661,4.6931205,0.34615365,2338.6111
14.9081,0.069110624,2339.4124,-0.38532117,0.23228598,-0.043331936,4.6931415,0.34615359,2338.627
14.9082,0.070437193,2339.428,-0.39242753,0.22006825,-0.041140478,4.6931624,0.3461535,2338.6426
14.9083,0.071694292,2339.4436,-0.39914662,0.20763333,-0.038908448,4.6931834,0.34615344,2338.6582
14.9084,0.072880685,2339.4595,-0.40547183,0.1949935,-0.03663804,4.6932044,0.34615335,2338.6741
14.9085,0.073995203,2339.4751,-0.41139686,0.1821612,-0.034331501,4.6932254,0.34615329,2338.6897
14.9086,0.075036742,2339.4907,-0.41691592,0.16914913,-0.031991102,4.6932464,0.34615323,2338.7053
14.9087,0.076004282,2339.5066,-0.42202356,0.1559701,-0.029619154,4.6932673,0.34615314,2338.7212
14.9088,0.076896869,2339.5222,-0.42671469,0.14263715,-0.027217992,4.6932883,0.34615308,2338.7368
14.9089,0.077713609,2339.5378,-0.43098471,0.1291634,-0.024789987,4.6933088,0.34615299,2338.7524
14.909,0.078453712,2339.5535,-0.43482941,0.11556218,-0.022337534,4.6933298,0.34615293,2338.7681
14.9091,0.079116441,2339.5693,-0.438245,0.1018469,-0.019863049,4.6933508,0.34615287,2338.7839
14.9092,0.079701148,2339.585,-0.44122809,0.088031083,-0.017368974,4.6933718,0.34615278,2338.7996
14.9093,0.080207244,2339.6006,-0.44377574,0.074128374,-0.01485777,4.6933928,0.34615272,2338.8152
14.9094,0.080634244,2339.6165,-0.44588545,0.060152501,-0.012331911,4.6934137,0.34615263,2338.8311
14.9095,0.080981717,2339.6321,-0.44755512,0.046117246,-0.0097938906,4.6934347,0.34615257,2338.8467
14.9096,0.081249326,2339.6477,-0.44878313,0.032036465,-0.0072462098,4.6934557,0.34615248,2338.8623
14.9097,0.081436805,2339.6636,-0.44956821,0.01792405,-0.0046913819,4.6934767,0.34615242,2338.8782
14.9098,0.081543967,2339.6792,-0.44990966,0.0037939285,-0.0021319268,4.6934977,0.34615234,2338.8938
14.9099,0.081570715,2339.6948,-0.44980708,-0.010339951,0.00042963159,4.6935186,0.34615228,2338.9094
14.91,0.081517011,2339.7104,-0.44926059,-0.024463642,0.0029907669,4.6935396,0.34615219,2338.925
14.9101,0.081382908,2339.7263,-0.44827074,-0.038563207,0.0055489531,4.6935606,0.34615213,2338.9409
14.9102,0.081168555,2339.7419,-0.4468385,-0.052624732,0.0081016673,4.6935811,0.34615204,2338.9565
14.9103,0.080874145,2339.7576,-0.44496527,-0.066634335,0.010646393,4.6936021,0.34615198,2338.9722
