"time","aimc.idq_rr[1]","aimc.idq_rr[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.is[1]","aimc.is[2]","inductor.inductor[1].i","inductor.inductor[3].i","loadInertia.phi","loadInertia.w"
0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,-1.2384580267462022e-05,0.00078852143243922205,1.2821489054223515e-05,-0.00081638271996900579,1.2821489054223758e-05,-0.00071341891923090857,1.282313129330113e-05,0.00070059706847102232,4.5805063730835241e-23,1.3218495912698874e-18
0.0001,-2.4766673998496029e-05,0.00078807005944860477,2.5643293549156793e-05,-0.00081608636490563375,2.5643293549157203e-05,-0.00071957317046495491,2.5644943984141683e-05,0.00069392949091203631,3.5238274575857583e-22,7.6106376795533405e-18
0.00015000000000000001,-3.7140179956338703e-05,0.00078742482640567902,3.8458833421686173e-05,-0.00081558921074505251,3.8458833421686918e-05,-0.00072555039226855818,3.8460491617784833e-05,0.00068709114595670096,1.3783667235682983e-21,2.3783596270488854e-17
0.00020000000000000001,-4.9502242945407106e-05,0.00078657924810833317,5.1264733747862866e-05,-0.00081488452427714621,5.1264733747872766e-05,-0.00073134306604872787,5.1266399135059537e-05,0.00068007788774630481,3.6537449406006767e-21,5.4050041132324944e-17
0.00025000000000000001,-6.184817302754575e-05,0.00078553977661942255,6.4056499106183274e-05,-0.00081397889234567688,6.4056499106197613e-05,-0.00073695464846875282,6.405817136037816e-05,0.00067289767475749228,9.4946273477789401e-21,1.0886507006917786e-16
0.00030000000000000003,-7.4176542343013655e-05,0.00078430651621936675,7.6832788512774781e-05,-0.00081287239484860766,7.6832788512785216e-05,-0.00074238453823036643,7.6834467380030677e-05,0.00066555124861081153,1.9580500473056695e-20,1.9134588098138176e-16
0.00035,-8.6488045941624233e-05,0.00078287941614681709,8.9594254728243852e-05,-0.00081156499289341817,8.9594254728244164e-05,-0.00074763302803195961,8.9595939920469986e-05,0.00065803824830216063,3.3580605649500527e-20,2.9997509246449977e-16
0.00040000000000000002,-9.8769502478329821e-05,0.00078125987724542319,0.00010232719811180419,-0.00081005798921898731,0.00010232719811180283,-0.00075269439625808758,0.00010232888894719254,0.00065036664732737962,5.7795328543919373e-20,4.5287289723481817e-16
0.00045000000000000004,-0.00011102696502411057,0.00077944725622680958,0.00011503790974359841,-0.00080835078558811886,0.00011503790974359764,-0.00075757127036021974,0.00011503960572114182,0.00064253278413780993,8.9331437736771616e-20,6.4171823152459107e-16
0.00050000000000000001,-0.00012325816083019145,0.00077744188729198243,0.000127724043598532,-0.00080644369757612371,0.00012772404359853229,-0.00076226275062204454,0.00012772574424035042,0.00063453810506596583,1.2980012561017326e-19,8.7015959194706609e-16
0.00055000000000000003,-0.00013545004199510711,0.00077524566599952531,0.00014037212708394728,-0.00080433851423734588,0.00014037212708394747,-0.00076676365011374675,0.00014037383202224896,0.00062639089571035333,1.8832045963226283e-19,1.1590124260292913e-15
0.00060000000000000006,-0.00014760950743370315,0.0007728575900965253,0.00015298928366485064,-0.00080203428963165826,0.00015298928366485091,-0.00077107671135964782,0.000152990992473636,0.00061808677516430384,2.6007084683644309e-19,1.4972708260133019e-15
0.00065000000000000008,-0.00015973140993855571,0.00077027864452053308,0.00016557017973086295,-0.00079953197317756471,0.0001655701797308632,-0.00077520008977510118,0.00016557189198606394,0.00060962923246229441,3.4987006140594491e-19,1.8933430202444403e-15
0.00069999999999999999,-0.00017180679139849637,0.00076751054343990159,0.00017810553275832231,-0.00079683321722668178,0.00017810553275832239,-0.00077913057507675168,0.00017810724803923238,0.00060102433985984949,4.6610461495262207e-19,2.3618625445498713e-15
0.00075000000000000002,-0.00018384133129814838,0.00076455220006383068,0.00019060122791089912,-0.00079393697418031148,0.00019060122791089945,-0.00078287020259934948,0.0001906029457946805,0.00059226824751840016,6.034574196610784e-19,2.8935516683732094e-15
0.00080000000000000004,-0.0001958290206835981,0.00076140508558204421,0.00020305102669522217,-0.00079084469155190284,0.0002030510266952222,-0.00078641710667962767,0.00020305274673359369,0.00058336532828884508,7.6898580880352212e-19,3.4974219691431574e-15
0.00085000000000000006,-0.0002077632617654697,0.00075807081535056984,0.00021544807928919663,-0.00078755795870110096,0.00021544807928919676,-0.00078976923883236779,0.00021544980100594044,0.00057432038353089055,9.7043868495979811e-19,4.1833680958570559e-15
0.00090000000000000008,-0.00021964365238550358,0.00075454948783098836,0.00022779196817229012,-0.00078407687250491552,0.00022779196817229025,-0.00079292647419525479,0.00022779369108948545,0.00056513370590414677,1.2082883707517412e-18,4.9519931618601045e-15
0.00095,-0.00023146722479587808,0.00075084182962565987,0.00024007961222998961,-0.00078040214787228877,0.0002400796122299895,-0.00079588789134033748,0.00024008133585714947,0.00055580745510544472,1.4860203955651324e-18,5.8077478734925674e-15
0.001,-0.00024323101124877183,0.00074694856733694456,0.00025230793034778211,-0.0007765344997121632,0.00025230793034778179,-0.00079865256883966511,0.00025230965418185342,0.00054634379083161582,1.8071202887857546e-18,6.7550829370947164e-15
0.0010500000000000002,-0.00025493204399636333,0.00074287042756720307,0.00026447384141115466,-0.00077247464293348032,0.00026447384141115395,-0.00080121958526528582,0.00026447556493651799,0.00053674487277949171,2.1750735797993903e-18,7.7984490590068183e-15
0.0011000000000000001,-0.00026656794453215865,0.00073861028367491462,0.00027657484623558261,-0.00076822547494756791,0.00027657484623558163,-0.00080359020025675245,0.00027657656918790547,0.00052701445968115644,2.6043397374274722e-18,8.94707416004465e-15
0.00115,-0.00027813549941769653,0.00073416796714891074,0.00028860762106445634,-0.00076378680064504052,0.00028860762106445504,-0.00080576258296607571,0.00028860934305682356,0.00051715404449814012,3.0938285865462419e-18,1.0203417034533035e-14
0.0012000000000000001,-0.00028963178791213429,0.00072954437584993813,0.00030056913120697642,-0.0007591595090449012,0.00030056913120697474,-0.00080773598596089709,0.00030057085186095553,0.0005071659144909945,3.6479011072489303e-18,1.1572309493138245e-14
0.00125,-0.00030105390103300311,0.00072474045047749372,0.00031245635358481883,-0.00075434453271822229,0.00031245635358481661,-0.00080950970533229401,0.00031245807253572558,0.00049705238882919258,4.2711372657725584e-18,1.3058678676356108e-14
0.0013000000000000002,-0.00031239892979783451,0.00071975713173107398,0.00032426626511965971,-0.00074934280423607645,0.00032426626511965705,-0.00081108303717134444,0.00032426798201655774,0.00048681578668220672,4.9681170283541577e-18,1.4667451724682473e-14
0.0013500000000000001,-0.00032366431404822149,0.00071459629148765103,0.00033599618797408137,-0.00074415622436993457,0.0003359961879740785,-0.00081245628867571997,0.00033599790242423391,0.00047645909311425777,5.7485842715879621e-18,1.6402966803493635e-14
0.0014,-0.00033484774189756794,0.00070926046437984856,0.00034764369003220457,-0.00073878738299759065,0.00034764369003220121,-0.00081363048668744314,0.00034764540156153825,0.00046598576713306202,6.6259582302739075e-18,1.8269142881396644e-14
0.0014500000000000001,-0.00034594593133150937,0.00070374959530745387,0.00035920537901563011,-0.00073323617729815333,0.00035920537901562631,-0.00081460384602181056,0.00035920708722322312,0.00045539741580130915,7.5992965931361204e-18,2.0271536947942267e-14
0.0015,-0.0003569560555098592,0.00069806484424681772,0.0003706783131445423,-0.00072750376783783336,0.00037067831314453829,-0.00081537590086873575,0.00037068001763014015,0.00044469651509564248,8.6743953416686912e-18,2.2414937449752533e-14
0.0015500000000000002,-0.0003678752875924307,0.00069220737117429033,0.00038205955063912574,-0.00072159131518284201,0.0003820595506391214,-0.00081594618541813257,0.00038206125100314107,0.00043388554099270556,9.8570504573657196e-18,2.4704132833449506e-14
0.0016000000000000001,-0.00037870080073903735,0.00068617833606622266,0.00039334614971956475,-0.00071549997989939012,0.00039334614971956003,-0.00081631423385991446,0.00039334784556307756,0.00042296696946914178,1.1153057921721289e-17,2.7143911545655197e-14
0.00165,-0.00038943085515162797,0.0006799811985675209,0.00040453625774648929,-0.00070923332424194599,0.00040453625774648436,-0.00081648220487726098,0.00040453794861038182,0.00041194481186073291,1.2581060183688548e-17,2.9736449949715895e-14
0.0017000000000000001,-0.0004000625135372376,0.0006736168849885418,0.00041562682227409939,-0.000702792264744653,0.00041562682227409402,-0.00081644936598912357,0.0004156285077061057,0.00040082138813850245,1.4145547913796156e-17,3.2486801902254767e-14
0.00175,-0.00041059279928260049,0.00066708623845642681,0.0004266147514603942,-0.00069617763106819941,0.00042661475146038851,-0.00081621488978173441,0.00042661643101730149,0.00038959896273672731,1.5850547102359538e-17,3.5400115743722263e-14
