"Time","rootMeanSquareVoltage.mean.y","rectifier.thyristor_p.off","pulse2.twoPulse.timerPositive[1].entryTime","inductor.i","meanCurrent.x","meanVoltage.y","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","rectifier.thyristor_n.off"
4.9591966,12099.99,1,4.9400001,6.3090854,0.056399789,1.7127008,120.59191,-0.0016833262,4.9499998,6.1631565,0
4.9593964,12099.99,1,4.9400001,6.3146577,0.057662245,1.7127008,120.82599,0.005137085,4.9499998,6.1631565,0
4.9595966,12099.99,1,4.9400001,6.3182921,0.058925625,1.7127008,120.94762,0.010038149,4.9499998,6.1631565,0
4.9597964,12099.99,1,4.9400001,6.3199773,0.060189534,1.7127008,120.99306,0.013000519,4.9499998,6.1631565,0
4.9599962,12099.99,1,4.9400001,6.3197093,0.061453585,1.7127008,120.99977,0.01401251,4.9499998,6.1631565,0
4.96,12099.99,1,4.9400001,6.3196864,0.061476111,1.7127008,120.99977,0.01401282,4.9499998,6.1631565,0
4.96,12099.977,1,4.96,6.3196864,0,1.401282,0,0,4.9499998,6.1476111,0
4.9601965,12099.977,1,4.96,6.3174915,0.001241276,1.401282,0.0060310643,-0.00094269199,4.9499998,6.1476111,0
4.9603963,12099.977,1,4.96,6.3133364,0.002504441,1.401282,0.049455348,-0.0038357251,4.9499998,6.1476111,0
4.9605966,12099.977,1,4.96,6.3072619,0.0037665826,1.401282,0.16775827,-0.0086680092,4.9499998,6.1476111,0
4.9607964,12099.977,1,4.96,6.2992959,0.0050273198,1.401282,0.39724329,-0.015420462,4.9499998,6.1476111,0
4.9609966,12099.977,1,4.96,6.2894716,0.006286277,1.401282,0.77246118,-0.024066433,4.9499998,6.1476111,0
4.9611964,12099.977,1,4.96,6.2778311,0.0075430865,1.401282,1.3256639,-0.034571797,4.9499998,6.1476111,0
4.9613967,12099.977,1,4.96,6.2644224,0.0087973904,1.401282,2.0862947,-0.046895094,4.9499998,6.1476111,0
4.9615965,12099.977,1,4.96,6.2493019,0.010048841,1.401282,3.0805264,-0.060987681,4.9499998,6.1476111,0
4.9617963,12099.977,1,4.96,6.2325315,0.0112971,1.401282,4.3308477,-0.076793939,4.9499998,6.1476111,0
4.9619966,12099.977,1,4.96,6.21418,0.012541846,1.401282,5.8557081,-0.094251484,4.9499998,6.1476111,0
