"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.w","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia.phi","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","transformer.l2sigma.inductor[1].i","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","transformer.l2sigma.inductor[3].i"
2.0043979,0.13923241,121.30097,-0.31121546,132.71019,0.2852262,-478.03906,0.016942384,-0.029380962,542.46008,-0.0056659826
2.0044978,0.14000702,121.32472,-0.32285395,132.72234,0.2796742,-473.30884,0.01703578,-0.027225601,552.401,-0.0061750328
2.0045979,0.14078885,121.34877,-0.33430427,132.73447,0.27374151,-468.09204,0.017112361,-0.025054699,561.93481,-0.0066779871
2.0046978,0.14157796,121.37311,-0.34555471,132.7466,0.26743421,-462.39627,0.017172052,-0.022868965,571.05225,-0.0071743494
2.0047977,0.14237441,121.39771,-0.35659367,132.75874,0.26075888,-456.22946,0.01721479,-0.020669103,579.74438,-0.007663629
2.0048978,0.14317821,121.42258,-0.36740988,132.77087,0.2537224,-449.60013,0.017240535,-0.01845582,588.00287,-0.0081453444
2.0049977,0.1439894,121.44769,-0.37799227,132.78302,0.24633193,-442.51715,0.017249264,-0.016229816,595.8197,-0.0086190188
2.0050979,0.14480798,121.47304,-0.38832992,132.79517,0.23859508,-434.98981,0.017240966,-0.013991795,603.1875,-0.0090841856
2.0051978,0.14563395,121.4986,-0.39841226,132.80733,0.23051976,-427.02795,0.017215649,-0.011742451,610.09937,-0.0095403856
2.0052979,0.14646728,121.52437,-0.40822887,132.81947,0.22211418,-418.64169,0.017173339,-0.0094824824,616.54877,-0.009987168
2.0053978,0.14730798,121.55032,-0.41776967,132.83162,0.21338688,-409.84161,0.017114077,-0.0072125811,622.52979,-0.010424092
2.0054979,0.14815596,121.57645,-0.42702481,132.84378,0.20434672,-400.63867,0.017037923,-0.0049334345,628.03711,-0.010850728
2.0055978,0.14901118,121.60275,-0.43598476,132.85594,0.19500287,-391.04419,0.016944949,-0.0026457291,633.06573,-0.011266653
