"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","transformer.l2sigma.inductor[3].i","loadInertia.phi","transformer.l2sigma.inductor[2].i","aimc.idq_sr[1]","aimc.idq_rr[2]"
2.0041978,-543.24786,189.18968,521.39355,-486.00806,121.2544,-0.0046316078,132.68591,-0.012073918,-210.76036,528.34027
2.0042977,-547.95776,190.94264,532.11884,-482.27179,121.27751,-0.0051513379,132.69804,-0.011680924,-212.65729,532.66815
2.0043979,-552.48608,192.7189,542.45709,-478.03525,121.30095,-0.005665984,132.71017,-0.011276402,-214.5791,536.81885
2.0044978,-556.83276,194.51517,552.39801,-473.30508,121.3247,-0.0061750356,132.72231,-0.010860748,-216.5224,540.79236
2.0045979,-560.99799,196.32812,561.93195,-468.08838,121.34875,-0.0066779903,132.73444,-0.010434374,-218.48376,544.58893
2.0046978,-564.98193,198.15451,571.04938,-462.39261,121.37309,-0.0071743494,132.74658,-0.0099977022,-220.45981,548.2088
2.0047977,-568.78485,199.99109,579.74158,-456.22586,121.39769,-0.0076636272,132.75871,-0.009551161,-222.4472,551.65234
2.0048978,-572.40717,201.83461,588,-449.59656,121.42255,-0.0081453389,132.77086,-0.009095192,-224.44258,554.91998
2.0049977,-575.84924,203.68188,595.81689,-442.51358,121.44767,-0.0086190104,132.783,-0.0086302459,-226.44264,558.01221
2.0050979,-579.11169,205.52974,603.18469,-434.9863,121.47301,-0.0090841753,132.79515,-0.0081567802,-228.44411,560.92963
2.0051978,-582.19507,207.37502,610.09656,-427.02448,121.49858,-0.0095403781,132.8073,-0.0076752636,-230.44371,563.67279
2.0052979,-585.10004,209.2146,616.54596,-418.63824,121.52435,-0.009987168,132.81944,-0.0071861702,-232.43822,566.24261
2.0053978,-587.82745,211.04539,622.52704,-409.8382,121.5503,-0.010424093,132.8316,-0.0066899825,-234.42441,568.63971
2.0054979,-590.37805,212.86433,628.03436,-400.63528,121.57643,-0.010850729,132.84377,-0.0061871903,-236.39914,570.86511
2.0055978,-592.75275,214.66841,633.06305,-391.04083,121.60272,-0.011266655,132.85591,-0.005678291,-238.35925,572.91974
2.0056977,-594.95264,216.45461,637.60864,-381.06656,121.62917,-0.011671459,132.86809,-0.0051637869,-240.30165,574.80457
2.0057979,-596.9787,218.21999,641.6673,-370.72446,121.65573,-0.012064742,132.88025,-0.0046441876,-242.22325,576.52075
2.0058978,-598.83215,219.96161,645.23572,-360.02695,121.68242,-0.012446116,132.89241,-0.0041200048,-244.12105,578.06946
2.0059979,-600.5141,221.67661,648.31097,-348.98669,121.70921,-0.012815204,132.90459,-0.0035917503,-245.99202,579.4519
2.0060978,-602.02582,223.36212,650.89081,-337.61673,121.73609,-0.013171643,132.91676,-0.0030599493,-247.83322,580.66937
2.0061979,-603.36871,225.01538,652.97351,-325.93036,121.76305,-0.013515081,132.92892,-0.0025251273,-249.64174,581.72327
2.0062978,-604.54419,226.63359,654.55774,-313.94116,121.79006,-0.013845181,132.94112,-0.0019878128,-251.4147,582.61493
2.006398,-605.55371,228.21407,655.64282,-301.66299,121.81712,-0.014161618,132.95329,-0.0014485371,-253.14929,583.34601
2.0064979,-606.39886,229.75412,656.22858,-289.10999,121.84421,-0.01446408,132.96547,-0.00090783223,-254.84273,583.91803
2.006598,-607.08118,231.25108,656.31525,-276.29642,121.87132,-0.014752259,132.97766,-0.00036622561,-256.49222,584.33252
2.0066979,-607.60242,232.70242,655.90375,-263.23688,121.89843,-0.015025875,132.98985,0.00017574379,-258.09509,584.59119
2.0067978,-607.96423,234.10558,654.99542,-249.94612,121.92554,-0.01528466,133.00204,0.00071754074,-259.64874,584.69586
2.0068979,-608.16852,235.45805,653.59216,-236.43912,121.95261,-0.015528362,133.01424,0.00125863,-261.15051,584.64825
2.0069978,-608.21704,236.75745,651.69635,-222.73099,121.97966,-0.015756741,133.02643,0.0017984767,-262.59793,584.45032
2.007098,-608.11182,238.00134,649.31091,-208.83702,122.00665,-0.015969573,133.03864,0.0023365482,-263.98843,584.10382
2.0071979,-607.85468,239.18739,646.43921,-194.77261,122.03358,-0.016166631,133.05084,0.0028723183,-265.31958,583.61084
2.007298,-607.44769,240.31332,643.08508,-180.55333,122.06042,-0.016347731,133.06303,0.003405255,-266.58902,582.97333
2.0073979,-606.89294,241.37689,639.25311,-166.19482,122.08719,-0.016512698,133.07526,0.0039348318,-267.79437,582.19336
2.007498,-606.19263,242.37593,634.948,-151.71288,122.11385,-0.016661366,133.08746,0.0044605262,-268.93338,581.27313
2.0075979,-605.34882,243.30833,630.17529,-137.12329,122.1404,-0.016793599,133.09967,0.0049818191,-270.00385,580.21466
2.0076978,-604.36383,244.17201,624.94067,-122.44196,122.16682,-0.016909258,133.11189,0.005498196,-271.00354,579.02026
2.007798,-603.23981,244.96494,619.25049,-107.68481,122.1931,-0.017008215,133.12411,0.006009148,-271.93036,577.69214
2.0078979,-601.97919,245.68517,613.11151,-92.86779,122.21923,-0.017090386,133.13632,0.0065141711,-272.78226,576.2326
2.007998,-600.58429,246.33081,606.53094,-78.006897,122.24521,-0.017155686,133.14856,0.0070127659,-273.55725,574.64392
2.0080979,-599.0575,246.90002,599.51654,-63.11808,122.27101,-0.017204059,133.16078,0.0075044413,-274.25339,572.92859
2.008198,-597.40131,247.39105,592.07629,-48.217297,122.29663,-0.017235458,133.173,0.0079887128,-274.8688,571.08899
2.0082979,-595.61816,247.80215,584.21869,-33.320442,122.32206,-0.017249849,133.18524,0.008465101,-275.4017,569.1275
2.0083981,-593.71057,248.13164,575.95276,-18.44334,122.34729,-0.0172472,133.19748,0.0089331334,-275.85031,567.04663
2.008498,-591.68109,248.37794,567.28772,-3.6017954,122.37231,-0.017227527,133.20972,0.0093923509,-276.21289,564.84894
2.0085981,-589.53229,248.53952,558.23334,11.188501,122.3971,-0.017190853,133.22195,0.0098422999,-276.48788,562.53693
2.008698,-587.26685,248.61491,548.79974,25.911955,122.42167,-0.017137213,133.23419,0.010282537,-276.67374,560.11316
2.0087979,-584.88739,248.60272,538.99738,40.553089,122.44601,-0.017066667,133.24643,0.01071263,-276.76892,557.58032
2.008898,-582.39661,248.50159,528.8371,55.096565,122.47009,-0.016979279,133.25868,0.011132153,-276.772,554.94104
2.0089979,-579.79718,248.31017,518.33002,69.527214,122.49393,-0.016875118,133.27094,0.011540684,-276.68158,552.19788
2.0090981,-577.09186,248.0273,507.4877,83.829994,122.5175,-0.016754301,133.28319,0.011937827,-276.49637,549.35364
