"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","mass.v","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","vfController.x","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[2]","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","mass.s"
0.29383954,-0.24186584,1.1580775,0.14118242,13.562519,0.24395537,-347.89664,0.1417999,193.31654,0.097302862
0.29484239,-0.24275742,1.1668712,0.11137702,13.655253,0.25648633,-348.43906,0.12778187,221.06409,0.098468684
0.29584527,-0.24308541,1.1754557,0.080461502,13.748304,0.26614514,-346.06537,0.11360042,247.40892,0.099643223
0.29684815,-0.24284887,1.1838397,0.048701793,13.841671,0.27281836,-340.76224,0.099282838,272.11307,0.10082626
0.297851,-0.24204789,1.1920319,0.016376374,13.935354,0.27641675,-332.54047,0.084856577,294.94855,0.10201762
0.29885387,-0.24068357,1.200042,-0.016225414,14.029353,0.27687749,-321.43607,0.070349216,315.69867,0.1032171
0.29985672,-0.23875803,1.20788,-0.048806913,14.123668,0.27416429,-307.50986,0.055788446,334.16193,0.10442452
0.3008596,-0.23627435,1.2155563,-0.081065267,14.218298,0.26826984,-290.8483,0.041202027,350.15176,0.10563973
0.30186248,-0.23323661,1.2230816,-0.11269554,14.313245,0.25921524,-271.56259,0.02661778,363.50076,0.10686255
0.30286533,-0.2296499,1.2304673,-0.1433924,14.408507,0.24705169,-249.78912,0.01206353,374.06088,0.10809285
0.3038682,-0.22552031,1.2377248,-0.17285372,14.504086,0.23186004,-225.68834,-0.002432904,381.70624,0.10933049
0.30487105,-0.22085486,1.244866,-0.20078333,14.59998,0.21375079,-199.44382,-0.01684376,386.33447,0.11057536
0.30587393,-0.21566163,1.2519029,-0.2268938,14.696191,0.19286476,-171.26242,-0.031141357,387.86801,0.11182732
0.30687678,-0.20994964,1.258848,-0.25090986,14.792718,0.16937068,-141.37086,-0.045298152,386.25595,0.11308631
0.30787966,-0.20372893,1.2657137,-0.272571,14.88956,0.14346646,-110.01698,-0.059286755,381.47464,0.1143522
0.30888253,-0.19701053,1.272513,-0.29163462,14.986718,0.11537579,-77.465134,-0.073080003,373.52911,0.11562496
0.30988538,-0.18980646,1.2792586,-0.30787882,15.084192,0.085348368,-43.996552,-0.086650997,362.45346,0.1169045
0.31088826,-0.18212976,1.2859637,-0.32110509,15.181983,0.053657051,-9.9059362,-0.099973135,348.31161,0.1181908
0.31189111,-0.17399441,1.2926412,-0.33114076,15.280089,0.020595765,24.501129,-0.11302017,331.19714,0.1194838
0.31289399,-0.16541545,1.2993042,-0.33784172,15.378511,-0.013521976,58.909069,-0.12576628,311.23398,0.12078349
0.31389683,-0.15640889,1.3059663,-0.34109393,15.477249,-0.048367526,92.998177,-0.13818611,288.57471,0.12208985
0.31489971,-0.14699173,1.31264,-0.34081587,15.576303,-0.083598472,126.44484,-0.15025489,263.40106,0.1234029
0.31590259,-0.13718192,1.3193384,-0.33696005,15.675673,-0.11886241,158.92561,-0.16194837,235.9227,0.12472266
0.31690544,-0.12699836,1.3260746,-0.32951385,15.77536,-0.15380044,190.12085,-0.17324299,206.3752,0.12604915
0.31790832,-0.11646092,1.3328607,-0.31850129,15.875362,-0.18805014,219.71674,-0.18411589,175.01967,0.12738243
0.31891116,-0.10559036,1.3397094,-0.30398309,15.97568,-0.22124982,247.40988,-0.19454497,142.13986,0.12872253
0.31991404,-0.094408341,1.3466322,-0.28605664,16.076313,-0.25304219,272.91068,-0.204509,108.03963,0.13006954
0.32091689,-0.082937419,1.3536408,-0.26485679,16.177263,-0.28307793,295.94553,-0.21398763,73.041924,0.13142355
0.32191977,-0.071200959,1.360746,-0.24055433,16.27853,-0.31101987,316.2616,-0.2229615,37.483971,0.13278462
0.32292265,-0.059223127,1.3679584,-0.21335527,16.380112,-0.33654672,333.62936,-0.23141226,1.7149806,0.13415287
0.3239255,-0.047028851,1.3752878,-0.1835002,16.48201,-0.35935673,347.84534,-0.23932269,-33.906311,0.13552842
0.32492837,-0.034643732,1.3827431,-0.1512612,16.584223,-0.37917149,358.73575,-0.24667667,-69.01722,0.13691136
0.32593122,-0.022094039,1.3903331,-0.11694077,16.686752,-0.39573944,366.15866,-0.2534593,-103.25327,0.13830186
0.3269341,-0.009406615,1.3980651,-0.080868855,16.789598,-0.40883917,370.00656,-0.259657,-136.25264,0.13970004
0.32793698,0.003391173,1.405946,-0.043399449,16.892759,-0.41828239,370.20859,-0.26525739,-167.66107,0.14110605
0.32893983,0.016271496,1.4139818,-0.0049082278,16.996239,-0.42391703,366.73218,-0.27024952,-197.13441,0.14252006
0.3299427,0.029206153,1.4221776,0.034211922,17.100031,-0.42562944,359.58447,-0.27462387,-224.34413,0.14394218
0.33094555,0.042166639,1.4305373,0.073554739,17.204142,-0.42334637,348.81305,-0.27837226,-248.98129,0.14537261
0.33194843,0.055124223,1.4390643,0.11270404,17.308567,-0.4170374,334.50699,-0.28148803,-270.75943,0.1468115
0.33295128,0.068050042,1.4477608,0.15123914,17.413307,-0.4067153,316.79626,-0.283966,-289.41998,0.14825904
0.33395416,0.080915183,1.4566281,0.18873896,17.518366,-0.3924371,295.85126,-0.28580248,-304.7352,0.14971538
0.33495703,0.093690768,1.4656665,0.22478648,17.623739,-0.37430534,271.88269,-0.28699535,-316.51129,0.1511807
0.33595988,0.10634805,1.4748757,0.25897419,17.729427,-0.35246632,245.13869,-0.28754398,-324.59241,0.15265517
0.33696276,0.11885849,1.4842542,0.29090837,17.835434,-0.32711059,215.90375,-0.28744921,-328.86255,0.15413897
0.33796561,0.13119388,1.4938,0.32021418,17.941755,-0.29847163,184.4962,-0.28671354,-329.24841,0.15563224
0.33896849,0.1433264,1.50351,0.3465403,18.048391,-0.2668232,151.26396,-0.28534082,-325.72113,0.15713517
0.33997133,0.15522875,1.5133805,0.36956337,18.155346,-0.2324784,116.58284,-0.28333649,-318.29755,0.15864792
0.34097421,0.16687414,1.5234075,0.38899261,18.262615,-0.19578588,80.851135,-0.28070742,-307.0412,0.16017066
0.34197709,0.17823654,1.5335859,0.40457347,18.370199,-0.15712653,44.484989,-0.27746189,-292.06213,0.16170353
0.34297994,0.1892906,1.5439103,0.41609204,18.4781,-0.11691088,7.9157972,-0.27360961,-273.5174,0.16324668
0.34398282,0.2000118,1.5543749,0.42337787,18.586317,-0.075573422,-28.417471,-0.26916161,-251.60928,0.16480024
0.34498566,0.21037658,1.5649736,0.42630681,18.694851,-0.03356855,-64.072701,-0.26413026,-226.58354,0.16636437
0.34598854,0.22036228,1.5757,0.42480457,18.803699,0.0086336229,-98.608398,-0.25852913,-198.72887,0.1679392
0.34699139,0.22994733,1.5865474,0.41884705,18.912865,0.050554026,-131.59236,-0.25237301,-168.37169,0.16952485
0.34799427,0.23911123,1.5975089,0.40846297,19.022345,0.091709048,-162.60498,-0.24567786,-135.87456,0.17112142
0.34899715,0.24783467,1.6085778,0.39373448,19.132143,0.13161664,-191.24532,-0.23846067,-101.63216,0.17272906
0.34999999,0.25609955,1.6197473,0.37479684,19.242254,0.16980237,-217.13713,-0.23073947,-66.066071,0.17434783
