"time","constantSpeedE.phi","constantSpeedM.phi","smeeE.is[1]","smeeE.is[2]","smeeE.idq_dr[1]","smeeE.idq_rr[2]","smeeE.idq_sr[1]","smeeE.idq_sr[2]","smeeM.is[1]","smeeM.is[2]","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeM.stator.stray.port_p.Phi.re"
0,-1.5707963267948966,-1.5707963267948966,0,0,0,0,0,0,-1.0992661191890732e-13,-3.4707893936360567e-13,0.45015815807855297,7.0322006051771677e-17,-1.477716713512396e-16,-3.4990727328477179e-17
0.00050000000000000001,-1.4923088703327112,-1.4923088703327112,0.15511780968541194,-0.14065856892656367,-0.27277734344137999,-0.092920575366800984,-0.14182012308256159,0.096215094348241381,0.15499567985473228,-0.13962511618668363,0.44461714831358545,0.070419087650212764,-2.2835041730409365e-05,4.9336657213539094e-05
0.001,-1.4138214138705261,-1.4138214138705261,0.3335724262854769,-0.24159402459774845,-0.53773733211503072,-0.17845492280714767,-0.29059193867082384,0.18517154289225027,0.33347652450820675,-0.24056454464393009,0.42813067373141261,0.13910405916958032,-2.7135041815386959e-05,0.00010614887456117337
0.0015,-1.3353339574083412,-1.3353339574083412,0.51882884821426078,-0.28992489403616517,-0.79485944047233004,-0.25655991040762233,-0.44636943409037089,0.26679371634822896,0.51878397432823076,-0.28892071817156478,0.4011050598224169,0.20436405248341491,-1.0853361766362868e-05,0.00016513406782239372
0.002,-1.2568465009461562,-1.2568465009461562,0.69340988730309694,-0.2757865589831639,-1.0440747918590716,-0.32725530140840431,-0.60925674243048433,0.34107093591312049,0.69342244115098017,-0.27485471870223566,0.36420590360519006,0.26459312659071793,2.6411043871103519e-05,0.0002207232183200548
0.0025000000000000001,-1.1783590444839713,-1.1783590444839713,0.8397944451935434,-0.19288293107509508,-1.2852795336297522,-0.39062587157582251,-0.77939450635080987,0.40805992009535447,0.83985572415527399,-0.19202142398133151,0.31834172355817075,0.31830920202092894,8.3767603183434067e-05,0.00026733437996667042
0.0030000000000000001,-1.0998715880217864,-1.0998715880217864,0.9413197120831881,-0.038878094984893655,-1.5183477995692303,-0.44682164431305593,-0.95694660061816872,0.46788530235875225,0.94143156690590835,-0.038066757628367198,0.2646415770320763,0.36419055896106411,0.00015902127300878926,0.00029966697491164748
0.0035000000000000001,-1.0213841315596015,-1.0213841315596015,0.98305042567849377,0.18438741972423592,-1.7431440992078318,-0.49605633170474511,-1.1420873964373051,0.5207382907669873,0.9832064324723524,0.18515300244099089,0.20442728616288516,0.40110836309137948,0.00024874350567540753,0.00031296432761544551
0.0040000000000000001,-0.94289667509741681,-0.94289667509741681,0.95257996742201823,0.47086431830185499,-1.9595348477129422,-0.53860412204695196,-1.3349898634162478,0.56687360849214197,0.95277555918653367,0.47159724109950796,0.13918088901769912,0.42815438479421269,0.00034843435622330146,0.00030327787980336321
0.0045000000000000005,-0.86440921863523179,-0.86440921863523179,0.84073080635544972,0.81044774982029244,-2.1673988610391337,-0.57479502432956797,-1.5358146939468078,0.60660492750173511,0.84096076749071103,0.81115677215943183,0.070508171958531624,0.44466335449492617,0.00045269143515028258,0.00026768612618500174
