"time","aimc.idq_rr[1]","aimc.idq_rr[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.is[1]","aimc.is[2]","loadInertia.phi","loadInertia.w","transformer.l2sigma.inductor[2].i","transformer.l2sigma.inductor[3].i"
0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,-0.00040497642165330513,0.00067669916271133259,0.00041928481671816572,-0.00070060964606117866,0.00041928481671813558,-0.00081638815998451807,2.7145515206316589e-23,1.0173035052378334e-18,0.0012356428358064144,-0.0012135009110971705
0.0001,-0.00041547246227254875,0.00067011423682977278,0.00043023887011695749,-0.00069393916427616577,0.00043023887011692767,-0.00081608838000261138,2.724848994046591e-22,7.0595000359852908e-18,0.0012462975643150317,-0.0012019479359289252
0.00015000000000000001,-0.00042586300353739684,0.00066336348447838898,0.00044108564467529109,-0.00068709578661136272,0.00044108564467526133,-0.00081558522837636748,1.1655316986180324e-21,2.2935342436509153e-17,0.001256641774864528,-0.0011900956165554453
0.00020000000000000001,-0.00043614575550745551,0.00065645066343393121,0.00045182306078979796,-0.0006800831528169486,0.00045182306078976836,-0.00081488081742022095,3.8612658976326767e-21,5.668453476202634e-17,0.0012666752673380626,-0.001177950030149537
0.00025000000000000001,-0.00044631897801043714,0.0006493770247364512,0.000462449275385257,-0.00067290254202076254,0.00046244927538522756,-0.00081397533335376439,9.670116667042236e-21,1.1255667060295694e-16,0.0012763964310109649,-0.0011655134375483252
0.00030000000000000003,-0.00045637700278649884,0.00064214658707419082,0.00047295835831186287,-0.00066555801858589835,0.0004729583583118337,-0.00081286933094378477,2.266898729527468e-20,2.0439112456973719e-16,0.0012857999875398281,-0.0011527929740287064
0.00035,-0.00046632200005646728,0.00063475781180192918,0.00048335258006090739,-0.00065804802637949044,0.00048335258006087823,-0.00081156259778533441,4.1296943620852179e-20,3.2688918068246252e-16,0.0012948879578571974,-0.0011397859076893646
0.00040000000000000002,-0.00047615396982034257,0.00062721069891966607,0.00049363194063239057,-0.00065037256540153849,0.00049363194063236152,-0.0008100551338784133,6.5553985643774748e-20,4.8005083894113304e-16,0.0013036603419630732,-0.0011264922385302995
0.00045000000000000004,-0.00048586313735281663,0.00061951259240478442,0.0005037862616534335,-0.00064253911383999702,0.00050378626165340466,-0.00080834832633732486,1.0244088139544562e-19,6.8030890513059938e-16,0.001312108351062361,-0.0011129249163560426
0.00050000000000000001,-0.00049544654560365218,0.00061166571395757541,0.0005138124639623219,-0.00063454993399654372,0.00051381246396229327,-0.00080644259479193574,1.5407550346215958e-19,9.3263463222361142e-16,0.0013202293263684659,-0.0010990878587419078
0.00055000000000000003,-0.0005049093185539817,0.00060366621381240755,0.00052371588313514076,-0.00062640110575140314,0.00052371588313511203,-0.00080433721210697708,2.1678799901687801e-19,1.228413825535357e-15,0.0013280278750308289,-0.0010849742773074542
0.00060000000000000006,-0.00051425145620380506,0.00059551409196928083,0.00053349651917188989,-0.00061809262910457496,0.00053349651917186137,-0.00080203217828244853,2.9057836805960082e-19,1.5676464850658367e-15,0.00133550399704945,-0.0010705841720526823
0.00065000000000000008,-0.00052345556105425257,0.00058722392683052444,0.0005431361836879822,-0.00060963935951465213,0.00054313618368795379,-0.00079953126433058295,3.9482486394318457e-19,1.9854544808256383e-15,0.0013426432720807426,-0.0010559432745151395
0.00069999999999999999,-0.00053252820489798236,0.00057879021149896237,0.00055264174722803973,-0.00060103568542824724,0.00055264174722801165,-0.00079683304577590308,5.2220747681642233e-19,2.4685707536124194e-15,0.0013494511473162148,-0.0010410418647729678
0.00075000000000000002,-0.00054147147753889088,0.00057021119480322113,0.00056201539459789344,-0.00059227982239372845,0.00056201539459786525,-0.00079393706964087931,6.703984726951356e-19,3.0127764314296766e-15,0.0013559293549410757,-0.0010258768519297212
0.00080000000000000004,-0.00055028314819120609,0.00056148898219423606,0.00057125478859492947,-0.00058337391926878489,0.0005712547885949015,-0.00079084402828955285,8.4291600637708728e-19,3.6229079571856992e-15,0.0013620762499701204,-0.001010451957784085
0.00085000000000000006,-0.00055894694075644068,0.0005526389353114864,0.00058034287668976036,-0.000574333654394127,0.0005803428766897325,-0.00078755897329857427,1.0654289855216295e-18,4.3342526373092823e-15,0.0013678798303807705,-0.00099479433705558398
0.00090000000000000008,-0.00056747307726129294,0.0005436514064443114,0.00058929036853806987,-0.00056514918115832926,0.00058929036853804222,-0.00078407873208014977,1.3218163317501728e-18,5.1246486626476069e-15,0.0013733476339128181,-0.00097888693551785133
0.00095,-0.00057586155770576297,0.00053452639559271127,0.00059809726413985801,-0.00055582049956139155,0.00059809726413983068,-0.00078040330463427933,1.6120780450627165e-18,5.9940960332006706e-15,0.0013784796605662633,-0.00096272975317088737
0.001,-0.00058410775105639909,0.00052526891114146464,0.00060675870564524102,-0.00054635273696135994,0.0006067587056452137,-0.00077653470245834307,1.9460226438653079e-18,6.9523056941329491e-15,0.0013832730640310862,-0.00094633167039487017
0.0010500000000000002,-0.00059220332566054901,0.00051588796363276736,0.00061526595333806424,-0.00053675511794421666,0.00061526595333803702,-0.00077247654442006385,2.3412965496852071e-18,8.0167485237877805e-15,0.0013877227235352875,-0.00092970866380578476
0.0011000000000000001,-0.0006001505906315449,0.0005063810557993921,0.00062362142942625398,-0.0005270250859206073,0.00062362142942622677,-0.0007682278275520769,2.7930090656925817e-18,9.1825824770402512e-15,0.0013918300582982449,-0.00091285630549256546
0.00115,-0.00060794747299319199,0.00049675042953022412,0.00063182295940442796,-0.00051716493603507819,0.00063182295940440074,-0.00076378945225517338,3.3055507507924706e-18,1.0454154436365698e-14,0.0013955937942343847,-0.00089577857055427002
0.0012000000000000001,-0.00061559189976929571,0.00048699832671414764,0.00063986836876720344,-0.00050717696343217597,0.00063986836876717623,-0.00075916231893014485,3.8833121638899147e-18,1.1835811284239458e-14,0.0013990126572581325,-0.00087847943408995576
0.00125,-0.0006230817979836614,0.0004771269892400476,0.00064775548300919847,-0.0004970634632564465,0.00064775548300917125,-0.00075434732797778235,4.5306838638899473e-18,1.3331899903136852e-14,0.0014020853732839144,-0.00086096287119868085
0.0013000000000000002,-0.00063041509466009427,0.00046713865899680865,0.00065548212762503075,-0.00048682673065243655,0.00065548212762500343,-0.00074934537979887757,5.2520564096976104e-18,1.4946767175533224e-14,0.0014048106682261559,-0.00084323285697950241
0.0013500000000000001,-0.00063758971682239976,0.00045703557787331545,0.000663046128109318,-0.00047646906076469225,0.00066304612810929046,-0.00074415737479422176,6.0518203602179372e-18,1.6684759983903895e-14,0.0014071872679992832,-0.0008252933665314784
0.0014,-0.00064460722135073392,0.00044682309255125556,0.00067044898641398318,-0.00046599594399114645,0.00067044898641395543,-0.00073878881876386279,6.9570986622749711e-18,1.8557102054012691e-14,0.0014092221751194427,-0.00080715391212454572
0.0014500000000000001,-0.00065146363817251182,0.0004365018222406388,0.00067768660658188156,-0.00045540800551944344,0.0006776866065818538,-0.00073323820515761083,7.9604010930298804e-18,2.056454617718675e-14,0.0014109097898446898,-0.00078881557492867173
0.0015,-0.00065815698342483009,0.00042607408505328546,0.00068475690436497984,-0.00044470761893788057,0.00068475690436495186,-0.0007275065474392125,9.0666762935038756e-18,2.2711608063006951e-14,0.0014122490412807485,-0.00077028246598094432
0.0015500000000000002,-0.00066468540715192809,0.00041554231363831153,0.00069165793114151885,-0.00043389727570918507,0.00069165793114149066,-0.00072159502896780277,1.0281711513414157e-17,2.5003057111102226e-14,0.0014132391638611496,-0.00075155890058734183
0.0016000000000000001,-0.0006710470593980451,0.00040490894064483339,0.00069838773828973877,-0.00042297946729608445,0.00069838773828971037,-0.00071550483310251628,1.161129400247791e-17,2.7443662721101475e-14,0.0014138793920194259,-0.00073264919405384259
0.00165,-0.00067724009020741994,0.00039417639872196705,0.0007049443771878802,-0.00041195668516130605,0.00070494437718785158,-0.00070923714320248778,1.3061211010412331e-17,3.0038194292633621e-14,0.0014141689601891085,-0.00071355766168642481
0.0017000000000000001,-0.00068326264962429177,0.00038334712051882872,0.00071132589921418397,-0.00040083142076757723,0.00071132589921415535,-0.00070279314262685234,1.4637249786934615e-17,3.279142122532758e-14,0.0014141071028037292,-0.00069428861879106683
0.00175,-0.00068911553084603533,0.00037242531710710231,0.00071753306460141354,-0.00038960804262850159,0.00071753306460138448,-0.00069617699473574891,1.6361071061522268e-17,3.570580606463815e-14,0.0014136987443114611,-0.00067484963061170092
0.0018000000000000002,-0.00069479844582958012,0.00036141447205525465,0.00072356552546527634,-0.00037829015140836727,0.00072356552546524685,-0.00068939164385377566,1.8247842164501014e-17,3.8784755025912556e-14,0.0014129464815337174,-0.00065524693293301844
0.0018500000000000001,-0.00070030765118956066,0.00035031574403478281,0.00072941939268904971,-0.00036687889393963819,0.00072941939268901968,-0.00068243613860861853,2.0291979337191438e-17,4.2034690029750488e-14,0.0014118454728472847,-0.00063548251295951529
0.0019,-0.00070564155507005396,0.00033913173935503103,0.00073509298216645116,-0.00035537694497617215,0.00073509298216642047,-0.00067531195335192621,2.2500819850190676e-17,4.546015521501947e-14,0.0014103955083068708,-0.00061556100334861136
0.0019500000000000001,-0.00071079856561513687,0.00032786506432534328,0.00074058460979119808,-0.0003437869792718271,0.00074058460979116664,-0.00066802056243534728,2.4881700974095873e-17,4.9065694720587056e-14,0.0014085963779671845,-0.00059548703675772643
0.002,-0.00071577709096888587,0.00031651832525506378,0.00074589259145700865,-0.00033211167158046106,0.00074589259145697623,-0.00066056344021053054,2.744195997950414e-17,5.2855852685320706e-14,0.0014064478718829336,-0.00057526524584428074
0.0020500000000000002,-0.00072057553927537793,0.00030509412845353649,0.00075101524305760004,-0.00032035369665593184,0.00075101524305756675,-0.00065294206102912457,3.0188934137012619e-17,5.6835173248087988e-14,0.001403949780108827,-0.00055490026326569428
0.0021000000000000003,-0.000725192584087347,0.00029359521859000494,0.00075595115338612231,-0.00030851587672897309,0.00075595115338608783,-0.00064515816341121496,3.3131377140356415e-17,6.1007863731250188e-14,0.0014011024298700183,-0.00053439697712346268
0.00215,-0.00072963316005018799,0.00028202760429713719,0.0007607053490386608,-0.00029660451306673575,0.00076070534903862534,-0.00063721971771227282,3.6311456651782712e-17,6.5370185825788672e-14,0.0013979188204498029,-0.00051376630154341722
0.0022000000000000001,-0.00073389151626267657,0.00027039172373688187,0.00076527186948060024,-0.00028461996940951382,0.0007652718694805636,-0.00062912405867332586,3.9714314102238975e-17,6.9931961701522686e-14,0.001394390324256525,-0.0004930088662861103
0.0022500000000000003,-0.00073796637057767179,0.0002586903446725326,0.00076964934905552273,-0.00027256509260383183,0.00076964934905548478,-0.00062087296890757577,4.3348939604735128e-17,7.4697342461798188e-14,0.0013905173581760092,-0.00047212960208994578
0.0023,-0.00074185644084803271,0.00024692623486738293,0.00077383642210701001,-0.00026044272949621468,0.00077383642210697098,-0.000612468231028225,4.7224323272281106e-17,7.9670479209961034e-14,0.001386300339094079,-0.0004511334396933278
0.0023500000000000001,-0.00074556044492661837,0.00023510216208472636,0.00077783172297864417,-0.00024825572693318673,0.00077783172297860373,-0.00060391162764847491,5.134945521788693e-17,8.4855523049357319e-14,0.0013817396838965584,-0.00043002530983465945
0.0024000000000000002,-0.00074907710066628803,0.0002232208940878564,0.00078163388601400696,-0.00023600693176127263,0.00078163388601396521,-0.00059520494138152796,5.5733325554562536e-17,9.0256625083332912e-14,0.0013768358094692703,-0.00040881014325234468
0.0024499999999999999,-0.00075240512591990042,0.00021128519864006676,0.00078524154555668023,-0.00022369919082699724,0.00078524154555663719,-0.00058634995484058595,6.0384924395317835e-17,9.5877936415233772e-14,0.0013715891326980393,-0.00038749287068478737
0.0025000000000000001,-0.00075554733044160308,0.00019929946175025371,0.00078865755161306144,-0.00021133708754268564,0.00078865755161301688,-0.00057735206238035701,6.5331532020925858e-17,1.0171841662055522e-13,0.0013660078966147469,-0.00036608143162115378
0.0025500000000000002,-0.00075850334614251797,0.00018726681266911262,0.00079188148023112877,-0.00019892385667290044,0.00079188148023108269,-0.00056821385341311701,7.0586224243879626e-17,1.0778105710728492e-13,0.0013600942663276119,-0.0003445814289014706
0.0026000000000000003,-0.00076126990017092713,0.00017518923188558657,0.00079490991484006688,-0.00018646150022719584,0.00079490991484001917,-0.00055893535344459086,7.6149093034707072e-17,1.1407253465021778e-13,0.0013538448513127287,-0.00032299632951086562
0.00265,-0.00076384604371057779,0.00016306961898707897,0.00079774183319609939,-0.00017395300651470289,0.00079774183319604995,-0.00054951863930451181,8.2030618444087036e-17,1.2059657744499297e-13,0.0013472607059825943,-0.00030133130928396899
0.0027000000000000001,-0.00076623082794521739,0.00015091087356099275,0.0008003762130554498,-0.00016140136384455218,0.00080037621305539862,-0.00053996578782261346,8.8241280522698604e-17,1.2735691368724981e-13,0.001340342884749706,-0.00027959154405541052
0.0027500000000000003,-0.00076842330405859326,0.00013871589519473128,0.00080281203217434172,-0.00014880956052587478,0.00080281203217428892,-0.00053027887582862948,9.4791559321220614e-17,1.3435727157262751e-13,0.0013330924420265613,-0.00025778220965982029
0.0028,-0.00077042252323445261,0.0001264875834756979,0.00080504826830899876,-0.00013618058486780172,0.00080504826830894412,-0.00052045998015229323,1.0169193489033194e-16,1.4160137929676521e-13,0.0013255104322256578,-0.00023590848193182865
0.0028500000000000001,-0.00077222824399320056,0.00011422902944427431,0.00080708462922698997,-0.00012351763218776938,0.00080708462922693327,-0.00051051172190346242,1.089552702426291e-16,1.490921826734767e-13,0.0013175991837322447,-0.00021397589516467894
0.0029000000000000002,-0.00077384487759300292,0.00010194458348530537,0.00080892562458380476,-0.00011082525946791861,0.00080892562458374643,-0.00050044030237218003,1.1661010310059032e-16,1.5682748114472492e-13,0.0013093694049032142,-0.00019199234153015817
0.0029499999999999999,-0.00077526855088582282,8.9636353664894686e-05,0.00081056721406024739,-9.8105599185915535e-05,0.00081056721406018754,-0.00049024554817868023,1.2465706166966486e-16,1.6481423749609351e-13,0.0013008168831838104,-0.00016996151489259852
0.0030000000000000001,-0.0007764989409177771,7.7307408970989625e-05,0.00081200902133782347,-8.53618228150282e-05,0.00081200902133776232,-0.00047993001774013336,1.3310873448194071e-16,1.7305548765973165e-13,0.0012919438002172452,-0.00014788890825633222
0.0030500000000000002,-0.00077753577356106372,6.4960831607166608e-05,0.00081325072048931009,-7.2597116117907766e-05,0.00081325072048924764,-0.00046949630704431415,1.4197787456075565e-16,1.815542135614848e-13,0.0012827524255866038,-0.0001257800393693968
0.0031000000000000003,-0.00077837882351396094,5.2599716992630587e-05,0.00081429203597875425,-5.9814679146588095e-05,0.00081429203597869083,-0.00045894704964960102,1.5127739942069777e-16,1.9031334312089505e-13,0.0012732451168148457,-0.00010364045072353374
0.00315,-0.00077902791430082803,4.0227173762215296e-05,0.00081513274266147397,-4.7017726242485861e-05,0.0008151327426614099,-0.0004482849166849761,1.6102039106760511e-16,1.9933575025120089e-13,0.0012634243193648043,-8.1475709554189549e-05
0.0032000000000000002,-0.00077948291827210534,2.784632376638276e-05,0.00081577266578405753,-3.4209486036400265e-05,0.00081577266578399291,-0.00043751261685002493,1.712200959985663e-16,2.0862425485933741e-13,0.0012532925666391866,-5.9291407840514465e-05
0.0032500000000000003,-0.00077974301780264722,1.545950982269636e-05,0.00081621092005311599,-2.1392387836391615e-05,0.00081621092005305083,-0.00042663181134054728,1.8188999187259684e-16,2.1818061966391978e-13,0.0012428506414452136,-3.7091755218573477e-05
0.0033,-0.00077980812361439389,3.0698166436949725e-06,0.00081644737044146319,-8.5696235686520265e-06,0.0008164473704413977,-0.00041564519693211945,1.9304365951886975e-16,2.2800747606501595e-13,0.0012321011055432146,-1.4882280251776159e-05
0.0033500000000000001,-0.00077967841720803593,-9.3194198331431244e-06,0.0008164821609140785,4.2553561238276445e-06,0.00081648216091401269,-0.00040455583395172042,2.0469482422843452e-16,2.381077028348749e-13,0.0012210471609708478,7.3310410321834618e-06
0.0034000000000000002,-0.00077935384703616798,-2.1705152720408761e-05,0.00081631519550996051,1.7079396725199943e-05,0.00081631519550989459,-0.00039336640630971003,2.1685740122037964e-16,2.4848374199652499e-13,0.0012096913962512962,2.954274470616172e-05
0.0034500000000000004,-0.00077883440145710471,-3.408433148074742e-05,0.00081594641947182285,2.9899339253863913e-05,0.00081594641947175704,-0.00038207962238576165,2.295454710100318e-16,2.5913796945417716e-13,0.0011980364656489686,5.1747359088608821e-05
0.0035000000000000001,-0.00077812010873488078,-4.6453901926858994e-05,0.00081537581924609449,4.2712020262464965e-05,0.00081537581924602878,-0.00037069821502886232,2.4277327940895607e-16,2.7007269499322466e-13,0.0011860850891694998,7.3939404743568452e-05
0.0035500000000000002,-0.0007772110370392511,-5.881080622149822e-05,0.00081460342248291953,5.5514271837895304e-05,0.00081460342248285415,-0.00035922494155731248,2.5655523752495566e-16,2.8129016228024385e-13,0.0011738400525597491,9.6113394480678489e-05
0.0036000000000000003,-0.00077610763677591439,-7.1151977215640476e-05,0.00081362965436272987,6.8302915836761176e-05,0.00081362965436266492,-0.00034766276691424391,2.7090520711512697e-16,2.9279246651735225e-13,0.0011613047437604288,0.00011826382420449823
0.00365,-0.00077481137600053749,-8.3474327939305845e-05,0.00081245599898950105,8.1074753185583946e-05,0.00081245599898943643,-0.00033601520363054569,2.8583517409857057e-16,3.0458140159688192e-13,0.0011484841486391738,0.00014038515592954792
0.0037000000000000002,-0.0007733216916798423,-9.5774802024956628e-05,0.00081108182600256806,9.382661521881386e-05,0.00081108182600250376,-0.0003242846806707474,3.0136161308922194e-16,3.1665919345865352e-13,0.0011353800734281434,0.00016247189927474923
0.0037500000000000003,-0.00077163899128438905,-0.00010805032406385428,0.0008095075148910868,0.00010655531313471439,0.00080950751489102294,-0.00031247414936273852,3.1749922128505538e-16,3.2902777807344237e-13,0.001121995848405517,0.00018451853122922611
0.0038,-0.00076976373611070909,-0.00012029781476708632,0.00080773350083731502,0.00011925765343139105,0.00080773350083725138,-0.00030058659295141555,3.3426283212043451e-16,3.4168902194476713e-13,0.0011083348914045939,0.0002065195206556004
0.0038500000000000001,-0.00076769644128130328,-0.00013251419096556674,0.00080576027471661283,0.0001319304379067916,0.0008057602747165493,-0.00028862502659868233,3.5166741526611338e-16,3.5464472210889021e-13,0.0010944007078137904,0.00022846932828999225
0.0039000000000000003,-0.00076543767574464372,-0.00014469636561003534,0.00080358838309744238,0.00014457046365870546,0.00080358838309737895,-0.00027659249738345011,3.6972807662923536e-16,3.6789660613481695e-13,0.0010801968905766416,0.0002503624067420192
0.0039500000000000004,-0.00076298806227517279,-0.00015684124777105816,0.00080121842824136839,0.0001571745230847643,0.00080121842824130475,-0.00026449208430163752,3.8846005835333342e-16,3.8144633212429624e-13,0.001065727120191801,0.00027219320049479676
0.0040000000000000001,-0.0007603478475925855,-0.00016894649603214104,0.00079865063159823891,0.00016974018702344031,0.00079865063159817516,-0.00025232600179376119,4.0787522151747104e-16,3.9529542393360796e-13,0.001050993835505462,0.00029395750112485143
0.0040499999999999998,-0.00075751782135559495,-0.00018100890789510247,0.00079588576696087315,0.00018226413056475279,0.00079588576696080951,-0.00024009751621273959,4.2798956537920209e-16,4.0944540965563669e-13,0.0010360010752751389,0.00031564955012948752
0.0041000000000000003,-0.00075449881318128526,-0.00019302530128543114,0.00079292464973390521,0.00019474304936204967,0.00079292464973384168,-0.0002278098969090333,4.488191119672296e-16,4.2389774582631856e-13,0.0010207529229343171,0.00033726362459779127
0.00415,-0.00075129160069666208,-0.00020499267569775115,0.00078976804356848697,0.0002071738271403348,0.00078976804356842355,-0.00021546622448153022,4.7037915375559294e-16,4.386538035690383e-13,0.0010052532222843418,0.00035879432708259555
0.0042000000000000006,-0.00074789701086098114,-0.00021690803462204268,0.00078641676324590643,0.00021955335111095096,0.0007864167632458429,-0.00020306960207492787,4.9268508268692485e-16,4.5371488386277142e-13,0.00098950589078692025,0.00038023626617690603
0.0042500000000000003,-0.00074431591996574817,-0.0002287683855436403,0.0007828716746775896,0.0002318785119715782,0.00078287167467752607,-0.0001906231553797367,5.1575239017244895e-16,4.6908221754208247e-13,0.00097351491956412404,0.00040158405651389732
0.0043,-0.00074054925363471855,-0.00024057073994323457,0.00077913369490509928,0.00024414620390623526,0.00077913369490503564,-0.00017813003263227712,5.3959666709198225e-16,4.847569652971269e-13,0.00095728437339838673,0.00042283231876691645
0.0043500000000000006,-0.00073659774098157826,-0.00025231239321049209,0.00077520354038391982,0.00025635361498442766,0.00077520354038385585,-0.00016559302726353321,5.6423259375874721e-16,5.0074012787423141e-13,0.00094081776420020967,0.00044397618187054977
0.0044000000000000003,-0.00073246185252233984,-0.0002639909953363836,0.00077108166341239616,0.00026849830050160178,0.00077108166341233208,-0.00015301448259892554,5.8967368483446257e-16,5.1703252339700305e-13,0.00092411789277710866,0.00046501140985681053
0.00445,-0.00072814299541251151,-0.00027560319002802643,0.00076676947592663972,0.00028057677111540449,0.00076676947592657554,-0.00014039812646563031,6.1593719992245489e-16,5.3363522395350495e-13,0.00090718989491082869,0.00048593196015474628
0.0045000000000000005,-0.00072364220163901693,-0.00028714610832032385,0.00076226800634948927,0.00029258604240782178,0.00076226800634942508,-0.00012774705765688233,6.4303875404674346e-16,5.5054907642894258e-13,0.00089003789819766966,0.00050673266342870897
0.0045500000000000002,-0.00071896054552211288,-0.00029861689321243016,0.00075757832706777983,0.00030452314171458729,0.00075757832706771597,-0.00011506438676887099,6.7099403294511915e-16,5.6777485500759965e-13,0.00087266608605746814,0.00052740837068101555
0.0045999999999999999,-0.00071409914371539055,-0.00031001269966775166,0.00075270155443234296,0.00031638510812518337,0.00075270155443227932,-0.00010235323620073836,6.9981879306914709e-16,5.8531326117283982e-13,0.0008550786977335954,0.00054795395325194971
0.0046500000000000005,-0.00070905915520577483,-0.00032133069461394594,0.00074763884875800671,0.00032816899248284015,0.00074763884875794339,-8.9616740154580899e-05,7.2952886158416567e-16,6.0316492370710594e-13,0.00083728002829295926,0.00056836430281976115
0.0047000000000000002,-0.00070384178131352438,-0.00033256805694292172,0.00074239141432359585,0.00033987185738453555,0.00074239141432353296,-7.685804463544931e-05,7.6014013636928478e-16,6.2133039869191864e-13,0.00081927442862600453,0.00058863433140066428
0.0047499999999999999,-0.00069844880887043434,-0.00034372225017040899,0.00073696106932084773,0.00035149106051626203,0.00073696106932078496,-6.4080347050267915e-05,7.9166596474237099e-16,6.3980980969444426e-13,0.00080106690544882683,0.00060875946523777729
0.0048000000000000004,-0.00069288135507052291,-0.00035479039238771738,0.000731348928844659,0.0003630235999359132,0.00073134892884459677,-5.128680470460995e-05,8.2412320057265117e-16,6.5860367920657333e-13,0.00078266173484797406,0.00062873450354700427
0.0048500000000000001,-0.00068714074042474814,-0.00036576969445946818,0.00072555632087165664,0.00037446656942818451,0.00072555632087159473,-3.8480598443071232e-05,8.5752799156677047e-16,6.7771235038012119e-13,0.00076406342655823485,0.00064855441225778864
0.0048999999999999998,-0.00068122840308071841,-0.00037665741701459725,0.00071958469635713027,0.00038581711381160358,0.00071958469635706847,-2.566492640298389e-05,8.9189619274561604e-16,6.9713604378337514e-13,0.00074527662931901401,0.00066821424610765843
0.0049500000000000004,-0.00067514582850347604,-0.0003874508351481645,0.00071343555545010887,0.00039707239225827734,0.00071343555545004707,-1.2842998887985908e-05,9.2724370579152605e-16,7.1687490398212174e-13,0.00072630605319875814,0.00068770908470393874
0.0050000000000000001,-0.00066889454947549859,-0.00039814723842135352,0.00070711044749336197,0.00040822957829389077,0.00070711044749330039,-1.803836802198265e-08,9.6358647904828486e-16,7.3692899953964531e-13,0.00070715646959495636,0.00070703403252375099
0.0050500000000000007,-0.0006624761460966973,-0.00040874393086147252,0.00070061097102339825,0.00041928585979770843,0.00070061097102333688,1.2806720520658078e-05,1.0009405075211302e-15,7.5729832301673074e-13,0.00068783271123413862,0.00072618421891401533
0.0051000000000000004,-0.00065589210932805154,-0.00041923849630413885,0.00069393863569565037,0.00043023871463456127,0.00069393863569558911,2.5628338717210051e-05,1.0393206326161053e-15,7.7798270499038662e-13,0.00066833922723412713,0.00074515527515395003
0.0051500000000000001,-0.00064914392847999702,-0.00042962862827032659,0.00068709495081052381,0.00044108573393463417,0.00068709495081046255,3.8443975428976866e-05,1.0787413116817937e-15,7.9898186918035512e-13,0.00064868036837387882,0.00076394302858858929
0.0052000000000000006,-0.00064223344702899431,-0.0004399114380737926,0.00068008178535015516,0.00045182390336973277,0.00068008178535009422,5.1250085680098438e-05,1.1192197477469548e-15,8.2029565664944106e-13,0.000628861547290178,0.00078254225866524699
0.0052500000000000003,-0.00063516239560459085,-0.00045008436293725789,0.00067290089542643226,0.00046245054648563896,0.00067290089542637165,6.4043473537285864e-05,1.1607717817074009e-15,8.4192373153825229e-13,0.00060888771570744233,0.00080094832964856257
