"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rootMeanSquareVoltage.mean.y","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","meanCurrent.x","rectifier.thyristor_n.idealThyristor[2].off"
4.9537964,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.240261,0.078616075,-0.0052258773,2098.0051,4.9499998,1,4.9366665,0.0061304765,1
4.9539962,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.23384,0.22988243,-0.010698185,2098.0051,4.9499998,1,4.9366665,0.0087780226,1
4.954196,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.225536,0.50402474,-0.01808265,2098.0051,4.9499998,1,4.9366665,0.011424096,1
4.9543962,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.215386,0.93488914,-0.027350128,2098.0051,4.9499998,1,4.9366665,0.014068324,1
4.954596,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.203434,1.5538492,-0.03846404,2098.0051,4.9499998,1,4.9366665,0.016710341,1
4.9547963,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.189731,2.3893116,-0.051380515,2098.0051,4.9499998,1,4.9366665,0.019349789,1
4.9549551,4.9533334,1,0,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.177648,3.2231047,-0.062880307,2098.0051,4.9499998,1,4.9366665,0.021442389,1
4.9549551,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.177648,3.2231047,-0.062880307,2098.0051,4.9499998,0,4.9366665,0.021442389,1
4.9549961,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.180753,3.4795346,-0.059626773,2098.0051,4.9499998,0,4.9366665,0.02198646,1
4.9549999,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.181032,3.5023353,-0.059333943,2098.0051,4.9499998,0,4.9366665,0.022036035,1
4.9551964,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.194735,4.5660176,-0.044893958,2098.0051,4.9499998,0,4.9366665,0.024624143,1
4.9553962,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.206914,5.410141,-0.031910639,2098.0051,4.9499998,0,4.9366665,0.027264442,1
4.9555964,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.217247,6.0367446,-0.020728117,2098.0051,4.9499998,0,4.9366665,0.029906996,1
4.9557962,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.225698,6.4741263,-0.011390516,2098.0051,4.9499998,0,4.9366665,0.032551426,1
4.9559965,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.232238,6.7535601,-0.0039346814,2098.0051,4.9499998,0,4.9366665,0.035197355,1
4.9561963,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.236843,6.9088092,0.0016099557,2098.0051,4.9499998,0,4.9366665,0.037844401,1
4.9563961,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.239501,6.9755902,0.0052215122,2098.0051,4.9499998,0,4.9366665,0.040492173,1
4.9565964,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.240206,6.991024,0.0068857349,2098.0051,4.9499998,0,4.9366665,0.043140281,1
4.9566665,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.239988,6.9913015,0.0070067109,2098.0051,4.9499998,0,4.9366665,0.044071916,1
4.9566665,4.9533334,1,1,13.229354,2.2577145,1,1,4.9466667,4.9400001,4.9433331,13.239988,6.9913015,0.0070067109,2098.0051,4.9499998,0,4.9366665,0.044071935,1
4.9566665,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.239988,0,0,2097.3906,4.9499998,0,4.9566665,0,1
4.9567962,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.238956,0.0017347017,-0.00041065554,2097.3906,4.9499998,0,4.9566665,0.0017164019,1
4.9569964,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.235765,0.028459132,-0.0026530814,2097.3906,4.9499998,0,4.9566665,0.0043640109,1
4.9571962,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.230644,0.11764467,-0.00683943,2097.3906,4.9499998,0,4.9566665,0.0070107887,1
4.9573965,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.223621,0.3060551,-0.012953164,2097.3906,4.9499998,0,4.9566665,0.009656352,1
4.9575963,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.214727,0.62888861,-0.020970155,2097.3906,4.9499998,0,4.9566665,0.012300322,1
4.9577966,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.204,1.1192238,-0.030858761,2097.3906,4.9499998,0,4.9566665,0.014942329,1
4.9579964,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.191487,1.8074948,-0.042579953,2097.3906,4.9499998,0,4.9566665,0.017582012,1
4.9581962,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.177242,2.7210157,-0.056087468,2097.3906,4.9499998,0,4.9566665,0.020219019,1
4.9582915,4.9533334,1,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.169865,3.2423429,-0.063133694,2097.3906,4.9499998,0,4.9566665,0.021473944,1
4.9582915,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.169865,3.2423429,-0.063133694,2097.3906,4.9499998,1,4.9566665,0.021473944,1
4.9583335,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.173003,3.5004263,-0.059852958,2097.3906,4.9499998,1,4.9566665,0.022023283,1
4.9583964,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.177601,3.8688438,-0.055034008,2097.3906,4.9499998,1,4.9566665,0.022853859,1
4.9585962,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.191017,4.8718419,-0.040879369,2097.3906,4.9499998,1,4.9566665,0.025490856,1
4.9587965,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.202617,5.6403742,-0.028492149,2097.3906,4.9499998,1,4.9566665,0.028130354,1
4.9589963,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.212358,6.2004733,-0.017921271,2097.3906,4.9499998,1,4.9566665,0.030771988,1
4.9591966,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.220204,6.5814896,-0.0092084315,2097.3906,4.9499998,1,4.9566665,0.033415381,1
4.9593964,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.226131,6.8155832,-0.0023880228,2097.3906,4.9499998,1,4.9566665,0.036060151,1
4.9595966,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.230119,6.9372311,0.0025130361,2097.3906,4.9499998,1,4.9566665,0.038705911,1
4.9597964,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.232156,6.9826822,0.0054754019,2097.3906,4.9499998,1,4.9566665,0.041352276,1
4.9599962,4.9533334,0,1,13.22158,2.1020133,1,1,4.9466667,4.9400001,4.9433331,13.232239,6.9893923,0.0064873835,2097.3906,4.9499998,1,4.9566665,0.043998852,1
