"time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.is[1]","aimc.is[2]","loadInertia.phi","loadInertia.w","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,-8.0175364661412783e-10,1.355749755861087e-09,-2.6783311716917515e-07,4.4755488015025483e-07,0.00041928496792950761,-0.00081638845377575485,2.6948365778344063e-23,1.0106940126844419e-18,-2.214193331274145e-05,-0.0012135013463966211
0.0001,-1.6268287485663224e-09,2.6996883172980416e-09,-2.7560716027730867e-07,4.4460437875654966e-07,0.00043023887264980875,-0.00081608837873443484,2.7341985553872944e-22,7.0632269921113018e-18,-4.4349634666352694e-05,-0.001201947928743071
0.00015000000000000001,-2.4696133208828135e-09,4.0321674268136077e-09,-2.8333008731936407e-07,4.4153283839658584e-07,0.00044108566376479028,-0.00081558522635125595,1.1584117072901342e-21,2.288117594446855e-17,-6.6546198487699593e-05,-0.0011900955916635029
0.00020000000000000001,-3.3328134317952338e-09,5.3508512909063825e-09,-2.9100304657006629e-07,4.3834018969132234e-07,0.00045182303965531279,-0.00081488081964755309,3.8710408329642595e-21,5.6683073759636298e-17,-8.8725192732543251e-05,-0.0011779500567432582
0.00025000000000000001,-4.2160899939009741e-09,6.6556152508491472e-09,-2.9862469002864361e-07,4.3502702131798871e-07,0.00046244939825502914,-0.00081397532174124127,9.5617062956097046e-21,1.1216232404167595e-16,-0.00011088325085615905,-0.0011655132914004729
0.00030000000000000003,-5.1188220434470625e-09,7.9455181954854839e-09,-3.0619037944397795e-07,4.3159519475302114e-07,0.00047295839930267837,-0.00081286932968404073,2.2628496657868008e-20,2.0411911292891347e-16,-0.00013300709681834182,-0.0011527929304741454
0.00035,-6.0412423732928937e-09,9.2209129376101148e-09,-3.1370185364822352e-07,4.280440121482439e-07,0.00048335241969633405,-0.00081156261964746446,4.1422614212205475e-20,3.2700500440684343e-16,-0.00015510170766863091,-0.0011397861117424584
0.00040000000000000002,-6.9833509834384667e-09,1.0481799477223044e-08,-3.211591126413805e-07,4.2437347350365689e-07,0.00049363145943599664,-0.0008100551916315128,6.5944058958622139e-20,4.8081999847546624e-16,-0.00017716708340702599,-0.001126492835205412
0.00045000000000000004,-7.944656971742401e-09,1.1727179829029358e-08,-3.2855600563662825e-07,4.2058679369421703e-07,0.00050378660629153975,-0.00080834827158501085,1.0237991772861456e-19,6.7996002703761579e-16,-0.00019918417819435639,-0.0011129244625488212
0.00050000000000000001,-8.9248659759721378e-09,1.2956455565858519e-08,-3.3588884440532031e-07,4.1668590047230082e-07,0.00051381251617554685,-0.00080644259463009992,1.5444018593526943e-19,9.3305739844473321e-16,-0.00022114157147392095,-0.0010990878066401007
0.00055000000000000003,-9.9243234159809232e-09,1.4170328913072893e-08,-3.4316195690551958e-07,4.1266853171366355e-07,0.00052371546011631951,-0.00080433729813647603,2.1777136326713686e-19,1.2299825160498879e-15,-0.00024305266471704682,-0.0010849748729086089
0.00060000000000000006,-1.0943029291768759e-08,1.5368799870672474e-08,-3.503753431372261e-07,4.0853468741830513e-07,0.00053349543811385773,-0.00080203238210413907,2.923734497242168e-19,1.5707353798530796e-15,-0.00026491745792373407,-0.0010705856613543461
0.00065000000000000008,-1.1979532990878274e-08,1.654998242931593e-08,-3.5751751501812632e-07,4.0429080755352353e-07,0.00054313661396234456,-0.00079953116201147555,3.9528280644458635e-19,1.9859212163487316e-15,-0.00028670095966092975,-0.001055942640107495
0.00069999999999999999,-1.3034087913856898e-08,1.7714206046948507e-08,-3.6459047934633663e-07,3.9993576715225366e-07,0.00055264175401278015,-0.00079683305869343427,5.2352343303840606e-19,2.4701937449995663e-15,-0.00030840928241460255,-0.0010410418843179289
0.00075000000000000002,-1.410704836790282e-08,1.8861931374988221e-08,-3.7159704204720021e-07,3.9546799327421215e-07,0.00056201472620500304,-0.00079393726235560619,6.7293425578028163e-19,3.0160777424997652e-15,-0.00033005097272420996,-0.0010258779062206601
0.00080000000000000004,-1.5198412217397538e-08,1.9993156101126505e-08,-3.7853718883362782e-07,3.9088749496764328e-07,0.00057125551134731627,-0.00079084377874208119,8.435444604097984e-19,3.6236129718913966e-15,-0.00035162598646214775,-0.0010104507364944804
0.00085000000000000006,-1.6305867785129302e-08,2.1105377291898109e-08,-3.8539545480017553e-07,3.8620406640698364e-07,0.00058034333559476734,-0.00078755882548135986,1.0669458359115864e-18,4.3358405091342999e-15,-0.0003730865581793252,-0.00099479358306626075
0.00090000000000000008,-1.7430756292778547e-08,2.2200047134749964e-08,-3.921808125950841e-07,3.8141202506915893e-07,0.00058929025181143869,-0.00078407879514152891,1.3248090099604522e-18,5.127788172155194e-15,-0.00039446040111164337,-0.00097888717888986875
0.00095,-1.8573077740345268e-08,2.3277165629682076e-08,-3.9889326221835357e-07,3.7651137095416908e-07,0.00059809625999733085,-0.0007804036877225891,1.6171339825563947e-18,5.9994559609540774e-15,-0.0004157475152591021,-0.00096273152396530504
0.001,-1.9732500603066519e-08,2.4336440486305221e-08,-4.0553075988831872e-07,3.7150364999588158e-07,0.00060675865423159489,-0.00077653463615931441,1.9494445622211848e-18,6.9562622486946967e-15,-0.00043694135612590772,-0.00094633158982471871
0.0010500000000000002,-2.0907611305409302e-08,2.5376625419005443e-08,-4.1208459120388634e-07,3.6639545384154213e-07,0.00061526589684364756,-0.00077247647112819345,2.3452935011106994e-18,8.0213102258136344e-15,-0.00045801401889117353,-0.00092970857439053937
0.0011000000000000001,-2.2098826113751657e-08,2.6398087431021269e-08,-4.1855732236126938e-07,3.6118484139846769e-07,0.00062362138541942021,-0.00076822777010304493,2.7977450405025118e-18,9.1877965194597697e-15,-0.00047897372090052336,-0.00091285623534873039
0.00115,-2.3305879323356748e-08,2.7400592262503597e-08,-4.2494731534566446e-07,3.5587305167501382e-07,0.00063182295126424195,-0.00076378944108884976,3.3112263069753499e-18,1.0460063753703457e-14,-0.00049981521698458581,-0.00089577855719694956
0.0012000000000000001,-2.4528505229487763e-08,2.8383905653603313e-08,-4.3125293214226786e-07,3.5046132367953606e-07,0.00063986842568344133,-0.00075916239209058891,3.8901644271079426e-18,1.1842454552615059e-14,-0.00052053326197398981,-0.00087847952443285439
