"time","aims3.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aims3.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aims3.is[1]","aims3.is[2]","aims3.ir[1]","aims3.ir[2]","aims3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aims3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.is[1]","aimsM.is[2]","aimsM.is[3]","aimsM.is[4]","aimsM.ir[1]","aimsM.ir[2]","aimsM.ir[3]","aimsM.ir[4]","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w"
0,0,0,0,0,0,0,0,0,9.6875724276917525e-22,-1.8826835569270111e-21,-2.4577581923283763e-19,-9.2581276737456591e-20,4.4436950207511439e-19,-3.3233457475820897e-19,-9.6296497219361707e-35,1.3509288597880702e-34,1.797884923925788e-34,-2.3977486894091641e-35,1.0027769197882965e-21,-1.9487974229279368e-21,0,0,0,0
5.0000000000000002e-05,-1.4992552361054537e-10,1.3650113660458119e-08,2.2210451672871135e-05,-0.0012356889717608458,-2.1441251525400849e-05,0.0011925218657534739,-1.4291521724458078e-08,9.1383499808184058e-07,-1.4992239946627383e-10,1.3649829232830787e-08,1.3326271004220439e-05,-0.00080277400278677799,-0.00050946789001125176,0.00048790553058313137,-1.2864751112003284e-05,0.00077472676140441748,0.00049167222165408719,-0.0004708566170979962,-1.4291518706830165e-08,9.1383472333732569e-07,5.7463699393249185e-22,1.7137888519587378e-17,5.746250303060452e-22,1.713753171649013e-17
0.0001,-5.9945263476035015e-10,2.7275128489570355e-08,4.4417216876212889e-05,-0.0012463168087837972,-4.2847567441570015e-05,0.001201529959077807,-2.8870132859338829e-08,9.2664802708378066e-07,-5.9944015197106965e-10,2.7274560573437957e-08,2.6650330137035809e-05,-0.0007983432997441572,-0.00052005362406966978,0.00047693248409654075,-2.57085412602438e-05,0.00076964093171479064,0.00050137279619306919,-0.00045977550263294947,-2.8870120812037895e-08,9.2664747848029279e-07,9.1965605828083704e-21,1.3704030516431263e-16,9.1963692675711542e-21,1.3703745377168975e-16
0.00015000000000000001,-1.4076176881349449e-09,4.0860214637120632e-08,6.6608770586991037e-05,-0.0012565566568200118,-6.4201631444739653e-05,0.0012101480690157173,-4.3785526197254161e-08,9.391427204968186e-07,-1.4075883976314392e-09,4.0859364561110999e-08,3.9965262358238983e-05,-0.00079366477824700235,-0.00053047707098853418,0.00046581191812359739,-3.8520980713118825e-05,0.00076432504006174011,0.00051089983392384891,-0.00044857157785017433,-4.3785497906860626e-08,9.3914189929961693e-07,4.8001048747602117e-20,4.9648460310258352e-16,4.8000050831050839e-20,4.9647428179040944e-16
0.00020000000000000001,-2.3936999406997636e-09,5.4417469734066166e-08,8.878513748188468e-05,-0.0012665992381896592,-8.552239240634113e-05,0.0012185688129255137,-5.8863127748599731e-08,9.5147102752823119e-07,-2.3936501618316424e-09,5.4416338323176452e-08,5.3271082491192729e-05,-0.00078886409469102901,-0.00054081590551466395,0.00045462148342641456,-5.1313438573553215e-05,0.00075889624818435578,0.00052033711388621172,-0.00043731022619469969,-5.8863079660692063e-08,9.5146993453568418e-07,1.4685252990995612e-19,1.0940180616410988e-15,1.4684948174435288e-19,1.0939953449252389e-15
0.00025000000000000001,-4.0028671661963306e-09,6.7877257528852894e-08,0.00011090831853073527,-0.0012759509706916428,-0.00010672652257087125,0.0012262983599929354,-7.4508799732340207e-08,9.6321663173741484e-07,-4.0027840089340744e-09,6.7875847672310994e-08,6.6544991121011683e-05,-0.00078363558659948966,-0.00055085841843345779,0.00044318636101860112,-6.4035918769987193e-05,0.00075307206770179992,0.0005294600525878136,-0.00042584775951727045,-7.4508719398955822e-08,9.6321526974549356e-07,4.5599497325475228e-19,2.5253651079785884e-15,4.5598551945331914e-19,2.5253127462892309e-15
0.00030000000000000003,-5.6120343916928983e-09,8.1337045323639629e-08,0.00013303149957958563,-0.0012853027031936265,-0.00012793065273540138,0.0012340279070603573,-9.015447171608069e-08,9.7496223594659839e-07,-5.611917856036508e-09,8.1335357021445542e-08,7.9818899750830319e-05,-0.00077840707850795052,-0.00056090093135225132,0.00043175123861078767,-7.6758398966420948e-05,0.00074724788721924472,0.00053858299128941537,-0.00041438529283984105,-9.0154359137219582e-08,9.7496060495530304e-07,7.6513741659954872e-19,3.9567121543160781e-15,7.6512155716228549e-19,3.956630147653223e-15
0.00035,-7.2212016171894645e-09,9.4796833118426351e-08,0.00015515468062843579,-0.0012946544356956097,-0.00014913478289993128,0.0012417574541277782,-1.0580014369982116e-07,9.8670784015578193e-07,-7.2210517031389392e-09,9.4794866370580077e-08,9.3092808380649254e-05,-0.00077317857041641128,-0.00057094344427104505,0.00042031611620297384,-8.9480879162854717e-05,0.00074142370673668746,0.00054770592999101822,-0.00040292282616241236,-1.0579999887548334e-07,9.8670594016511231e-07,1.0742798599443448e-18,5.3880592006535669e-15,1.0742575948712516e-18,5.3879475490172134e-15
0.00040000000000000002,-9.5284478335646746e-09,1.0808302745754072e-07,0.00017715659412206918,-0.0013031918540993657,-0.00017014865690691576,0.0012486795049389218,-1.2204297209341594e-07,9.9773142881325949e-07,-9.5282502153651492e-09,1.0808078682746132e-07,0.00010629395647733101,-0.00076747593809920486,-0.0005806201717703499,0.00040863293739132621,-0.00010208920656486954,0.0007351654137051594,0.00055644641958799254,-0.00039126261348163791,-1.2204278118384779e-07,9.9772926423179846e-07,2.3350486395565173e-18,8.702116915524774e-15,2.3350003924914744e-18,8.7019369777518459e-15
0.00045000000000000004,-1.2707298064786637e-08,1.2115247733808789e-07,0.00019900709597120555,-0.0013107125402326554,-0.00019092498182141549,0.0012545933360669911,-1.3903139508464413e-07,1.0078535268631248e-06,-1.2707034855657933e-08,1.2114996852354652e-07,0.00011940425758730713,-0.00076118132610057665,-0.00058984018871918069,0.00039664004154147065,-0.00011455500563524463,0.00072836509857366174,0.0005647093927728927,-0.00037935550007374061,-1.3903114080987451e-07,1.0078511031953183e-06,4.7839943248804153e-18,1.436688020803179e-14,4.7838956532734855e-18,1.4366583737729935e-14
