"Time","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","PI.x","loadInertia.w","aimc.airGap.V_mrr.re","aimc.airGap.V_mrr.im","aimc.stator.port_p.V_m.im","aimc.airGap.V_msr.re","aimc.is[2]","aimc.stator.core.Phi.im","aimc.stator.core.Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","powerSensor.flange_a.phi","aimc.is[1]","aimc.stator.port_p.V_m.re","aimc.airGap.V_msr.im"
4.5024977,1.1282173,0.68342239,157.04152,0.17931499,-0.15282086,-7.7543225,4.9118142,-6.4710498,1.7420256,0.44845986,1.3489187,707.07977,-1.3443291,-1.7584161,6.2526493
4.5025978,1.1282072,0.73817557,157.04149,0.17932171,-0.15281186,-7.8057208,4.9117613,-6.6339636,1.7552527,0.39351919,1.3489273,707.09552,-1.0845748,-1.5139732,6.2526789
4.5026979,1.1281971,0.79494506,157.04146,0.17932919,-0.15280312,-7.8494158,4.9117084,-6.7903304,1.7667476,0.33819014,1.3489358,707.11121,-0.82374984,-1.2680359,6.2527089
4.5027981,1.1281871,0.85372019,157.04143,0.17933743,-0.15279466,-7.8853641,4.911654,-6.9399953,1.7764988,0.28252733,1.3489445,707.12689,-0.56211179,-1.0208471,6.252739
4.5028977,1.1281769,0.9144901,157.04141,0.17934644,-0.15278646,-7.9135294,4.9115992,-7.0828109,1.7844968,0.22658569,1.3489531,707.14258,-0.2999188,-0.77265048,6.2527695
4.5029979,1.1281669,0.97724402,157.04138,0.17935625,-0.15277858,-7.9338841,4.9115434,-7.218636,1.7907336,0.17042041,1.3489617,707.15833,-0.037429597,-0.52369118,6.2528
4.503098,1.1281568,1.0419713,157.04135,0.17936687,-0.15277101,-7.9464087,4.9114871,-7.3473363,1.795203,0.11408696,1.3489703,707.17401,0.22509676,-0.27421486,6.2528315
4.5031977,1.1281466,1.1086613,157.04131,0.17937833,-0.1527638,-7.9510899,4.9114294,-7.4687853,1.7979008,0.057640899,1.3489789,707.1897,0.48740122,-0.024467653,6.2528625
4.5032978,1.1281365,1.1773032,157.04128,0.17939067,-0.15275697,-7.9479237,4.9113708,-7.5828629,1.7988241,0.0011379513,1.3489876,707.20544,0.7492249,0.22530393,6.2528944
4.5033979,1.1281265,1.2478863,157.04124,0.17940392,-0.15275057,-7.936913,4.9113116,-7.6894565,1.7979722,-0.055366118,1.3489962,707.22113,1.0103093,0.4748534,6.2529268
4.5034981,1.1281164,1.3203996,157.04121,0.1794181,-0.15274461,-7.9180684,4.9112515,-7.7884607,1.7953458,-0.11181553,1.3490047,707.23682,1.2703969,0.72393441,6.2529593
4.5035977,1.1281062,1.3948323,157.04117,0.17943324,-0.15273908,-7.8914089,4.91119,-7.8797774,1.7909476,-0.1681546,1.3490133,707.25256,1.5292311,0.97230119,6.2529926
4.5036979,1.1280962,1.4711732,157.04114,0.17944932,-0.152734,-7.8569603,4.911128,-7.9633174,1.7847818,-0.22432771,1.349022,707.26825,1.786556,1.2197086,6.2530265
4.503798,1.1280861,1.5494115,157.04109,0.17946637,-0.15272938,-7.8147569,4.9110646,-8.0389977,1.7768546,-0.28027943,1.3490306,707.28394,2.0421178,1.4659122,6.2530603
4.5038981,1.128076,1.6295364,157.04105,0.17948437,-0.15272522,-7.7648396,4.9110003,-8.1067419,1.7671739,-0.33595452,1.3490392,707.29962,2.2956645,1.7106693,6.2530951
4.5039978,1.1280659,1.711537,157.04102,0.17950335,-0.15272157,-7.7072582,4.9109354,-8.1664858,1.755749,-0.39129806,1.3490478,707.31537,2.5469456,1.9537381,6.25313
4.5040979,1.1280558,1.7954025,157.04097,0.17952336,-0.1527185,-7.6420693,4.9108686,-8.2181692,1.7425914,-0.44625542,1.3490564,707.33105,2.7957129,2.1948788,6.2531657
4.5041981,1.1280457,1.8811219,157.04092,0.17954443,-0.152716,-7.5693369,4.9108014,-8.2617407,1.7277139,-0.50077236,1.3490651,707.34674,3.0417213,2.4338534,6.253202
4.5042977,1.1280355,1.9686841,157.04088,0.17956659,-0.15271415,-7.4891334,4.9107327,-8.2971573,1.7111313,-0.55479509,1.3490736,707.36249,3.2847278,2.6704261,6.2532392
4.5043979,1.1280254,2.0580778,157.04083,0.17958985,-0.15271293,-7.4015374,4.9106631,-8.3243837,1.6928601,-0.60827023,1.3490822,707.37817,3.5244925,2.9043632,6.2532768
4.504498,1.1280154,2.1492925,157.04079,0.17961425,-0.15271233,-7.3066354,4.9105921,-8.3433943,1.6729181,-0.66114509,1.3490908,707.39386,3.7607787,3.1354337,6.253315
4.5045981,1.1280053,2.2423162,157.04074,0.17963973,-0.15271233,-7.2045207,4.9105201,-8.3541689,1.6513251,-0.71336746,1.3490995,707.40961,3.9933531,3.3634098,6.2533541
4.5046978,1.1279953,2.3371384,157.0407,0.17966633,-0.15271293,-7.0952945,4.9104471,-8.3566961,1.6281023,-0.76488578,1.3491081,707.42529,4.2219858,3.5880659,6.2533937
4.5047979,1.1279851,2.4337482,157.04065,0.17969404,-0.15271413,-6.979064,4.9103727,-8.350976,1.6032728,-0.81564921,1.3491167,707.44098,4.4464517,3.8091805,6.2534337
4.5048981,1.127975,2.5321348,157.04059,0.17972289,-0.152716,-6.8559446,4.9102974,-8.3370113,1.5768609,-0.86560768,1.3491253,707.45667,4.6665287,4.0265355,6.2534747
4.5049977,1.1279649,2.6322868,157.04054,0.17975292,-0.1527186,-6.7260566,4.9102206,-8.3148174,1.5488929,-0.91471183,1.349134,707.47241,4.8819995,4.2399163,6.2535162
4.5050979,1.1279547,2.7341933,157.04048,0.17978416,-0.15272203,-6.5895295,4.9101424,-8.2844152,1.5193961,-0.96291322,1.3491426,707.4881,5.0926523,4.4491119,6.2535586
4.505198,1.1279446,2.8378434,157.04044,0.17981666,-0.15272632,-6.446497,4.9100628,-8.2458353,1.4883999,-1.0101644,1.3491511,707.50378,5.2982779,4.6539159,6.253602
4.5052981,1.1279345,2.9432254,157.04037,0.17985044,-0.15273148,-6.2971005,4.9099822,-8.1991158,1.4559346,-1.0564185,1.3491597,707.51953,5.4986739,4.8541265,6.2536464
4.5053978,1.1279244,3.050328,157.04031,0.17988546,-0.15273739,-6.1414871,4.9099007,-8.1443024,1.4220326,-1.10163,1.3491684,707.53522,5.6936426,5.0495458,6.2536912
4.5054979,1.1279143,3.1591401,157.04027,0.17992173,-0.15274405,-5.9798112,4.9098172,-8.0814486,1.3867272,-1.1457543,1.349177,707.5509,5.8829908,5.2399802,6.253737
4.5055981,1.1279042,3.2696507,157.04021,0.17995922,-0.15275131,-5.8122315,4.9097328,-8.0106163,1.3500532,-1.1887479,1.3491856,707.56665,6.0665317,5.4252419,6.2537837
4.5056977,1.1278942,3.3818486,157.04015,0.17999798,-0.15275922,-5.6389136,4.909647,-7.9318762,1.3120468,-1.2305682,1.3491943,707.58234,6.2440839,5.6051483,6.2538309
4.5057979,1.1278839,3.4957232,157.04008,0.18003801,-0.15276788,-5.4600282,4.9095597,-7.845305,1.2727454,-1.2711741,1.3492029,707.59802,6.4154725,5.7795215,6.2538786
4.505898,1.1278738,3.611264,157.04002,0.18007937,-0.15277742,-5.2757525,4.909471,-7.7509885,1.2321879,-1.3105254,1.3492115,707.61371,6.5805278,5.9481888,6.2539272
4.5059981,1.1278636,3.7284598,157.03996,0.18012211,-0.15278812,-5.0862679,4.9093809,-7.6490202,1.1904144,-1.3485833,1.3492202,707.62946,6.7390876,6.1109848,6.2539773
4.5060978,1.1278535,3.8472993,157.0399,0.18016617,-0.15279979,-4.8917613,4.9092898,-7.5394998,1.1474661,-1.3853103,1.3492287,707.64514,6.8909945,6.2677484,6.2540283
4.5061979,1.1278433,3.9677703,157.03983,0.1802115,-0.15281241,-4.6924243,4.9091964,-7.4225354,1.1033852,-1.4206702,1.3492373,707.66083,7.036099,6.4183245,6.2540803
4.5062981,1.127833,4.0898623,157.03976,0.18025815,-0.15282601,-4.4884548,4.909102,-7.298243,1.0582154,-1.4546278,1.349246,707.67657,7.1742573,6.5625639,6.2541337
4.5063982,1.1278229,4.2135634,157.0397,0.18030615,-0.15284051,-4.2800531,4.9090061,-7.1667447,1.0120012,-1.4871498,1.3492546,707.69226,7.3053331,6.7003245,6.2541876
4.5064979,1.1278126,4.3388629,157.03963,0.18035558,-0.15285611,-4.0674253,4.9089088,-7.0281706,0.96478826,-1.5182042,1.3492632,707.70795,7.4291968,6.8314705,6.2542424
4.506598,1.1278024,4.4657497,157.03955,0.18040653,-0.15287292,-3.850781,4.9088101,-6.8826566,0.91662318,-1.5477602,1.3492719,707.72369,7.5457263,6.9558721,6.2542992
4.5066981,1.1277922,4.5942125,157.03949,0.18045889,-0.15289091,-3.6303341,4.90871,-6.7303472,0.86755353,-1.5757889,1.3492805,707.73938,7.6548061,7.0734067,6.2543564
4.5067978,1.127782,4.7242398,157.03941,0.18051264,-0.15291019,-3.4063022,4.908608,-6.5713921,0.81762761,-1.6022621,1.3492891,707.75507,7.7563286,7.1839581,6.2544155
4.5068979,1.1277717,4.8558197,157.03934,0.18056782,-0.15293081,-3.1789064,4.908505,-6.4059486,0.76689476,-1.6271541,1.3492976,707.77075,7.850194,7.2874165,6.2544756
4.5069981,1.1277615,4.9889407,157.03928,0.18062438,-0.15295281,-2.9483712,4.9084001,-6.234179,0.71540511,-1.6504403,1.3493063,707.7865,7.9363089,7.3836803,6.2545371
4.5070982,1.1277512,5.1235909,157.0392,0.18068242,-0.15297608,-2.7149239,4.9082937,-6.0562534,0.66320932,-1.6720976,1.3493149,707.80219,8.0145884,7.4726543,6.2546005
4.5071979,1.1277411,5.2597599,157.03912,0.18074201,-0.15300062,-2.4787951,4.9081855,-5.8723474,0.61035907,-1.6921046,1.3493235,707.81787,8.0849543,7.5542498,6.2546649
4.507298,1.1277308,5.3974347,157.03905,0.18080328,-0.1530263,-2.2402179,4.9080763,-5.6826425,0.55690652,-1.7104417,1.3493322,707.83362,8.1473379,7.628387,6.2547302
4.5073981,1.1277207,5.5366054,157.03897,0.18086612,-0.15305302,-1.999428,4.9079652,-5.4873257,0.50290436,-1.7270908,1.3493408,707.8493,8.2016773,7.6949916,6.254797
4.5074978,1.1277106,5.6772594,157.03888,0.18093032,-0.15308064,-1.7566633,4.9078531,-5.2865896,0.44840589,-1.7420354,1.3493495,707.86499,8.2479172,7.7539983,6.2548647
4.5075979,1.1277004,5.8193874,157.0388,0.18099602,-0.15310928,-1.5121633,4.9077392,-5.0806322,0.39346492,-1.7552606,1.3493581,707.88074,8.2860136,7.8053479,6.2549334
4.5076981,1.1276902,5.9629779,157.03873,0.18106328,-0.15313907,-1.2661691,4.9076238,-4.869657,0.3381356,-1.7667536,1.3493667,707.89642,8.3159275,7.84899,6.255003
4.5077982,1.1276801,6.1080198,157.03864,0.18113209,-0.15316999,-1.0189238,4.9075065,-4.6538725,0.28247258,-1.7765028,1.3493752,707.91211,8.3376303,7.884882,6.2550735
4.5078979,1.1276698,6.2545028,157.03856,0.18120258,-0.15320218,-0.77067113,4.9073873,-4.4334908,0.22653078,-1.7844989,1.349384,707.9278,8.351099,7.9129872,6.255146
4.507998,1.1276596,6.4024143,157.03847,0.1812747,-0.1532356,-0.52165651,4.9072661,-4.2087302,0.17036541,-1.7907338,1.3493925,707.94354,8.3563213,7.9332786,6.2552195
4.5080981,1.1276493,6.5517445,157.03839,0.18134847,-0.15327026,-0.27212578,4.9071441,-3.9798119,0.11403193,-1.7952014,1.3494011,707.95923,8.3532925,7.9457355,6.2552943
4.5081978,1.1276392,6.7024808,157.0383,0.1814239,-0.15330614,-0.022325374,4.9070196,-3.7469625,0.05758591,-1.7978972,1.3494098,707.97491,8.3420134,7.950346,6.2553706
4.5082979,1.1276289,6.8546124,157.03821,0.18150093,-0.15334319,0.22749792,4.9068937,-3.5104117,0.0010830811,-1.7988187,1.3494184,707.99066,8.3224964,7.9471049,6.2554479
4.5083981,1.1276187,7.0081282,157.03813,0.18157957,-0.15338141,0.47709742,4.9067664,-3.2703931,-0.055420801,-1.7979649,1.3494271,708.00635,8.2947607,7.9360156,6.2555265
4.5084982,1.1276085,7.1630173,157.03804,0.18165985,-0.15342079,0.72622663,4.9066372,-3.0271435,-0.11186998,-1.7953367,1.3494357,708.02203,8.258832,7.9170885,6.2556062
