"time","smee.excitation.electroMagneticConverter.Phi.re","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.is[1]","smee.is[2]","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
0,0,-1.5707963267948966,0,0,0,0,0,0,0
5.0000000000000002e-05,2.8451041616218978e-08,-1.5707963267943741,3.2332519396141644e-08,0.14337449698818894,-12.989816720488729,4.6611879663845547e-08,-1.44458027032176e-05,-5.5452815970836597e-05,0.0070595357428984307
0.0001,2.1835714461162576e-07,-1.5707963267822411,4.6543535265502952e-07,0.57234080251667407,-26.027128996103983,3.5726141966087678e-07,-5.7626853706792711e-05,-0.00022149544652055739,0.014094902920275718
0.00015000000000000001,7.073602584416427e-07,-1.5707963267171765,2.15833993540365e-06,1.285326998105333,-39.108856204060693,1.1560243471308894e-06,-0.00012933303458030347,-0.00049769303416297768,0.021104646680788902
0.00020000000000000001,1.6406704491872229e-06,-1.5707963265034774,6.5205409675620933e-06,2.2806166315712488,-52.231726705056495,2.6783190205368802e-06,-0.00022933735741508972,-0.00088356393504110452,0.028087231081703315
0.00025000000000000001,3.1594801194257704e-06,-1.5707963259724977,1.5471664645805544e-05,3.556477729227872,-65.392535854980679,5.152030455864309e-06,-0.00035741349267402734,-0.0013786150409774293,0.035041161589497674
0.00030000000000000003,5.4188005159642242e-06,-1.5707963248252628,3.1718858025948913e-05,5.1109404957008167,-78.587740225343126,8.8262037798464973e-06,-0.00051330654966130328,-0.001982278092834132,0.041964796111984719
0.00035,8.5681002218520525e-06,-1.5707963226148147,5.8522583087814157e-05,6.9420319476218992,-91.813896335611986,1.3939710543093369e-05,-0.00069676352082898127,-0.0026939761572858691,0.048856549761049625
0.00040000000000000002,1.2753714835963371e-05,-1.5707963187205454,9.9700061966887267e-05,9.0477498265792917,-105.06760701225875,2.0725259563517549e-05,-0.00090752997446987948,-0.0035131166078815582,0.055714869510595899
0.00045000000000000004,1.8119157975486595e-05,-1.5707963123168185,0.00015966675861049651,11.426054630787789,-118.34551278426871,2.9409851791305606e-05,-0.0011453491987534986,-0.0044390884167257909,0.062538230848859594
0.00050000000000000001,2.4808674710799923e-05,-1.5707963023417264,0.00024344448536771325,14.074830744100154,-131.64421290201904,4.0220630265727749e-05,-0.0014099570140153749,-0.0054712516209777119,0.069325100282603733
0.00055000000000000003,3.2965737988912528e-05,-1.5707962874662746,0.00035665358903532422,16.991903363960418,-144.96029899008795,5.33824370762157e-05,-0.0017010839859743425,-0.0066089419856980641,0.076073951217938834
0.00060000000000000006,4.2732677576228073e-05,-1.5707962660379209,0.00050550339357633778,20.175043366347097,-158.29036364149596,6.9117253261485509e-05,-0.0020184560330187714,-0.007851472443537658,0.082783267909963085
0.00065000000000000008,5.4250902477542598e-05,-1.5707962360980585,0.00069679540783689083,23.621964609996013,-171.63099535608674,8.7644548663008557e-05,-0.002361794081241523,-0.0091981323311027471,0.089451543104813055
0.00069999999999999999,6.7661294919049619e-05,-1.5707961953310254,0.00093792335621537524,27.330318979111951,-184.97876959322102,0.00010918194555986021,-0.0027308134124323139,-0.01064818598373481,0.096077273882457098
0.00075000000000000002,8.3103808242368318e-05,-1.5707961411026288,0.0012368722805970269,31.29770136679835,-198.33025787976138,0.00013394454819507654,-0.0031252243207174147,-0.012200874154490487,0.10265896590234105
0.00080000000000000004,0.00010071680089211598,-1.5707960702915456,0.0016021932126414446,35.521658020187232,-211.6820431505638,0.00016214396945692406,-0.0035447331525808065,-0.013855416464422394,0.10919514050375546
0.00085000000000000006,0.00012063736554568217,-1.5707959793399888,0.0020430123195528888,39.99968240230325,-225.03071218268499,0.00019398883118807429,-0.0039890417864420873,-0.015611010206383778,0.11568433120661802
0.00090000000000000008,0.00014300189810985184,-1.5707958642893853,0.0025690330227798419,44.729208467419113,-238.37284270841232,0.00022968566842746733,-0.0044578467732679303,-0.017466828455785646,0.12212507768750107
0.00095,0.00016794545108933103,-1.5707957205498784,0.0031904967481798528,49.70761914529902,-251.70501849029912,0.00026943803194599467,-0.0049508403802307173,-0.0194220226243648,0.12851593270252418
