"time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","loadInertia.phi","loadInertia.w","loadInertiaQS.phi","loadInertiaQS.w"
0,0,0,0,0,0,1.5707963267948966,0,0,-0.78539816339744828,0
5.0000000000000002e-05,-1.8469643510831028e-11,1.5767865527618539e-09,-8.184327025102732e-09,5.2150859970973268e-07,1.0559001728452414e-16,1.5865042900628454,4.9874932916250429e-23,1.3525783571372594e-18,-0.78539816339744828,2.0484482769027086e-14
0.0001,-7.3884437726199337e-11,3.1525445523061462e-09,-1.6403593184788468e-08,5.2281557226550274e-07,-1.5751483467903585e-16,1.6022122533307945,7.981106730826966e-22,1.0819877349356542e-17,-0.78539816339744828,4.0968963913241606e-14
0.00015000000000000001,-1.5354228668523516e-10,4.7270594811568751e-09,-2.4643500549860181e-08,5.2402710308473764e-07,-6.4966694942929022e-16,1.6179202165987434,2.3998458761277962e-21,2.8243716576254764e-17,-0.78539816339744828,6.145343789043259e-14
0.00020000000000000001,-2.953054091854779e-10,6.296024817411358e-09,-3.2929133498370174e-08,5.2499148273419881e-07,-5.7268513995190466e-16,1.6336281798666923,1.2763730287674829e-20,8.6508569836937334e-17,-0.78539816339744828,8.193792101807595e-14
0.00025000000000000001,-4.5433860248063967e-10,7.8634469375820024e-09,-4.1227481696618094e-08,5.2588713523770809e-07,-3.3744006871334553e-16,1.6493361431346414,2.5564170059469469e-20,1.5613038464826419e-16,-0.78539816339744828,1.0242240669025303e-13
0.00030000000000000003,-6.1337179577580148e-10,9.4308690577526467e-09,-4.9525829894866014e-08,5.2678278774121747e-07,-1.0219499747478632e-16,1.6650441064025903,3.836460983126411e-20,2.2575219945959105e-16,-0.78539816339744828,1.2290689236243012e-13
0.00035,-8.6124182462775588e-10,1.098350790102929e-08,-5.7868834353659695e-08,5.2731665441089989e-07,1.7251194188100933e-20,1.6807520696705391,1.0161814232203282e-19,4.1284103689626999e-16,-0.78539816339744828,1.4339137779328671e-13
0.00040000000000000002,-1.1773929483345294e-09,1.2524784134128099e-08,-6.6246162168784975e-08,5.275724479965757e-07,-2.1179370801840297e-20,1.696460032938488,2.0365054832930443e-19,6.9021648645644356e-16,-0.78539816339744828,1.638758630386614e-13
0.00045000000000000004,-1.4935440720413028e-09,1.406606036722691e-08,-7.4623489983910262e-08,5.2782824158225141e-07,-5.9609935791781502e-20,1.7121679962064371,3.05682954336576e-19,9.6759193601661694e-16,-0.78539816339744817,1.8436034828403607e-13
0.00050000000000000001,-1.8096951957480762e-09,1.5607336600325717e-08,-8.3000817799035535e-08,5.2808403516792711e-07,-9.8040500781722683e-20,1.727875959474386,4.0771536034384748e-19,1.2449673855767901e-15,-0.78539816339744817,2.0484483352941076e-13
0.00055000000000000003,-2.1258463194548497e-09,1.7148612833424528e-08,-9.1378145614160822e-08,5.2833982875360282e-07,-1.3647106577166389e-19,1.7435839227423349,5.097477663511191e-19,1.5223428351369637e-15,-0.78539816339744817,2.2532931877478545e-13
0.00060000000000000006,-2.4419974431616231e-09,1.8689889066523339e-08,-9.9755473429286109e-08,5.2859562233927863e-07,-1.7490163076160512e-19,1.7592918860102837,6.1178017235839062e-19,1.7997182846971373e-15,-0.78539816339744817,2.4581380402016014e-13
