"Time","inertia2.phi","inertia2.w","damper.phi_rel","damper.w_rel","springDamper.phi_rel","springDamper.w_rel","inertia3.phi","inertia3.w","elastoBacklash.phi_rel","elastoBacklash.w_rel","bearingFriction.mode","clutch.phi_rel","clutch.w_rel","clutch.mode","brake.mode","lossyGear.mode","gear2_1.phi_rel","gear2_1.w_rel","gear2_1.lossyGear.mode","inertia8.phi","inertia8.w","position.phi","position.w","speed.phi","speed.w","accelerate.phi","accelerate.w","inertia13.phi","inertia13.w","inertia14.phi","inertia14.w","inertia15.phi","coupling.w","coupling.tau"
0.00089999998,1.3843469e-10,4.6951834e-07,-4.6544553e-08,-0.00010223,5.2635453e-08,0.0001161243,0.019253274,1.9999609,-4.3989408e-07,-0.00097625749,1,-8.9671394e-14,-1e-10,0,1,2,0,0,0,0,0,0.00010442796,0.33022973,2.2381741e-07,0.00072912214,7.6355289e-10,2.5446852e-06,2.5451763e-10,8.4822847e-07,2.9700025e-06,0.0066,0.0098999999,0.18000001,400
0.00108,2.417106e-10,6.8515811e-07,-6.6679405e-08,-0.00012138817,7.5551448e-08,0.00013842313,0.019613268,1.9999532,-6.3306743e-07,-0.0011699849,1,-1.0767139e-13,-1e-10,0,1,2,0,0,0,0,0,0.00017498461,0.45623854,3.8155011e-07,0.0010313194,1.3193117e-09,3.6643416e-06,4.3977058e-10,1.2214472e-06,4.2768024e-06,0.0079199998,0.01188,0.21600001,400
0.00126,3.87718e-10,9.4454634e-07,-9.0203905e-08,-0.00013987561,1.0243819e-07,0.00016023069,0.019973258,1.9999454,-8.6103751e-07,-0.0013628632,1,-1.2567139e-13,-1e-10,0,1,2,0,0,0,0,0,0.00026948503,0.59581828,5.9782229e-07,0.0013790794,2.0949291e-09,4.9875684e-06,6.9830969e-10,1.6625229e-06,5.8212026e-06,0.0092399996,0.01386,0.252,400
0.00144,5.8444122e-10,1.2488566e-06,-1.1698884e-07,-0.00015759956,1.3320083e-07,0.00018147677,0.020333247,1.9999377,-1.1236394e-06,-0.0015547612,1,-1.436714e-13,-1e-10,0,1,2,0,0,0,0,0,0.00039016019,0.74670202,8.8060386e-07,0.001769898,3.1270495e-09,6.514364e-06,1.0423498e-09,2.1714548e-06,7.6032024e-06,0.01056,0.01584,0.28799999,400
0.00162,8.4006502e-10,1.5991593e-06,-1.4688845e-07,-0.00017446835,1.67732e-07,0.00020209202,0.020693235,1.9999299,-1.420685e-06,-0.0017455487,1,-1.6167139e-13,-1e-10,0,1,2,0,0,0,0,0,0.00053885457,0.90683228,1.2374285e-06,0.0022014077,4.4523145e-09,8.2447268e-06,1.4841047e-09,2.7482422e-06,9.6228023e-06,0.01188,0.017820001,0.324,400
0.0018,1.1629554e-09,1.9964148e-06,-1.797407e-07,-0.00019039155,2.0591199e-07,0.00022200792,0.021053223,1.9999223,-1.7519626e-06,-0.0019350968,1,-1.796714e-13,-1e-10,0,1,2,0,0,0,0,0,0.00071706349,1.0743464,1.6754182e-06,0.0026713703,6.1073653e-09,1.0178654e-05,2.0357884e-09,3.3928845e-06,1.1880003e-05,0.0132,0.0198,0.36000001,400
0.0019799999,1.5616418e-09,2.4414662e-06,-2.1536732e-07,-0.00020528001,2.4760882e-07,0.00024115697,0.021413207,1.9999146,-2.1172377e-06,-0.0021232779,1,-1.9767139e-13,-1e-10,0,1,2,0,0,0,0,0,0.00092596211,1.2475643,2.2013023e-06,0.003177671,8.1288434e-09,1.2316144e-05,2.7096145e-09,4.1053809e-06,1.4374802e-05,0.01452,0.021779999,0.396,400
0.0021599999,2.0447926e-09,2.9350333e-06,-2.535742e-07,-0.00021904596,2.9267852e-07,0.00025947273,0.021773191,1.999907,-2.5162531e-06,-0.0023099659,1,-2.1567139e-13,-1e-10,0,1,2,0,0,0,0,0,0.0011664394,1.4249747,2.8214413e-06,0.0037183107,1.055339e-08,1.4657192e-05,3.5177967e-09,4.8857305e-06,1.7107202e-05,0.01584,0.02376,0.43200001,400
0.0023399999,2.621197e-09,3.4777056e-06,-2.9415145e-07,-0.00023160316,3.4096516e-07,0.00027688983,0.022133173,1.9998994,-2.9487285e-06,-0.0024950358,1,-2.336714e-13,-1e-10,0,1,2,0,0,0,0,0,0.0014391239,1.6052241,3.5418427e-06,0.0042914012,1.3417646e-08,1.7201797e-05,4.4725486e-09,5.7339321e-06,2.0077203e-05,0.01716,0.025739999,0.46799999,400
0.0025200001,3.2997385e-09,4.069936e-06,-3.3687377e-07,-0.00024286697,3.9230113e-07,0.00029334414,0.022493156,1.9998919,-3.4143616e-06,-0.0026783645,1,-2.5167141e-13,-1e-10,0,1,2,0,0,0,0,0,0.0017444147,1.7871035,4.3681844e-06,0.0048951576,1.675825e-08,1.9949955e-05,5.5860836e-09,6.6499852e-06,2.3284803e-05,0.018479999,0.027720001,0.50400001,400
