"time","loadInertia3.phi","loadInertia3.w","loadInertiaM.phi","loadInertiaM.w","smr3.is[1]","smr3.is[2]","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smrM.is[2]","smrM.is[3]","smrM.is[4]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController3.x","vfControllerM.x"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,3.65599568822201e-28,2.1331224411750443e-23,3.6559973812821433e-28,2.133123445615562e-23,0.00037127370975528686,-0.00018563676012961866,-2.9279604088975481e-10,-7.3282802526837694e-17,-1.7655644563309575e-07,-5.1390305375464177e-14,0.00022276422585307731,6.883799395795005e-05,-0.00018022000586969298,-0.00018022008303814234,-2.9279604088878272e-10,-7.3282834308592345e-17,-1.7655644563301944e-07,-5.1390330709212661e-14,3.9270608148137322e-07,3.9270608148137322e-07
0.0001,9.8129577264248135e-26,2.8633202918089131e-21,9.8129582716653648e-26,2.8633204462707083e-21,0.0014807926615041569,-0.00074039481836680782,-2.3357644242227972e-09,-2.3389960201571205e-15,-7.0532809099289539e-07,-8.2140914077477597e-13,0.00088847559690239525,0.0002745550550580007,-0.00071879124109341345,-0.00071879247286944629,-2.3357644242212193e-09,-2.3389961409070838e-15,-7.0532809099279333e-07,-8.2140917343496707e-13,1.5708043594765048e-06,1.5708043594765048e-06
0.00015000000000000001,8.569267551516989e-24,1.2653980864321144e-19,8.569281645148967e-24,1.2654001514018758e-19,0.0033202828265482573,-0.0016601320391480107,-8.3796852871119588e-09,-2.6591862786572791e-14,-1.5845993292357748e-06,-5.1027482471868173e-12,0.0019921696959288031,0.00061562046843828804,-0.0016116953222638094,-0.0016117029571065206,-8.3796852871096278e-09,-2.6591863056437636e-14,-1.584599329235648e-06,-5.1027482878713492e-12,3.5343004483101942e-06,3.5343004483101942e-06
0.00020000000000000001,2.612077673015962e-23,3.8107712745196751e-19,2.6120820203938446e-23,3.8107776418635742e-19,0.0058891573382062164,-0.0029445545885401431,-1.8584102354207082e-08,-7.4455272235136374e-14,-2.8142483748528038e-06,-1.3113929032012029e-11,0.0035334944029235182,0.0010919256869867879,-0.002858647215176497,-0.0028586668278112568,-1.8584102354203614e-08,-7.445527271907693e-14,-2.8142483748526306e-06,-1.3113929090104295e-11,6.2831943684220199e-06,6.2831943684220199e-06
0.00025000000000000001,8.5658168994120808e-22,6.4766368777850559e-18,8.5658251950035011e-22,6.4766432958225456e-18,0.0091679034715002883,-0.0045838796227376383,-3.8252212288884199e-08,-3.5933016744205579e-13,-4.3902245363015615e-06,-3.9400897031208111e-11,0.0055007420828999606,0.0016998703013671819,-0.0044501644601884901,-0.0044502231932904519,-3.8252212288879805e-08,-3.5933016813328555e-13,-4.3902245363013624e-06,-3.9400897098871505e-11,9.8174864752370038e-06,9.8174864752370038e-06
0.00030000000000000003,2.3534557010136724e-21,1.7372293504945702e-17,2.3534579382134827e-21,1.7372310120253358e-17,0.013160107937012264,-0.0065799053430733072,-6.6409210961789861e-08,-8.4224968348238557e-13,-6.3132723844118638e-06,-8.1301846363670395e-11,0.0078960647622071493,0.0024401161311817582,-0.0063879900566396648,-0.0063881111059817313,-6.6409210961784673e-08,-8.4224968438700188e-13,-6.3132723844116512e-06,-8.1301846435842472e-11,1.4137176701659369e-05,1.4137176701659369e-05
0.00035,4.4609233037239939e-21,3.2671423012074647e-17,4.4609275186235926e-21,3.2671453884318791e-17,0.017867137379532532,-0.0089333169184303163,-1.026836686311961e-07,-1.5083662708441818e-12,-8.5836756231019462e-06,-1.3780254879505134e-10,0.010720282427719401,0.0033129153496382411,-0.0086727881397913251,-0.0086729931972565569,-1.0268366863119015e-07,-1.5083662719731913e-12,-8.5836756231017294e-06,-1.3780254886772681e-10,1.9242265022123597e-05,1.9242265022123597e-05
0.00040000000000000002,7.1789844980721769e-21,5.2374025399171917e-17,7.1789912607306829e-21,5.2374074588018872e-17,0.0232889917990611,-0.011644114348808668,-1.4707558529710296e-07,-2.3576799295274463e-12,-1.1201434252371814e-05,-2.0890300432535115e-10,0.013973395079436382,0.0043182679567367764,-0.011304558709643369,-0.011304869467115284,-1.4707558529709632e-07,-2.3576799308918553e-12,-1.1201434252371605e-05,-2.0890300439452462e-10,2.5132751436629696e-05,2.5132751436629696e-05
0.00045000000000000004,2.0457748004376911e-20,1.4061476831436489e-16,2.0457766095533201e-20,1.4061489195257593e-16,0.02939762993764582,-0.014698210621748522,-2.0720387566235589e-07,-4.1022146354035358e-12,-1.4160724980790472e-05,-3.3123480471618157e-10,0.017638577962587294,0.0054510185581528895,-0.014269663220342016,-0.014270155436338942,-2.0720387566234845e-07,-4.1022146370072508e-12,-1.4160724980790262e-05,-3.31234804785169e-10,3.1808635991349955e-05,3.1808635991349955e-05
