"time","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w","smrE.is[1]","smrE.is[2]","smrE.idq_rr[1]","smrE.idq_rr[2]","smrE.idq_sr[1]","smrE.idq_sr[2]","smrM.is[1]","smrM.is[2]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,-1.1057797624017854e-28,-1.0392492922690018e-23,-1.1057687597702489e-28,-1.0392393628119193e-23,8.6480587477417208e-11,-0.00032553926114665271,-8.5010007185728372e-11,0.00035603066645685251,8.6480587332848733e-11,-0.00037590031018003311,8.6480587936036551e-11,-0.00032553926114665146,-4.5142868985620654e-17,2.5829582943145515e-10,-4.1102531865949821e-14,1.7657512123819865e-07,3.9270563724396225e-07
0.0001,-1.5071901099934088e-26,-9.1501749293774128e-22,-1.5071893193053529e-26,-9.1501773437223353e-22,1.2238248147983274e-09,-0.0012992483072158797,-1.2029672703757012e-09,0.0014206423521942067,1.2238248142213454e-09,-0.0015002420132549208,1.2238248196967672e-09,-0.0012992483072158901,-1.0775259663852608e-15,1.933978755133516e-09,-5.8209125295889251e-13,7.0557809595985818e-07,1.5708028203895142e-06
0.00015000000000000001,-2.9877195712636296e-25,-1.294576166503291e-20,-2.9877208196290118e-25,-1.2945767002076805e-20,5.9813845775779089e-09,-0.0029166445907550889,-5.8792176206408826e-09,0.0031884678688960193,5.9813845762826598e-09,-0.0033678476258518363,5.9813846002912396e-09,-0.0029166445907550455,-7.3952824167004766e-15,6.4247279580355308e-09,-2.8470356824135358e-12,1.5859043446517377e-06,3.5342982164321398e-06
0.00020000000000000001,-3.344356224070703e-24,-1.0201437423351455e-19,-3.344356450608342e-24,-1.0201437492160972e-19,1.8998314585889937e-08,-0.005173186996146939,-1.8672912842784322e-08,0.0056540694341619584,1.8998314583592585e-08,-0.0059734708409053721,1.899831461246726e-08,-0.0051731869961468635,-3.1892782863599406e-14,1.5144529815244972e-08,-9.0511305288289798e-12,2.8164324523376517e-06,6.2831917438453885e-06
0.00025000000000000001,-1.7585541957360106e-23,-4.4815552732698359e-19,-1.7585482660858799e-23,-4.4815447870860827e-19,4.6189619660649508e-08,-0.0080643889445180337,-4.5396517382857226e-08,0.0088120738690122043,4.6189619657068213e-08,-0.0093119275883453093,4.618962013563932e-08,-0.0080643889445181551,-9.6036379150133157e-14,2.949030944093125e-08,-2.2023729321807469e-11,4.3960540353829829e-06,9.8174834750332993e-06
0.00030000000000000003,-6.8258124517249759e-23,-1.5218603482321873e-18,-6.8257030679835096e-23,-1.5218464140381899e-18,9.5653318752385676e-08,-0.011585829970826508,-9.4006718910161107e-08,0.012657186008399199,9.5653318747240546e-08,-0.013378108879414503,9.5653328820166639e-08,-0.011585829970831178,-2.3810612680373015e-13,5.0838174311216201e-08,-4.5647141926339983e-11,6.3236762079421208e-06,1.4137173368087446e-05
0.00035,-2.1475308916780743e-22,-4.1877621249845752e-18,-2.1474950629940747e-22,-4.1877227184295475e-18,1.7658609017821825e-07,-0.015733107467673223,-1.7353886301001493e-07,0.01718413148903029,1.7658609017123136e-07,-0.018166925711274189,1.7658611878301755e-07,-0.015733107467686743,-5.0934244759361197e-13,8.0558584000599011e-08,-8.4338022210594276e-11,8.5982101086855088e-06,1.9242261423356049e-05
0.00040000000000000002,-5.6544002570798879e-22,-9.8439223508764688e-18,-5.6543225630129944e-22,-9.8438490904716938e-18,2.9973630428677443e-07,-0.020501850008607683,-2.9455181815469916e-07,0.022387672465200455,2.9973630427766989e-07,-0.023673324189873984,2.9973635575289426e-07,-0.020501850008632218,-9.7853904835712241e-13,1.2001215021644867e-07,-1.4326697033254424e-10,1.1218574015845539e-05,2.5132747646897733e-05
0.00045000000000000004,-1.3431370622024113e-21,-2.0966977474800267e-17,-1.3431233017679395e-21,-2.0966859252717343e-17,4.7820925526478805e-07,-0.025887733338129763,-4.6991820411955649e-07,0.028262626332338642,4.782092552532918e-07,-0.029892303528714675,4.7820933554362788e-07,-0.025887733338168198,-1.7447690820902799e-12,1.7054458050209983e-07,-2.2875334598779088e-10,1.4183697000048533e-05,3.1808632035193846e-05
0.00050000000000000001,-2.9270326466783478e-21,-4.1128751854896304e-17,-2.9270105921862388e-21,-4.1128571296023884e-17,7.2643361600986318e-07,-0.031886458408589009,-7.1380899005138817e-07,0.034803839972317147,7.2643361599570312e-07,-0.036818891284761582,7.2643372895503378e-07,-0.031886458408643223,-2.9315128927737578e-12,2.334936150945952e-07,-3.4776879753613833e-10,1.7492513879532769e-05,3.9269914587622744e-05
