"Time","rootMeanSquareVoltage.mean.y","pulsem.twomPulse.timerPositive[1].entryTime","pulsem.twomPulse.timerNegative[2].entryTime","pulsem.twomPulse.timerPositive[3].entryTime","inductor.i","pulsem.twomPulse.timerNegative[1].entryTime","meanCurrent.x","rectifier.thyristor.idealThyristor[3].off","pulsem.twomPulse.timerNegative[3].entryTime","rectifier.thyristor.idealThyristor[2].off","rootMeanSquareVoltage.mean.x","rectifier.thyristor.idealThyristor[1].off","meanVoltage.x","pulsem.twomPulse.timerPositive[2].entryTime","meanCurrent.y","meanVoltage.y"
4.9543962,7098.8413,4.9416666,4.9383335,4.9349999,2.6642904,4.9516668,0.0027689259,1,4.9450002,0,15.24095,1,0.12687212,4.9483333,2.7021604,1.8879479
4.954596,7098.8413,4.9416666,4.9383335,4.9349999,2.6832011,4.9516668,0.0033037227,1,4.9450002,0,17.163828,1,0.14647825,4.9483333,2.7021604,1.8879479
4.9547963,7098.8413,4.9416666,4.9383335,4.9349999,2.7004838,4.9516668,0.0038421405,1,4.9450002,0,18.793957,1,0.16452913,4.9483333,2.7021604,1.8879479
4.9549961,7098.8413,4.9416666,4.9383335,4.9349999,2.7160745,4.9516668,0.0043838467,1,4.9450002,0,20.143797,1,0.18095343,4.9483333,2.7021604,1.8879479
4.9549999,7098.8413,4.9416666,4.9383335,4.9349999,2.716351,4.9516668,0.0043940656,1,4.9450002,0,20.166605,1,0.18124637,4.9483333,2.7021604,1.8879479
4.9549999,7098.8413,4.9416666,4.9383335,4.9349999,2.716351,4.9516668,0.0043940665,1,4.9450002,0,20.166607,1,0.18124638,4.9483333,2.7021604,1.8879479
4.9549999,7098.8413,4.9416666,4.9383335,4.9549999,2.716351,4.9516668,0.0043940665,1,4.9450002,0,20.166607,1,0.18124638,4.9483333,2.7021604,1.8879479
4.9551964,7098.8413,4.9416666,4.9383335,4.9549999,2.7299144,4.9516668,0.0049284953,1,4.9450002,0,21.230362,1,0.19568604,4.9483333,2.7021604,1.8879479
4.9553962,7098.8413,4.9416666,4.9383335,4.9549999,2.7419534,4.9516668,0.0054757344,1,4.9450002,0,22.07449,1,0.20866939,4.9483333,2.7021604,1.8879479
4.9555964,7098.8413,4.9416666,4.9383335,4.9549999,2.7521472,4.9516668,0.006025197,1,4.9450002,0,22.701105,1,0.2198519,4.9483333,2.7021604,1.8879479
4.9557962,7098.8413,4.9416666,4.9383335,4.9549999,2.7604589,4.9516668,0.0065765111,1,4.9450002,0,23.138485,1,0.22918952,4.9483333,2.7021604,1.8879479
4.9559965,7098.8413,4.9416666,4.9383335,4.9549999,2.7668593,4.9516668,0.0071292971,1,4.9450002,0,23.417913,1,0.23664537,4.9483333,2.7021604,1.8879479
4.9561963,7098.8413,4.9416666,4.9383335,4.9549999,2.771327,4.9516668,0.00768317,1,4.9450002,0,23.573156,1,0.24219003,4.9483333,2.7021604,1.8879479
4.9563961,7098.8413,4.9416666,4.9383335,4.9549999,2.7738476,4.9516668,0.0082377419,1,4.9450002,0,23.63994,1,0.24580158,4.9483333,2.7021604,1.8879479
4.9565964,7098.8413,4.9416666,4.9383335,4.9549999,2.7744145,4.9516668,0.008792622,1,4.9450002,0,23.655369,1,0.24746582,4.9483333,2.7021604,1.8879479
4.9566231,7098.8413,4.9416666,4.9383335,4.9549999,2.7743413,4.9516668,0.0088675003,1,4.9450002,0,23.655579,1,0.24754083,4.9483333,2.7021604,1.8879479
4.9566231,7098.8413,4.9416666,4.9383335,4.9549999,2.7743413,4.9516668,0.0088675003,1,4.9450002,0,23.655579,1,0.24754083,4.9483333,2.7021604,1.8879479
4.9567962,7098.8413,4.9416666,4.9383335,4.9549999,2.7730293,4.9516668,0.0093474202,1,4.9450002,0,23.657459,1,0.24717616,4.9483333,2.7021604,1.8879479
4.9569964,7098.8413,4.9416666,4.9383335,4.9549999,2.7697008,4.9516668,0.009901748,1,4.9450002,0,23.684162,1,0.24493381,4.9483333,2.7021604,1.8879479
4.9571962,7098.8413,4.9416666,4.9383335,4.9549999,2.7644455,4.9516668,0.010455216,1,4.9450002,0,23.773325,1,0.24074765,4.9483333,2.7021604,1.8879479
4.9573965,7098.8413,4.9416666,4.9383335,4.9549999,2.757288,4.9516668,0.011007443,1,4.9450002,0,23.961706,1,0.23463409,4.9483333,2.7021604,1.8879479
4.9575963,7098.8413,4.9416666,4.9383335,4.9549999,2.7482593,4.9516668,0.011558051,1,4.9450002,0,24.284512,1,0.2266172,4.9483333,2.7021604,1.8879479
4.9577966,7098.8413,4.9416666,4.9383335,4.9549999,2.7373986,4.9516668,0.012106668,1,4.9450002,0,24.774841,1,0.21672861,4.9483333,2.7021604,1.8879479
4.9579964,7098.8413,4.9416666,4.9383335,4.9549999,2.7247527,4.9516668,0.012652935,1,4.9450002,0,25.463106,1,0.20500745,4.9483333,2.7021604,1.8879479
4.9581962,7098.8413,4.9416666,4.9383335,4.9549999,2.7103744,4.9516668,0.013196497,1,4.9450002,0,26.376621,1,0.19149995,4.9483333,2.7021604,1.8879479
4.9583335,7098.8413,4.9416666,4.9383335,4.9549999,2.6995592,4.9516668,0.013567002,1,4.9450002,0,27.144587,1,0.1812465,4.9483333,2.7021604,1.8879479
4.9583335,7098.8413,4.9416666,4.9383335,4.9549999,2.6995592,4.9516668,0.013567002,1,4.9450002,0,27.144588,1,0.18124647,4.9483333,2.7021604,1.8879479
4.9583335,7098.8413,4.9416666,4.9583335,4.9549999,2.6995592,4.9516668,0.013567002,1,4.9450002,0,27.144588,1,0.18124647,4.9483333,2.7021604,1.8879479
4.9583964,7098.8413,4.9416666,4.9583335,4.9549999,2.6943238,4.9516668,0.013737015,1,4.9450002,0,27.539164,1,0.17625947,4.9483333,2.7021604,1.8879479
4.9585962,7098.8413,4.9416666,4.9583335,4.9549999,2.6766679,4.9516668,0.014274162,1,4.9450002,0,28.970535,1,0.15934615,4.9483333,2.7021604,1.8879479
4.9587965,7098.8413,4.9416666,4.9583335,4.9549999,2.6574798,4.9516668,0.014807623,1,4.9450002,0,30.686306,1,0.14082673,4.9483333,2.7021604,1.8879479
4.9589963,7098.8413,4.9416666,4.9583335,4.9549999,2.6368382,4.9516668,0.015337099,1,4.9450002,0,32.697632,1,0.12077429,4.9483333,2.7021604,1.8879479
4.9591966,7098.8413,4.9416666,4.9583335,4.9549999,2.6148281,4.9516668,0.015862308,1,4.9450002,0,35.010979,1,0.099267937,4.9483333,2.7021604,1.8879479
4.9593964,7098.8413,4.9416666,4.9583335,4.9549999,2.5915396,4.9516668,0.016382987,1,4.9450002,0,37.628014,1,0.076392591,4.9483333,2.7021604,1.8879479
4.9595966,7098.8413,4.9416666,4.9583335,4.9549999,2.5670679,4.9516668,0.016898887,1,4.9450002,0,40.545616,1,0.052238557,4.9483333,2.7021604,1.8879479
4.9597964,7098.8413,4.9416666,4.9583335,4.9549999,2.541513,4.9516668,0.017409783,1,4.9450002,0,43.755962,1,0.026901092,4.9483333,2.7021604,1.8879479
4.95996,7098.8413,4.9416666,4.9583335,4.9549999,2.519886,4.9516668,0.017823642,1,4.9450002,0,46.589806,1,0.005374724,4.9483333,2.7021604,1.8879479
4.95996,7098.8413,4.9416666,4.9583335,4.9549999,2.519886,4.9516668,0.017823642,0,4.9450002,1,46.589806,1,0.005374724,4.9483333,2.7021604,1.8879479
4.9599962,7098.8413,4.9416666,4.9583335,4.9549999,2.5248029,4.9516668,0.017915647,0,4.9450002,1,47.257042,1,0.010308044,4.9483333,2.7021604,1.8879479
4.96,7098.8413,4.9416666,4.9583335,4.9549999,2.5252814,4.9516668,0.017924648,0,4.9450002,1,47.321781,1,0.010788413,4.9483333,2.7021604,1.8879479
4.96,7098.2671,4.9416666,4.9583335,4.9549999,2.5252814,4.9516668,0,0,4.9450002,1,0,1,0,4.9483333,2.6886971,1.6182619
4.9601965,7098.2671,4.9416666,4.9583335,4.9549999,2.5511081,4.9516668,0.00049862958,0,4.9450002,1,3.4355531,1,0.025977092,4.9483333,2.6886971,1.6182619
4.9603963,7098.2671,4.9416666,4.9583335,4.9549999,2.5762308,4.9516668,0.0010114043,0,4.9450002,1,6.6561103,1,0.051354844,4.9483333,2.6886971,1.6182619
4.9605966,7098.2671,4.9416666,4.9583335,4.9549999,2.6000757,4.9516668,0.0015290775,0,4.9450002,1,9.5843086,1,0.075552717,4.9483333,2.6886971,1.6182619
4.9607964,7098.2671,4.9416666,4.9583335,4.9549999,2.6225524,4.9516668,0.0020513847,0,4.9450002,1,12.212136,1,0.098475203,4.9483333,2.6886971,1.6182619
4.9609966,7098.2671,4.9416666,4.9583335,4.9549999,2.6435764,4.9516668,0.0025780431,0,4.9450002,1,14.536314,1,0.12003184,4.9483333,2.6886971,1.6182619
4.9611964,7098.2671,4.9416666,4.9583335,4.9549999,2.6630681,4.9516668,0.003108755,0,4.9450002,1,16.558353,1,0.14013754,4.9483333,2.6886971,1.6182619
4.9613967,7098.2671,4.9416666,4.9583335,4.9549999,2.6809549,4.9516668,0.0036432059,0,4.9450002,1,18.284521,1,0.15871298,4.9483333,2.6886971,1.6182619
4.9615965,7098.2671,4.9416666,4.9583335,4.9549999,2.69717,4.9516668,0.0041810684,0,4.9450002,1,19.725765,1,0.17568484,4.9483333,2.6886971,1.6182619
4.9616666,7098.2671,4.9416666,4.9583335,4.9549999,2.702451,4.9516668,0.0043705087,0,4.9450002,1,20.166605,1,0.18124637,4.9483333,2.6886971,1.6182619
4.9616666,7098.2671,4.9416666,4.9583335,4.9549999,2.702451,4.9516668,0.0043705096,0,4.9450002,1,20.166607,1,0.18124638,4.9483333,2.6886971,1.6182619
4.9616666,7098.2671,4.9616666,4.9583335,4.9549999,2.702451,4.9516668,0.0043705096,0,4.9450002,1,20.166607,1,0.18124638,4.9483333,2.6886971,1.6182619
