"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","idealthyristor.off","meanCurrent.y","meanVoltage.y","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.timerPositive[1].entryTime","rootMeanSquareVoltage.mean.y"
0,0,0,0,1,0,0,0,0,0
2.0462734408059344e-15,9.9984890140217272e-23,1.9996977964934582e-21,1.9541822774099272e-27,1,0,0,0,0,0
2.0462734408059344e-15,9.9984890140217272e-23,1.9996977964934582e-21,1.9541822774099272e-27,1,0,0,0,2.0462734408059344e-15,0
1.0030493227670048e-12,4.9010936749301632e-20,9.8021873497341086e-19,9.5790779835939504e-25,1,0,0,0,2.0462734408059344e-15,0
1.0030493227670048e-12,4.9010936749301632e-20,9.8021873497341086e-19,9.5790779835939504e-25,0,0,0,0,2.0462734408059344e-15,0
0.0001,1.2217009071171867e-05,0.00024434018142343737,0.0007961169715002208,0,0,0,0,2.0462734408059344e-15,0
0.00020000000000000001,4.8855661735606922e-05,0.00097711323471213834,0.0063642307320940766,0,0,0,0,2.0462734408059344e-15,0
0.00030000000000000003,0.0001098799745496461,0.0021975994909929214,0.021457830706484153,0,0,0,0,2.0462734408059344e-15,0
0.00040000000000000002,0.00019522968444098997,0.0039045936888197985,0.050792696356262677,0,0,0,0,2.0462734408059344e-15,0
0.00050000000000000001,0.00030482056582075036,0.0060964113164150083,0.099028387984727573,0,0,0,0,2.0462734408059344e-15,0
0.00060000000000000006,0.00043854446400404804,0.0087708892800809606,0.17074984758834741,0,0,0,0,2.0462734408059344e-15,0
0.00069999999999999999,0.00059626940020530669,0.011925388004106134,0.27044933184401848,0,0,0,0,2.0462734408059344e-15,0
0.00080000000000000004,0.00077783972149489844,0.015556794429897972,0.40250866114121758,0,0,0,0,2.0462734408059344e-15,0
0.00090000000000000008,0.00098307624500842484,0.019661524900168495,0.57118197282258432,0,0,0,0,2.0462734408059344e-15,0
0.001,0.0012117764262445443,0.02423552852489089,0.78057890938039665,0,0,0,0,2.0462734408059344e-15,0
0.0011000000000000001,0.0014637145637807656,0.029274291275615316,1.0346483853748294,0,0,0,0,2.0462734408059344e-15,0
0.0012000000000000001,0.0017386420256443214,0.034772840512886427,1.3371630118133682,0,0,0,0,2.0462734408059344e-15,0
0.0013000000000000002,0.0020362874925552942,0.040725749851105893,1.6917042238496667,0,0,0,0,2.0462734408059344e-15,0
0.0014,0.0023563572239734404,0.047127144479468815,2.1016481178743125,0,0,0,0,2.0462734408059344e-15,0
0.0015,0.0026985353493556188,0.053970706987112385,2.5701521419174784,0,0,0,0,2.0462734408059344e-15,0
0.0016000000000000001,0.003062484180340217,0.061249683606804356,3.1001426360613182,0,0,0,0,2.0462734408059344e-15,0
0.0017000000000000001,0.0034478445436831617,0.068956890873663232,3.69430329177117,0,0,0,0,2.0462734408059344e-15,0
0.0018000000000000002,0.0038542361350110076,0.077084722700220182,4.3550645340878917,0,0,0,0,2.0462734408059344e-15,0
0.0019,0.0042812578947723336,0.085625157895446669,5.0845939486493839,0,0,0,0,2.0462734408059344e-15,0
0.002,0.0047284884041998449,0.094569768083996919,5.8847877347802529,0,0,0,0,2.0462734408059344e-15,0
0.0021000000000000003,0.0051954863008348787,0.10390972601669757,6.7572632082955293,0,0,0,0,2.0462734408059344e-15,0
0.0022000000000000001,0.0056817907140066463,0.11363581428013293,7.7033524132376785,0,0,0,0,2.0462734408059344e-15,0
0.0023,0.0061869217198911993,0.12373843439782396,8.7240968752704671,0,0,0,0,2.0462734408059344e-15,0
0.0024000000000000002,0.0067103808154371598,0.13420761630874317,9.8202435107800135,0,0,0,0,2.0462734408059344e-15,0
0.0025000000000000001,0.007251651409565029,0.14503302819130054,10.992241632984385,0,0,0,0,2.0462734408059344e-15,0
0.0026000000000000003,0.0078101993334916825,0.15620398666983362,12.240241209506166,0,0,0,0,2.0462734408059344e-15,0
0.0027000000000000001,0.0083854733678640544,0.16770946735728109,13.56409226929895,0,0,0,0,2.0462734408059344e-15,0
0.0028,0.0089769057868125807,0.17953811573625164,14.963345499979294,0,0,0,0,2.0462734408059344e-15,0
0.0029000000000000002,0.0095839129178219174,0.19167825835643834,16.437253992095005,0,0,0,0,2.0462734408059344e-15,0
0.0030000000000000001,0.010205895718081918,0.20411791436163831,17.984776210177927,0,0,0,0,2.0462734408059344e-15,0
0.0031000000000000003,0.010842240365777306,0.21684480731554606,19.604580112261718,0,0,0,0,2.0462734408059344e-15,0
0.0032000000000000002,0.011492318865571876,0.22984637731143745,21.295048385287625,0,0,0,0,2.0462734408059344e-15,0
0.0033,0.012155489668395504,0.24310979336791003,23.054284829659331,0,0,0,0,2.0462734408059344e-15,0
0.0034000000000000002,0.012831098304691401,0.25662196609382792,24.880121851775868,0,0,0,0,2.0462734408059344e-15,0
0.0035000000000000001,0.013518478030470009,0.27036956060940015,26.770129033573266,0,0,0,0,2.0462734408059344e-15,0
0.0036000000000000003,0.014216950484827434,0.28433900969654863,28.721622683972516,0,0,0,0,2.0462734408059344e-15,0
0.0037000000000000002,0.014925826359745542,0.29851652719491079,30.731676458524653,0,0,0,0,2.0462734408059344e-15,0
0.0038,0.015644406082143843,0.31288812164287677,32.797133069758182,0,0,0,0,2.0462734408059344e-15,0
0.0039000000000000003,0.016371980504489934,0.32743961008979844,34.914616767303592,0,0,0,0,2.0462734408059344e-15,0
0.0040000000000000001,0.017107831594309921,0.34215663188619821,37.080545738011729,0,0,0,0,2.0462734408059344e-15,0
0.0041000000000000003,0.01785123315479344,0.35702466309586867,39.291147314129425,0,0,0,0,2.0462734408059344e-15,0
0.0042000000000000006,0.018601451535778739,0.3720290307155748,41.542472338768192,0,0,0,0,2.0462734408059344e-15,0
0.0043,0.019357746362404407,0.38715492724808803,43.830411183358855,0,0,0,0,2.0462734408059344e-15,0
0.0044000000000000003,0.020119371265291147,0.402387425305823,46.150709929504131,0,0,0,0,2.0462734408059344e-15,0
0.0045000000000000005,0.020885574610512655,0.41771149221025305,48.498986523803453,0,0,0,0,2.0462734408059344e-15,0
0.0045999999999999999,0.021655600248944081,0.43311200497888158,50.870748804399405,0,0,0,0,2.0462734408059344e-15,0
0.0047000000000000002,0.022428688259388752,0.44857376518777486,53.261411933204805,0,0,0,0,2.0462734408059344e-15,0
0.0048000000000000004,0.023204075695977426,0.46408151391954849,55.666316241166484,0,0,0,0,2.0462734408059344e-15,0
0.0048999999999999998,0.02398099734436962,0.47961994688739229,58.080745929059091,0,0,0,0,2.0462734408059344e-15,0
0.0050000000000000001,0.024758686477378413,0.49517372954756822,60.499947724745219,0,0,0,0,2.0462734408059344e-15,0
0.0051000000000000004,0.025536375610046562,0.51072751220093127,62.919149488656174,0,0,0,0,2.0462734408059344e-15,0
0.0052000000000000006,0.026313297256416283,0.5262659451283257,65.333578979840041,0,0,0,0,2.0462734408059344e-15,0
0.0053,0.027088684689163284,0.54177369378326579,67.738482914479391,0,0,0,0,2.0462734408059344e-15,0
0.0054000000000000003,0.027861772694354317,0.5572354538870864,70.129145532814718,0,0,0,0,2.0462734408059344e-15,0
0.0055000000000000005,0.0286317983250922,0.57263596650184412,72.500907059326053,0,0,0,0,2.0462734408059344e-15,0
0.0055999999999999999,0.029398001654305214,0.58796003308610423,74.849182075589965,0,0,0,0,2.0462734408059344e-15,0
0.0057000000000000002,0.030159626531838287,0.60319253063676581,77.169478322388301,0,0,0,0,2.0462734408059344e-15,0
0.0058000000000000005,0.030915921315741848,0.61831842631483713,79.457412968009237,0,0,0,0,2.0462734408059344e-15,0
0.0058999999999999999,0.031666139648137775,0.6333227929627554,81.708733244142266,0,0,0,0,2.0462734408059344e-15,0
0.0060000000000000001,0.03240954116483763,0.64819082329675259,83.919330585550853,0,0,0,0,2.0462734408059344e-15,0
0.0061000000000000004,0.033145392214386907,0.66290784428773852,86.085255691525148,0,0,0,0,2.0462734408059344e-15,0
0.0062000000000000006,0.033872966624974646,0.67745933249949297,88.202738343939401,0,0,0,0,2.0462734408059344e-15,0
0.0063,0.034591546341261617,0.69183092682523228,90.268194443623813,0,0,0,0,2.0462734408059344e-15,0
0.0064000000000000003,0.035300422224653474,0.70600844449306943,92.278249137272837,0,0,0,0,2.0462734408059344e-15,0
0.0065000000000000006,0.035998894677686202,0.71997789355372399,94.229742774248948,0,0,0,0,2.0462734408059344e-15,0
0.0066,0.036686274394963546,0.73372548789927095,96.11974925984002,0,0,0,0,2.0462734408059344e-15,0
0.0067000000000000002,0.037361883012179499,0.74723766024358995,97.945584576991465,0,0,0,0,2.0462734408059344e-15,0
0.0068000000000000005,0.038025053785348227,0.76050107570696446,99.704818351172179,0,0,0,0,2.0462734408059344e-15,0
0.0069000000000000008,0.038675132255937002,0.7735026451187399,101.3952840072924,0,0,0,0,2.0462734408059344e-15,0
0.0070000000000000001,0.039311476867306822,0.78622953734613643,103.01508475110252,0,0,0,0,2.0462734408059344e-15,0
