"Time","aimc.idq_sr[2]","vfController.x","aimc.is[1]","aimc.is[2]","aimc.idq_rr[1]","mass.v","aimc.idq_sr[1]","aimc.idq_rr[2]","mass.s"
0.30587393,370.60873,14.696191,387.86588,-171.26604,135.9655,1.2518815,-117.36333,-354.77487,0.11182705
0.30687678,368.15579,14.792718,386.25443,-141.37526,148.77644,1.2588259,-131.24333,-350.92264,0.113086
0.30787966,364.98062,14.88956,381.47379,-110.02173,161.32489,1.2656909,-144.90674,-346.39035,0.11435188
0.30888253,361.08646,14.986718,373.5289,-77.470428,173.58597,1.2724895,-158.32666,-341.18387,0.11562461
0.30988538,356.47769,15.084192,362.45398,-44.002232,185.53487,1.2792345,-171.47606,-335.31033,0.11690413
0.31088826,351.16013,15.181983,348.31277,-9.9117556,197.14673,1.2859389,-184.32782,-328.77808,0.1181904
0.31189111,345.1409,15.280089,331.19897,24.495064,208.39671,1.2926158,-196.85472,-321.59677,0.11948337
0.31289399,338.42868,15.378511,311.23615,58.903572,219.26013,1.2992783,-209.02957,-313.77753,0.12078303
0.31389683,331.03363,15.477249,288.57721,92.993195,229.7124,1.3059397,-220.82518,-305.33273,0.12208937
0.31489971,322.96747,15.576303,263.4039,126.4404,239.72916,1.3126129,-232.21449,-296.27643,0.1234024
0.31590259,314.24365,15.675673,235.92566,158.92178,249.28632,1.3193109,-243.17064,-286.62402,0.12472213
0.31690544,304.87717,15.77536,206.37848,190.11729,258.36017,1.3260465,-253.66701,-276.39255,0.12604859
0.31790832,294.8848,15.875362,175.02316,219.71355,266.92746,1.3328322,-263.6774,-265.60059,0.12738185
0.31891116,284.28503,15.97568,142.14339,247.40721,274.96552,1.3396803,-273.17609,-254.26833,0.12872192
0.31991404,273.09811,16.076313,108.04345,272.90833,282.45233,1.3466027,-282.13794,-242.4175,0.1300689
0.32091689,261.34598,16.177263,73.045685,295.94376,289.36673,1.3536108,-290.53857,-230.07147,0.13142286
0.32191977,249.05234,16.27853,37.487587,316.26047,295.68839,1.3607156,-298.35443,-217.25519,0.13278392
0.32292265,236.2426,16.380112,1.7186786,333.62872,301.39804,1.3679276,-305.56299,-203.99507,0.13415213
0.3239255,222.94383,16.48201,-33.902889,347.84534,306.47763,1.3752565,-312.14282,-190.31911,0.13552764
0.32492837,209.18471,16.584223,-69.013969,358.7363,310.91034,1.3827116,-318.0737,-176.2567,0.13691057
0.32593122,194.99548,16.686752,-103.25021,366.15976,314.68079,1.3903011,-323.33694,-161.83859,0.13830104
0.3269341,180.40785,16.789598,-136.25003,370.00824,317.77512,1.3980329,-327.91522,-147.09685,0.13969919
0.32793698,165.4549,16.892759,-167.65869,370.21088,320.18115,1.4059135,-331.79303,-132.06473,0.14110516
0.32893983,150.17094,16.996239,-197.13248,366.73502,321.88849,1.413949,-334.95657,-116.77655,0.14251912
0.3299427,134.59151,17.100031,-224.34277,359.58783,322.88864,1.4221445,-337.39392,-101.26761,0.14394122
0.33094555,118.75311,17.204142,-248.98029,348.81699,323.17502,1.4305041,-339.09528,-85.574028,0.14537162
0.33194843,102.69312,17.308567,-270.75903,334.51141,322.74316,1.4390308,-340.05283,-69.732635,0.14681049
0.33295128,86.449661,17.413307,-289.4202,316.80106,321.5907,1.4477271,-340.26102,-53.780785,0.14825799
0.33395416,70.061432,17.518366,-304.73593,295.85657,319.71747,1.4565941,-339.71658,-37.756252,0.14971429
0.33495703,53.567516,17.623739,-316.51266,271.88828,317.12555,1.4656324,-338.41849,-21.697021,0.15117958
0.33595988,37.007263,17.729427,-324.59436,245.14458,313.81927,1.4748415,-336.36816,-5.6411715,0.15265401
0.33696276,20.420086,17.835434,-328.86511,215.90997,309.80533,1.4842198,-333.56937,10.373319,0.15413776
