"Time","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.inertiaRotor.phi","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.is[1]","smee.inertiaRotor.w","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smee.is[2]"
2.0038977,0.42349005,-0.4501594,300.63565,0.15271938,-1.9818237,157.73853,0.00010336586,-0.46170154,1.545499
2.0039978,0.42808226,-0.45015952,300.65143,0.13933674,-2.0967791,157.75478,0.00011152777,-0.4617016,1.5703237
2.0040977,0.43225187,-0.45015964,300.66721,0.12581614,-2.2130961,157.77098,0.00012006926,-0.46170169,1.5902253
2.0041978,0.4359948,-0.45015976,300.68298,0.11217093,-2.3304646,157.78712,0.00012899692,-0.46170178,1.604838
2.0042977,0.43930733,-0.45015991,300.69876,0.098414585,-2.4485576,157.80324,0.00013831737,-0.46170187,1.6138419
2.0043979,0.44218612,-0.45016006,300.71454,0.08456064,-2.5670199,157.81929,0.00014803729,-0.46170196,1.6169361
2.0044978,0.44462836,-0.45016021,300.73032,0.070622779,-2.6855295,157.83531,0.00015816292,-0.46170208,1.6138206
2.0045979,0.44663158,-0.45016038,300.74612,0.056614768,-2.8037317,157.85127,0.0001687006,-0.4617022,1.6042068
2.0046978,0.44819382,-0.45016059,300.7619,0.042550404,-2.9212251,157.86717,0.00017965678,-0.46170232,1.5878083
2.0047977,0.44931346,-0.45016077,300.77768,0.028443573,-3.0376523,157.88303,0.00019103769,-0.46170247,1.5643445
2.0048978,0.44998944,-0.45016098,300.79349,0.014308199,-3.1526256,157.89883,0.00020284952,-0.46170259,1.5335463
2.0049977,0.45022097,-0.45016122,300.80927,0.00015822101,-3.2657297,157.91458,0.00021509832,-0.46170276,1.4951897
2.0050979,0.45000792,-0.45016146,300.82507,-0.013992397,-3.3765621,157.93027,0.00022779025,-0.46170291,1.4489979
2.0051978,0.44935042,-0.45016173,300.84085,-0.028129691,-3.4847054,157.94591,0.00024093137,-0.46170309,1.3947263
2.0052979,0.44824904,-0.45016202,300.85666,-0.042239711,-3.5897434,157.96149,0.0002545274,-0.46170327,1.3322208
2.0053978,0.44670495,-0.45016232,300.87244,-0.05630853,-3.6912458,157.97702,0.0002685842,-0.46170348,1.2612381
2.0054979,0.44471958,-0.45016262,300.88824,-0.070322268,-3.7887824,157.99249,0.0002831076,-0.46170369,1.1815794
2.0055978,0.4422949,-0.45016298,300.90405,-0.084267087,-3.8819296,158.0079,0.00029810314,-0.46170393,1.0931418
2.0056977,0.43943322,-0.45016333,300.91986,-0.09812922,-3.9702544,158.02325,0.00031357643,-0.46170416,0.995745
2.0057979,0.43613741,-0.45016369,300.93564,-0.11189499,-4.0533257,158.03854,0.00032953289,-0.46170443,0.8892507
2.0058978,0.43241066,-0.45016411,300.95145,-0.12555081,-4.1307173,158.05377,0.00034597807,-0.4617047,0.77360308
2.0059979,0.42825663,-0.45016453,300.96725,-0.13908318,-4.2020016,158.06894,0.00036291726,-0.461705,0.64869016
2.0060978,0.42367938,-0.45016497,300.98306,-0.15247874,-4.2667537,158.08405,0.00038035578,-0.4617053,0.51443273
2.0061979,0.41868344,-0.45016545,300.99887,-0.16572426,-4.3245597,158.09909,0.0003982989,-0.46170563,0.37083843
2.0062978,0.41327366,-0.45016593,301.01471,-0.17880666,-4.375001,158.11407,0.00041675186,-0.46170595,0.21785598
2.006398,0.40745538,-0.45016646,301.03052,-0.19171304,-4.4176621,158.129,0.00043571976,-0.46170631,0.055462625
2.0064979,0.40123433,-0.45016703,301.04633,-0.20443062,-4.4521585,158.14384,0.00045520774,-0.4617067,-0.1162575
2.006598,0.3946166,-0.4501676,301.06213,-0.21694686,-4.4780855,158.15865,0.00047522082,-0.46170709,-0.29729524
2.0066979,0.38760871,-0.45016822,301.07794,-0.22924936,-4.495049,158.17337,0.00049576408,-0.4617075,-0.4876084
2.0067978,0.38021755,-0.45016885,301.09378,-0.241326,-4.5026965,158.18802,0.00051684235,-0.46170795,-0.68704826
2.0068979,0.37245041,-0.45016953,301.10959,-0.25316483,-4.5006552,158.20261,0.00053846062,-0.46170843,-0.89552623
2.0069978,0.36431488,-0.45017022,301.12543,-0.26475415,-4.4885626,158.21713,0.00056062371,-0.4617089,-1.1129318
2.007098,0.35581902,-0.45017096,301.14124,-0.27608252,-4.4661026,158.23158,0.00058333646,-0.46170941,-1.3390559
2.0071979,0.34697115,-0.45017174,301.15707,-0.2871387,-4.4329472,158.24597,0.00060660351,-0.46170995,-1.5737262
2.007298,0.33778003,-0.45017254,301.17288,-0.29791179,-4.3887749,158.26028,0.00063042965,-0.46171051,-1.816761
2.0073979,0.32825467,-0.45017338,301.18872,-0.30839112,-4.3333144,158.27454,0.00065481954,-0.46171108,-2.0678904
2.007498,0.31840444,-0.45017424,301.20456,-0.31856635,-4.2662916,158.28871,0.00067977776,-0.4617117,-2.3268607
2.0075979,0.30823907,-0.45017517,301.22037,-0.3284274,-4.1874332,158.30281,0.00070530886,-0.46171233,-2.593421
2.0076978,0.29776853,-0.45017612,301.23621,-0.33796453,-4.0965209,158.31685,0.00073141739,-0.46171299,-2.8672388
2.007798,0.28700319,-0.4501771,301.25204,-0.34716827,-3.9933417,158.33081,0.00075810775,-0.46171367,-3.1479826
2.0078979,0.27595365,-0.45017815,301.26788,-0.35602954,-3.8776779,158.3447,0.0007853845,-0.46171442,-3.4353356
2.007998,0.26463073,-0.45017922,301.28372,-0.36453953,-3.7493706,158.35851,0.00081325194,-0.46171516,-3.7289047
2.0080979,0.25304568,-0.45018032,301.29956,-0.37268987,-3.6082761,158.37225,0.00084171444,-0.46171594,-4.0282836
2.008198,0.24120983,-0.45018148,301.3154,-0.38047245,-3.4542394,158.38591,0.00087077636,-0.46171674,-4.3330917
2.0082979,0.22913492,-0.45018268,301.33124,-0.38787958,-3.2871654,158.39949,0.00090044196,-0.46171761,-4.642879
2.0083981,0.2168328,-0.45018393,301.34708,-0.3949039,-3.1069877,158.41301,0.00093071541,-0.46171847,-4.9571695
2.008498,0.20431563,-0.45018521,301.36292,-0.40153846,-2.9136198,158.42645,0.00096160092,-0.46171939,-5.2755222
2.0085981,0.19159575,-0.45018655,301.37875,-0.40777668,-2.7070358,158.4398,0.00099310267,-0.46172035,-5.5974345
2.008698,0.17868567,-0.45018795,301.39459,-0.41361237,-2.487251,158.45308,0.0010252248,-0.4617213,-5.9223676
2.0087979,0.16559815,-0.45018938,301.41046,-0.41903973,-2.2542529,158.46629,0.0010579714,-0.46172234,-6.2498245
2.008898,0.1523461,-0.45019084,301.4263,-0.42405337,-2.0080886,158.47942,0.0010913463,-0.46172339,-6.5792556
2.0089979,0.13894257,-0.45019239,301.44214,-0.42864835,-1.7488592,158.49246,0.0011253537,-0.46172446,-6.9100676
2.0090981,0.12540081,-0.45019397,301.45801,-0.43282005,-1.476629,158.50542,0.0011599975,-0.46172559,-7.2417145
2.009198,0.11173414,-0.45019558,301.47385,-0.43656433,-1.1915215,158.51831,0.0011952816,-0.46172675,-7.5736051
2.0092981,0.097956076,-0.45019728,301.48972,-0.43987748,-0.89372528,158.53111,0.0012312098,-0.46172798,-7.9051013
2.009398,0.084080204,-0.45019901,301.50555,-0.44275618,-0.58338422,158.54382,0.0012677861,-0.4617292,-8.2356157
2.0094981,0.070120215,-0.4502008,301.52142,-0.44519755,-0.26069933,158.55647,0.0013050142,-0.46173048,-8.5645247
2.009598,0.056089878,-0.45020264,301.53726,-0.44719914,0.074052423,158.56903,0.0013428978,-0.46173182,-8.8911533
2.0096982,0.04200305,-0.45020452,301.55313,-0.44875896,0.42064631,158.5815,0.0013814406,-0.46173316,-9.2148829
2.009798,0.027873633,-0.45020649,301.569,-0.44987544,0.77880383,158.5939,0.0014206463,-0.46173459,-9.5350628
2.0098979,0.013715572,-0.45020849,301.58484,-0.4505474,1.1481602,158.6062,0.0014605186,-0.46173602,-9.850996
2.0099981,-0.00045715424,-0.45021054,301.60071,-0.45077419,1.5284103,158.61842,0.0015010609,-0.46173751,-10.162038
2.010098,-0.014630551,-0.45021269,301.61658,-0.45055553,1.9191989,158.63057,0.0015422769,-0.46173906,-10.467524
2.0101981,-0.028790627,-0.45021486,301.63245,-0.4498916,2.320076,158.64262,0.0015841702,-0.46174064,-10.766742
2.010298,-0.042923395,-0.4502171,301.64832,-0.44878298,2.7306576,158.65459,0.0016267438,-0.46174225,-11.059035
2.0103981,-0.057014901,-0.45021939,301.66418,-0.44723082,3.1505139,158.66647,0.0016700015,-0.46174392,-11.343734
2.010498,-0.071051225,-0.45022175,301.68005,-0.4452365,3.579114,158.67825,0.0017139467,-0.46174565,-11.620125
2.0105982,-0.085018508,-0.45022416,301.69592,-0.44280207,4.0159979,158.68997,0.0017585825,-0.46174741,-11.887547
2.0106981,-0.098902941,-0.45022663,301.71179,-0.43992981,4.4606652,158.70158,0.0018039122,-0.46174923,-12.145336
2.010798,-0.11269082,-0.45022917,301.72766,-0.43662256,4.9125094,158.71312,0.0018499391,-0.46175107,-12.392789
2.0108981,-0.12636851,-0.45023176,301.74353,-0.43288353,5.3709989,158.72456,0.0018966664,-0.46175298,-12.629254
2.010998,-0.1399225,-0.45023441,301.7594,-0.42871642,5.8355675,158.73592,0.0019440971,-0.46175492,-12.85408
