"Time","inductor.inductor[2].i","inductor.inductor[3].i","capacitor.v","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","loadInertia.phi","loadInertia.w","vfController.x"
0.00055,-12.334332,12.317492,540.86694,-5.5563778e-16,5.5512032e-15,-2.5514047e-15,2.6324101e-15,2.4621228e-15,-2.5400763e-15,-5.5206956e-41,-2.3912004e-37,3.9597398e-05
0.00057500001,-12.727822,12.710224,540.92725,-9.8905094e-16,5.9109284e-15,-2.9555701e-15,2.8482124e-15,2.8522983e-15,-2.7482799e-15,-6.1001325e-41,-2.2265823e-37,4.3278949e-05
0.00060000003,-13.099631,13.081276,540.9895,-1.2553141e-15,6.2522547e-15,-3.2518732e-15,3.0365843e-15,3.1382359e-15,-2.9299636e-15,-6.6253391e-41,-1.9551172e-37,4.7124129e-05
0.00062499999,-13.448866,13.429755,541.05353,-1.7555617e-15,6.8050381e-15,-3.773187e-15,3.3495776e-15,3.6415043e-15,-3.2320145e-15,-7.0632449e-41,-1.5307403e-37,5.1132927e-05
0.00062499999,-13.448866,13.429755,541.05353,-1.7555617e-15,6.8050381e-15,-3.773187e-15,3.3495776e-15,3.6415043e-15,-3.2320145e-15,-7.0632449e-41,-1.5307403e-37,5.1132927e-05
0.00062499999,-13.448866,13.429756,541.05353,-1.7555659e-15,-2.0896578e-06,-3.773193e-15,-2.412929e-06,3.6415098e-15,2.3310693e-06,-7.0629646e-41,1.331123e-34,5.1132931e-05
0.00062499999,-13.448866,13.429756,541.05353,-1.7555659e-15,-2.0896578e-06,-3.773193e-15,-2.412929e-06,3.6415098e-15,2.3310693e-06,-7.0629646e-41,1.331123e-34,5.1132931e-05
0.00062499999,-13.448866,13.429756,541.05353,1.1845032e-10,-2.0897762e-06,1.1844829e-10,-2.4129974e-06,-1.1442989e-10,2.3311354e-06,-7.0629646e-41,1.3312743e-34,5.1132931e-05
0.00062500004,-13.448867,13.429756,541.05353,2.0898947e-06,-4.1795524e-06,2.0898947e-06,-3.6195304e-06,-2.0189941e-06,3.4967361e-06,-7.0360597e-41,1.2560408e-32,5.1132938e-05
0.00062500004,-13.448867,13.429756,541.05353,2.0898947e-06,-4.1795524e-06,2.0898947e-06,-3.6195304e-06,-2.0189941e-06,3.4967361e-06,-7.0360597e-41,1.2560408e-32,5.1132938e-05
0.00065,-13.774632,13.754768,541.11926,2.0843775e-06,-4.1685184e-06,2.0843775e-06,-3.6099748e-06,-2.0134528e-06,3.4871391e-06,1.6359276e-31,1.3082062e-26,5.5305361e-05
0.00067500002,-14.076059,14.055442,541.18652,2.078875e-06,-4.1575145e-06,2.078875e-06,-3.6004451e-06,-2.0079267e-06,3.477568e-06,6.538124e-31,2.6130004e-26,5.9641414e-05
0.00069999998,-14.352263,14.330894,541.25525,2.0733876e-06,-4.14654e-06,2.0733876e-06,-3.5909413e-06,-2.0024152e-06,3.4680229e-06,1.4698135e-30,3.9144338e-26,6.4141088e-05
