"time","constantSpeed.phi","constantSpeedQS.phi","smee.excitation.electroMagneticConverter.Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.im","smee.stator.stray.port_p.Phi.re","smee.stator.zeroInductor.i0","smeeQS.short.port_p.reference.gamma"
0,-1.5707963267948966,-0.78539816339744828,-0.46170067495236222,0.45015815807855314,5.5128474740096831e-17,3.094195131573587e-33,6.9469861306747706e-17,0,1.5707963267948966
0.00050000000000000001,-1.4923088703327116,-0.70691070693526326,-0.46188214923571969,0.44461912042893986,0.070420289310718642,1.5570177132566585e-05,0.00012552113289903899,-6.0906079345635147e-14,1.5709010465500162
0.001,-1.4138214138705267,-0.62842325047307812,-0.46206912606761141,0.42813794524036958,0.13910851869474547,6.996985290003488e-05,0.00024271255597959349,-7.2789791728872127e-14,1.5710057663051358
0.0015,-1.3353339574083416,-0.54993579401089299,-0.46226111435515083,0.4011197705416959,0.20437496741641267,0.00016053714985486689,0.00034262569377450626,-7.4836371200245011e-14,1.5711104860602552
0.002,-1.2568465009461565,-0.47144833754870802,-0.46245795536068979,0.36422945970069903,0.26461420924559975,0.00028277026740710466,0.00041697574243978758,-7.9257619940105749e-14,1.5712152058153748
0.0025000000000000001,-1.1783590444839716,-0.392960881086523,-0.46265902047707941,0.3183743651727251,0.31834444205593088,0.00043049690879413824,0.00045854987642096661,-4.1589547837965176e-14,1.5713199255704944
0.0030000000000000001,-1.0998715880217866,-0.31447342462433797,-0.46286385038407329,0.26468253179518936,0.36424419930306706,0.00059608669157252268,0.00046149104537956541,-4.1557370360521609e-14,1.571424645325614
0.0035000000000000001,-1.0213841315596017,-0.23598596816215295,-0.46307185728247036,0.20447469065003335,0.40118461128902844,0.00077075415383056841,0.00042158077661478074,-8.4178445704542008e-14,1.5715293650807336
0.0040000000000000001,-0.9428966750974167,-0.15749851169996795,-0.46328217559111218,0.13923169247387862,0.42825700261332672,0.00094490116022028945,0.00033645636341538129,-1.0077491539407289e-13,1.571634084835853
0.0045000000000000005,-0.86440921863523157,-0.079011055237782901,-0.46349400340310687,0.070558342164518048,0.44479549001159713,0.0011084715039462224,0.00020573870511999011,-1.2303228919887165e-13,1.5717388045909726
0.0050000000000000001,-0.78592176217304655,-0.00052359877559797138,-0.46370653760921909,0.00014382618252533022,0.4503933259697091,0.0012513459527657385,3.111265943395511e-05,-1.5241635610087145e-13,1.571843524346092
0.0054999999999999997,-0.70743430571086163,0.077963857686586951,-0.46391891917996653,-0.070279878169426088,0.44491282409231109,0.00136375095319564,-0.00018367114571158887,-1.7290265732012306e-13,1.5719482441012116
0.0060000000000000001,-0.6289468492486765,0.15645131414877203,-0.46413030930256882,-0.13898055069067247,0.42848879625843828,0.0014366554360288235,-0.00043287890911833371,-2.0485653088884912e-13,1.572052963856331
0.0065000000000000006,-0.55045939278649147,0.23493877061095708,-0.46433990651626667,-0.20426835605099997,0.40152523728423439,0.0014621522590304271,-0.00070894529014146142,-2.4149220835832755e-13,1.5721576836114506
0.0070000000000000001,-0.47197193632430645,0.31342622707314205,-0.46454696095348508,-0.26453741221668337,0.36468537889196634,0.0014338083788860432,-0.0010026972944436627,-2.6483520701133253e-13,1.57226240336657
0.0074999999999999997,-0.39348447986212148,0.39191368353532702,-0.46475078076192389,-0.31830527598761449,0.31887536769144054,0.0013469699499790212,-0.0013036436330235866,-2.930909854446471e-13,1.5723671231216896
0.0080000000000000002,-0.3149970233999364,0.4704011399975121,-0.46495075308099493,-0.36424940714573723,0.26522198313540751,0.0011990102175832315,-0.0016003179616070967,-3.2200974060782576e-13,1.5724718428768092
0.0085000000000000006,-0.23650956693775133,0.54888859645969723,-0.4651463881855058,-0.40123972106051825,0.20504494644355561,0.00098951012954050536,-0.0018806650233201638,-3.4300928349097077e-13,1.5725765626319286
