"Time","pulse2m.twomPulse.timerNegative[1].entryTime","rectifier.pre_n[2].u","rectifier.thyristor_n.idealThyristor[1].off","rectifier.thyristor_n.idealThyristor[3].off","meanCurrent.y","meanVoltage.y","rectifier.thyristor_p.idealThyristor[1].off","rectifier.thyristor_p.idealThyristor[3].off","pulse2m.twomPulse.timerNegative[3].entryTime","pulse2m.twomPulse.timerNegative[2].entryTime","pulse2m.twomPulse.timerPositive[1].entryTime","inductor.i","rootMeanSquareVoltage.mean.x","meanVoltage.x","rectifier.pre_n[3].u","rootMeanSquareVoltage.mean.y","rectifier.pre_p[2].u","rectifier.pre_n[1].u","pulse2m.twomPulse.timerPositive[2].entryTime","rectifier.thyristor_p.idealThyristor[2].off","pulse2m.twomPulse.timerPositive[3].entryTime","rectifier.pre_p[1].u","meanCurrent.x","rectifier.pre_p[3].u","rectifier.thyristor_n.idealThyristor[2].off"
4.9533334,4.9516668,0,1,0,13.41082,4.0453215,1,1,4.9450002,4.9383335,4.9416666,13.320509,20.976883,0.012585347,1,6294.9678,1,0,4.9483333,0,4.9349999,0,0.044657856,0,1
4.9533334,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.320509,0,0,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0,0,1
4.9533963,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.328422,1.1018611,0.0083207162,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.00083732122,0,1
4.9535961,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.351581,4.111567,0.032840233,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.0035054788,0,1
4.9537964,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.371592,6.4177914,0.054298557,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.0061779548,0,1
4.9539962,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.388383,8.0986757,0.072611004,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.0088541126,0,1
4.954196,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.401896,9.2422171,0.087705292,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.011533301,0,1
4.9543962,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.412083,9.94489,0.099521846,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.014214861,0,1
4.954596,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.418912,10.310119,0.10801403,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.016898124,0,1
4.9547963,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.422362,10.446651,0.11314833,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.019582413,0,1
4.9549961,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.422427,10.466842,0.11490447,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.022267055,0,1
4.9549999,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.422397,10.466842,0.11490507,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.022317536,0,1
4.9549999,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.422397,10.466842,0.11490507,1,6293.0649,1,0,4.9483333,0,4.9349999,0,0.022317557,0,1
4.9549999,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.422397,10.466842,0.11490507,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.022317557,0,1
4.9551964,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.419114,10.484896,0.11327554,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.024951372,0,1
4.9553962,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.412442,10.614994,0.10826802,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.02763469,0,1
4.9555964,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.402445,10.969623,0.099901564,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.03031634,0,1
4.9557962,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.389169,11.657694,0.088209204,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.03299566,0,1
4.9559965,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.372671,12.782861,0.073237136,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.035672005,0,1
4.9561963,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.353026,14.44189,0.055044431,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.038344733,0,1
4.9563961,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.330317,16.723129,0.033702902,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.041013222,0,1
4.9565964,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.30464,19.705109,0.0092967814,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.043676872,0,1
4.9566231,4.9516668,0,1,0,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.300954,20.16497,0.0057738526,0,6293.0649,1,0,4.9483333,0,4.9549999,0,0.044035904,0,1
4.9566231,4.9516668,0,0,1,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.300954,20.16497,0.0057738526,0,6293.0649,1,1,4.9483333,0,4.9549999,0,0.044035904,0,1
4.9566665,4.9516668,0,0,1,13.397357,3.775604,1,1,4.9450002,4.9383335,4.9416666,13.306602,20.970945,0.011686396,0,6293.0649,1,1,4.9483333,0,4.9549999,0,0.044612978,0,1
