"time","aimsE.idq_rr[1]","aimsE.idq_rr[2]","aimsE.idq_sr[1]","aimsE.idq_sr[2]","aimsE.is[1]","aimsE.is[2]","aimsE.ir[1]","aimsE.ir[2]","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.is[1]","aimsM.is[2]","aimsM.ir[1]","aimsM.ir[2]","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0000000000000002e-05,-0.00011681381370556634,0.00019517972164289995,0.00012104165487856955,-0.00020224601578806283,0.00012104165487867812,-0.00023567101492582749,-0.00011681381370556642,0.00022743750409910999,-1.1597267128356751e-09,1.9576369688761165e-09,-7.8216421971737316e-08,1.3070941265659021e-07,0.00012104165487824218,-0.0002356710149262683,-0.00011681381370561043,0.00022743750409912015,1.4647332437891199e-23,4.801139388693252e-19,1.4647331475542553e-23,4.801139118905043e-19
0.0001,-0.00011973935670897888,0.0001931118135180792,0.00012420018742623478,-0.00020031450517875554,0.00012420018742634288,-0.0002355775439443213,-0.00011973935670897896,0.00022710941463202926,-2.3613609888314315e-09,3.8858779013439617e-09,-8.1389079905342984e-08,1.3134198444828637e-07,0.00012420018742590844,-0.00023557754394475986,-0.00011973935670902218,0.00022710941463203931,2.3410726003917334e-22,3.8367074507772381e-18,2.3410725614218692e-22,3.8367073960709738e-18
0.00015000000000000001,-0.00012263462615948889,0.00019100224801051532,0.00012733042210239282,-0.00019833764846435514,0.00012733042210250038,-0.0002354306531480882,-0.00012263462615948889,0.00022673011203678647,-3.5910291343343873e-09,5.7935846521011608e-09,-8.4570796654283372e-08,1.3192583602879536e-07,0.00012733042210206753,-0.00023543065314852465,-0.0001226346261595315,0.00022673011203679666,8.6206811187345577e-22,1.14687231267342e-17,8.6206810187442942e-22,1.146872301321117e-17
0.00020000000000000001,-0.00012549753146717834,0.00018884903077185378,0.00013043016224124554,-0.00019631333746942552,0.00013043016224135266,-0.00023522741847074586,-0.00012549753146717837,0.00022629682386208374,-4.8484298407393577e-09,7.6803532262977939e-09,-8.7759881991888106e-08,1.3245923433176259e-07,0.00013043016224092139,-0.00023522741847118014,-0.00012549753146722035,0.00022629682386209372,2.2009355584559891e-21,2.5256458940661566e-17,2.2009355373355936e-21,2.5256458728538169e-17
0.00025000000000000001,-0.00012833212136205578,0.00018665843410944213,0.00013350300651030086,-0.00019424845594504488,0.00013350300651040751,-0.00023497560074935522,-0.00012833212136205584,0.00022581700645042861,-6.1280994877533112e-09,9.5497923914636163e-09,-9.0953349782124564e-08,1.3295005021882395e-07,0.00013350300651002143,-0.00023497560074977852,-0.00012833212136209376,0.00022581700645046758,4.4252917180777255e-21,4.5727933419026321e-17,4.4252916818018607e-21,4.5727933093870718e-17
0.00030000000000000003,-0.00013112689944364971,0.00018441603153167985,0.00013653738617448407,-0.00019212770639647427,0.00013653738617459024,-0.00023465616759732076,-0.00013112689944364973,0.0002252724178933717,-7.4330951888139837e-09,1.1398540523564398e-08,-9.4146784856491288e-08,1.3338529255375994e-07,0.00013653738617447309,-0.00023465616759768749,-0.00013112689944366597,0.00022527241789358887,8.333380218367003e-21,7.7427729396419038e-17,8.3333801656210571e-21,7.7427729013957553e-17
0.00035,-0.00013388754501960468,0.00018212921335080887,0.00013953878835700005,-0.00018995905861133954,0.00013953878835710573,-0.00023427876461479166,-0.00013388754501960471,0.00022467229804287882,-8.7598040853125471e-09,1.3229549277713746e-08,-9.7340191882032363e-08,1.3377288911662845e-07,0.00013953878835744923,-0.00023427876461506252,-0.00013388754501958389,0.00022467229804340192,1.3685010192214565e-20,1.1875408380641084e-16,1.3685010121871451e-20,1.1875408341442023e-16
0.00040000000000000002,-0.00013661012951646118,0.00017980124890675124,0.00014250393657622905,-0.00018774489515704863,0.00014250393657633427,-0.00023384381692485959,-0.00013661012951646123,0.00022401751394364629,-1.0115514658581601e-08,1.5033578732926004e-08,-1.0053852515901649e-07,1.3410543100274851e-07,0.00014250393657688914,-0.00023384381692508334,-0.00013661012951642347,0.00022401751394430654,2.5379018639252958e-20,1.8306364852789113e-16,2.5379018547264489e-20,1.8306364809001791e-16
0.00045000000000000004,-0.0001392959944314275,0.00017743102181198782,0.00014543394965837891,-0.00018548440245392457,0.00014543394965848368,-0.0002333511793599602,-0.00013929599443142748,0.00022330776952432611,-1.1497738097488793e-08,1.6813784062022742e-08,-1.0374009293341443e-07,1.3438544814443487e-07,0.00014543394965915127,-0.00023335117936015544,-0.00013929599443138077,0.00022330776952505588,4.1742590674747781e-20,2.6579550306587347e-16,4.1742590558063245e-20,2.6579550257449216e-16
0.00050000000000000001,-0.00014194525281761969,0.00017501843798425963,0.00014832892189122618,-0.00018317751193848691,0.00014832892189133045,-0.00023280083968626593,-0.00014194525281761966,0.00022254303983385007,-1.2906264660372414e-08,1.8570431163521519e-08,-1.0694475263462419e-07,1.34613153748789e-07,0.00014832892189202494,-0.00023280083968644884,-0.0001419452528175709,0.00022254303983459045,6.2634751771107774e-20,3.6656528115363603e-16,6.2634751626760504e-20,3.6656528060354221e-16
0.00055000000000000003,-0.00014455790467503767,0.00017256349742356673,0.00015118885327477087,-0.00018082422361073564,0.00015118885327487463,-0.00023219279790377678,-0.00014455790467503767,0.00022172332487221822,-1.4341094347232469e-08,2.0303520037422336e-08,-1.1015250426264575e-07,1.3478854781581092e-07,0.00015118885327550994,-0.00023219279790396346,-0.00014455790467499366,0.00022172332487291005,8.8055501928332949e-20,4.8537298279117891e-16,8.8055501753356303e-20,4.8537298217716833e-16
0.00060000000000000006,-0.00014713228666595089,0.00017006770701578658,0.00015401191771935151,-0.00017842601702039017,0.00015401191771945483,-0.00023152742229530518,-0.00014713228666595086,0.00022084909797201569,-1.5801264579623258e-08,2.2012310321300083e-08,-1.1336125478891124e-07,1.3491185748181068e-07,0.00015401191771999826,-0.00023152742229550164,-0.00014713228666591435,0.00022084909797263647,1.205625248879871e-19,6.2654445592892119e-16,1.2056252467749559e-19,6.2654445523615331e-16
0.00065000000000000008,-0.00014966391605090193,0.00016753512785846821,0.00015679319386472483,-0.00017598687959332601,0.00015679319386482758,-0.00023080570539283333,-0.0001496639160509019,0.00021992163477715847,-1.7284181183012466e-08,2.3694806718712703e-08,-1.1656536344571946e-07,1.349836948851897e-07,0.00015679319386539034,-0.00023080570539301827,-0.00014966391605086404,0.00021992163477778381,1.6704884641203125e-19,8.0173797593531467e-16,1.6704884615596822e-19,8.017379751229813e-16
0.00069999999999999999,-0.00015215643098403183,0.00016496246399854417,0.00015953667584602153,-0.00017350357516779453,0.00015953667584612383,-0.00023002684166564162,-0.0001521564309840318,0.0002189398999856311,-1.8791949567921285e-08,2.5352628595693462e-08,-1.1976940823332358e-07,1.3500356321950156e-07,0.00015953667584670022,-0.00023002684166581575,-0.00015215643098399304,0.00021893989998625674,2.2192014399775541e-19,1.001491783274157e-15,2.2192014369026105e-19,1.0014917823225253e-15
0.00075000000000000002,-0.00015460983146534061,0.00016234971543601447,0.00016224236366324161,-0.00017097610374379579,0.00016224236366334339,-0.00022919083111373002,-0.00015460983146534059,0.00021790389359743349,-2.0324569734349719e-08,2.6985775952242376e-08,-1.2297338915172357e-07,1.3497146248474629e-07,0.00016224236366392791,-0.00022919083111389412,-0.00015460983146530136,0.00021790389359805536,2.851764176451599e-19,1.2258058779454497e-15,2.8517641728037452e-19,1.2258058768347866e-15
0.00080000000000000004,-0.00015702411749482831,0.0001596968821708791,0.00016491025731638507,-0.00016840446532132971,0.00016491025731648636,-0.0002282976737370985,-0.00015702411749482829,0.00021681361561256567,-2.1882041682297768e-08,2.8594248788359429e-08,-1.2617730620091942e-07,1.3488739268092388e-07,0.00016491025731707335,-0.00022829767373725351,-0.00015702411749478904,0.00021681361561317971,3.5681766735424458e-19,1.4746802599491919e-15,3.5681766692630834e-19,1.4746802586597648e-15
0.00085000000000000006,-0.00015939490271609346,0.00015700853236855791,0.00016753558422770675,-0.0001657930577562916,0.00016753558422780753,-0.00022734879190180197,-0.00015939490271609348,0.00021567082900012926,-2.3462223414717138e-08,3.0174996019304426e-08,-1.293760502156003e-07,1.3475120739467765e-07,0.00016753558422839712,-0.00022734879190194803,-0.00015939490271605432,0.00021567082900073568,4.4713639629290936e-19,1.7618341305202736e-15,4.4713639578316529e-19,1.761834128991205e-15
0.00090000000000000008,-0.00016172104160419118,0.00015428585903458049,0.00017011709800809492,-0.0001631430295767926,0.00017011709800819524,-0.0002263445570678058,-0.00016172104160419118,0.00021447599417074719,-2.5064555535419651e-08,3.1727220834841418e-08,-1.3256828690466526e-07,1.3456286838922584e-07,0.00017011709800878876,-0.00022634455706794284,-0.00016172104160415182,0.00021447599417134708,5.5882055729628004e-19,2.0908503465452471e-15,5.5882055668272874e-19,2.0908503447049155e-15
0.00095,-0.00016400516675668493,0.00015152612045348784,0.00017265766305692666,-0.00016045174128351817,0.00017265766305702646,-0.00022528411556133884,-0.00016400516675668488,0.00021322805302796376,-2.6690323625350965e-08,3.3252754430960472e-08,-1.3575708268016989e-07,1.3432246353874259e-07,0.0001726576630576221,-0.00022528411556146721,-0.00016400516675664557,0.0002132280530285559,6.8569280947294184e-19,2.4534949360346607e-15,6.8569280874126487e-19,2.4534949338361377e-15
0.001,-0.00016624727817357476,0.00014872931662527993,0.00017515727937420197,-0.00015771919287646834,0.00017515727937430123,-0.00022416746738240114,-0.00016624727817357479,0.00021192700557177911,-2.8339527684511087e-08,3.4751596807661595e-08,-1.3894243754211424e-07,1.340299928432279e-07,0.00017515727937489708,-0.00022416746738252127,-0.00016624727817353562,0.00021192700557236225,8.2775315282289523e-19,2.8497678989885168e-15,8.2775315195877418e-19,2.8497678963848739e-15
0.0010500000000000002,-0.0001684473758548607,0.00014589544754995673,0.00017761594695992082,-0.00015494538435564304,0.00017761594696001957,-0.00022299461253099263,-0.00016844737585486073,0.00021057285180219306,-3.0012167712900014e-08,3.622374796494478e-08,-1.4212435149049829e-07,1.336854563026817e-07,0.00017761594696061387,-0.00022299461253110493,-0.00016844737585482194,0.00021057285180276587,9.8500158734614051e-19,3.279669235406814e-15,9.8500158633525667e-19,3.2796692323511235e-15
0.0011000000000000001,-0.0001705989919267949,0.00014303238294875853,0.00018002647310929486,-0.0001521380006197509,0.00018002647310939312,-0.0002217686099722263,-0.00017059899192679493,0.00020916917316084657,-3.1703652263960506e-08,3.7664953344330158e-08,-1.4529380753814715e-07,1.3328963850116262e-07,0.00018002647310998699,-0.00022176860997233071,-0.00017059899192675644,0.00020916917316141022,1.1793872236914568e-18,3.7652739469673889e-15,1.179387222495877e-18,3.7652739434213416e-15
0.00115,-0.0001727052479823048,0.00014013632465444795,0.00018239232924079505,-0.0001492933327025394,0.00018239232924089279,-0.00022048798335634116,-0.0001727052479823048,0.00020771424113488792,-3.3416197309688678e-08,3.9077266325363743e-08,-1.4845515755779192e-07,1.3284216077450002e-07,0.00018239232924148593,-0.0002204879833564379,-0.00017270524798226655,0.0002077142411354423,1.4003167523361961e-18,4.2959279653014474e-15,1.4003167509293842e-18,4.295927961222575e-15
0.0012000000000000001,-0.00017476685771920333,0.00013720640428228887,0.00018471430903374751,-0.00014641053261352262,0.00018471430903384479,-0.00021915239514169732,-0.00017476685771920331,0.00020620766052998184,-3.5150309493456722e-08,4.0461156377488013e-08,-1.5160939652927881e-07,1.3234293654773149e-07,0.00018471430903443646,-0.00021915239514178658,-0.00017476685771916536,0.00020620766053052665,1.6453681977010498e-18,4.869195423378548e-15,1.6453681960590749e-18,4.8691954187234317e-15
0.00125,-0.00017678382113749054,0.0001342426218322813,0.00018699241248815212,-0.00014348960035270069,0.00018699241248824883,-0.00021776184532829479,-0.00017678382113749057,0.00020464943134612844,-3.6905988815264622e-08,4.1816623500702959e-08,-1.5475652445260778e-07,1.3179196582085706e-07,0.00018699241248883863,-0.0002177618453283769,-0.000176783821137453,0.00020464943134666336,1.9145415597860157e-18,5.4850763211986862e-15,1.9145415578849479e-18,5.4850763159239055e-15
0.0013000000000000002,-0.00017875540455062703,0.00013124603808087871,0.00018922581246889249,-0.00014053158954258153,0.00018922581246898874,-0.00021631683281243333,-0.000178755404550627,0.00020304010539941433,-3.8682610869264125e-08,4.3143258043724225e-08,-1.5789541127133661e-07,1.3118952393250478e-07,0.00018922581246956949,-0.00021631683281251557,-0.00017875540455058648,0.00020304010539993797,2.2112471379390323e-18,6.1460162961533907e-15,2.2112471357548756e-18,6.1460162902298878e-15
0.0013500000000000001,-0.00018067765333292868,0.00012822237069302849,0.00019141005065541857,-0.00013754217928780687,0.00019141005065551419,-0.00021482004668272846,-0.00018067765333292871,0.00020138265702009233,-4.0476810060923683e-08,4.4438851955287755e-08,-1.6101996589616329e-07,1.3053709497860945e-07,0.00019141005065604467,-0.00021482004668285686,-0.00018067765333286336,0.00020138265702059717,2.5538667023956047e-18,6.8651975179068981e-15,2.5538666999040176e-18,6.8651975113830255e-15
0.0014,-0.00018255231699139792,0.00012516909020180705,0.0001935470993868705,-0.00013451885718034323,0.00019354709938696531,-0.00021327029729956853,-0.00018255231699139792,0.00019967577037904974,-4.2290075312753434e-08,4.5704382066440721e-08,-1.6413288299511395e-07,1.2983402240241e-07,0.00019354709938741959,-0.00021327029729977204,-0.00018255231699129432,0.00019967577037953091,2.9342682481791199e-18,7.6367882592676108e-15,2.9342682453559119e-18,7.6367882521574749e-15
