"time","loadInertiaE.phi","loadInertiaE.w","loadInertiaM.phi","loadInertiaM.w","smpmE.is[1]","smpmE.is[2]","smpmE.idq_dr[1]","smpmE.idq_rr[2]","smpmE.idq_sr[1]","smpmE.idq_sr[2]","smpmM.is[1]","smpmM.is[2]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x"
0,0,0,0,0,0,0,0,0,0,0,5.3573660129412584e-14,-2.6786830064706295e-14,-0.50552761152221515,0,-0.50552761152221515,0,0
5.0000000000000002e-05,3.8649163852041441e-20,3.1348549216572314e-15,3.8649169039459051e-20,3.134855159683359e-15,0.00038784036990532482,-0.00019392010674337839,-0.000332218255184751,-7.737023643439388e-11,0.00038784036990532477,9.0308302321372371e-11,0.00038784036992959084,-0.00019392010675550945,-0.50552761176324468,-4.1086612359275897e-17,-0.5055277880908462,-4.1101007856186162e-14,3.9270563724396225e-07
0.0001,1.4929417596912916e-18,7.483693254794316e-14,1.492941774196356e-18,7.4836932437171362e-14,0.0015481387213361036,-0.00077406825375449793,-0.0013253563944705595,-1.094680142795601e-09,0.0015481387213361036,1.2781536767769433e-09,0.001548138721459689,-0.00077406825381629908,-0.50552761332664498,-9.8057329691895491e-16,-0.50552831705152679,-5.8205478396010871e-13,1.5708028203895142e-06
0.00015000000000000001,1.4116834549643039e-17,5.1369099191365396e-13,1.4116834442949429e-17,5.1369098570905166e-13,0.003475930600644799,-0.0017379598896627572,-0.0029739893625562058,-5.3491244029202482e-09,0.003475930600644799,6.2476916021651577e-09,0.0034759306005508563,-0.0017379598896158763,-0.50552761751568265,-6.7289711516848735e-15,-0.50552919726386425,-2.8467847761563101e-12,3.5342982164321398e-06
0.00020000000000000001,8.3628775715910033e-17,2.2157434485014973e-12,8.3628775013059101e-17,2.2157434297612738e-12,0.0061661852746452365,-0.0030830754491325313,-0.0052726225354877473,-1.6985853568718015e-08,0.0061661852746452356,1.9847212345344594e-08,0.0061661852744207372,-0.003083075449020391,-0.50552762564783715,-2.9013915269890315e-14,-0.50553042756950961,-9.0500448568297836e-12,6.2831917438453885e-06
0.00025000000000000001,3.0886577861315551e-16,6.673173919423497e-12,3.0886589089854445e-16,6.6731752446637679e-12,0.0096139318208202113,-0.0048069241158299122,-0.008215827402295435,-4.1287495652849387e-08,0.0096139318208202096,4.8260224241664325e-08,0.0096139318206533188,-0.0048069241157425837,-0.50552763902404763,-8.7354716439902905e-14,-0.50553200682313393,-2.2020484773638627e-11,9.8174834750317696e-06
0.00030000000000000003,9.0797331684382435e-16,1.6548593710467731e-11,9.0797588641933251e-16,1.6548624290719384e-11,0.013814271537743481,-0.0069070492038131098,-0.011798255749545938,-8.5482768283846939e-08,0.013814271537743481,9.9956719778526351e-08,0.013814271537787304,-0.0069070492037450835,-0.50552765892476115,-2.1656190040228377e-13,-0.50553393389468448,-4.5639749873583572e-11,1.4137173368052928e-05
0.00035,2.2342807430196715e-15,3.5405413353712491e-11,2.2342897948726501e-15,3.5405511080200295e-11,0.01876232492186811,-0.0093810026306743143,-0.016014581004846835,-1.577750711367366e-07,0.01876232492186811,1.8455608689090782e-07,0.018762324921643189,-0.0093810026303056595,-0.50552768662464742,-4.6319381101534787e-13,-0.50553620765788621,-8.4322312547044269e-11,1.9242261423262872e-05
0.00040000000000000002,4.8245016471576441e-15,6.8028748499214677e-11,4.8245227848197161e-15,6.8028953058720938e-11,0.024453246256184773,-0.012226351798996447,-0.020859514468712086,-2.6774735150162575e-07,0.024453246256184769,3.13303852921141e-07,0.024453246256823907,-0.012226351798855156,-0.50552772338844598,-8.8974189566291836e-13,-0.50553882699331709,-1.4323591838343045e-10,2.5132747646786792e-05
0.00045000000000000004,9.574077098008434e-15,1.2131730173452981e-10,9.5741176334158536e-15,1.2131765946722284e-10,0.03088224107385781,-0.015440687591412148,-0.026327824900950408,-4.2708084617247347e-07,0.030882241073857807,4.9992242068711216e-07,0.030882241074549163,-0.015440687591039171,-0.50552777046582276,-1.586243230146501e-12,-0.50554179079193817,-2.2869862153834578e-10,3.1808632035073445e-05
0.00050000000000000001,1.7752692758257199e-14,2.0385778831344872e-10,1.7752762151563746e-14,2.0385834843250597e-10,0.038044541898711794,-0.019021613194212372,-0.032414311356671256,-6.4861654435723689e-07,0.038044541898711787,7.5951021699549336e-07,0.038044541900359496,-0.019021613194025507,-0.50552782909846539,-2.664693098559216e-12,-0.50554509795014713,-3.4767337547144052e-10,3.926991458750233e-05
0.00055000000000000003,3.0971547922480613e-14,3.257913154924981e-10,3.0971657782104417e-14,3.2579212799043175e-10,0.045935409538056908,-0.022966744728607914,-0.039113804611959464,-9.4637172882403049e-07,0.045935409538056901,1.1085591876154733e-06,0.045935409539794879,-0.022966744728157549,-0.50552790051973151,-4.2573083130645128e-12,-0.50554874737006128,-5.0777448501934932e-10,4.7516595303392976e-05
0.00060000000000000006,5.154994029751281e-14,5.0020754939575151e-10,5.155010433632574e-14,5.0020866048221569e-10,0.054550151368127416,-0.027273719600923542,-0.046421187676788177,-1.3363081189772772e-06,0.054550151368127416,1.5658699264165069e-06,0.054550151370728044,-0.02727371960059901,-0.50552798594925497,-6.5346362068653405e-12,-0.50555273796321232,-7.176996325850084e-10,5.654867418261711e-05
0.00065000000000000008,8.2820073626313705e-14,7.432154719930242e-10,8.2820306001489397e-14,7.4321691237820261e-10,0.063884107337126086,-0.03194019012558931,-0.054331380074695887,-1.8357160762882213e-06,0.063884107337126086,2.1518340644877561e-06,0.0638841073402098,-0.031940190125240957,-0.50552808659709481,-9.7063405702879749e-12,-0.50555706864773553,-9.8690453398897789e-10,6.636615122499842e-05
0.00069999999999999999,1.2859768367811498e-13,1.0726897096795334e-09,1.2859799861900433e-13,1.0726914903041723e-09,0.073932642436486756,-0.03696382006819561,-0.062839329414437192,-2.4629248621092541e-06,0.073932642436486742,2.8880792876932413e-06,0.073932642440066282,-0.03696382006791233,-0.50552820366593543,-1.4005010449340314e-11,-0.50556173834683305,-1.325427110718237e-09,7.6969026430508662e-05
0.00075000000000000002,1.9361280384332308e-13,1.5094952980357413e-09,1.9361321515305808e-13,1.5094974067965392e-09,0.084691159587633486,-0.042342290540609985,-0.071940025838147237,-3.23783104007396e-06,0.084691159587633486,3.7981024158805408e-06,0.084691159591114312,-0.04234229054021784,-0.50552833834729527,-1.9702018345629712e-11,-0.50556674599138418,-1.7441894010303192e-09,8.8357299799257313e-05
0.00080000000000000004,2.843191611569124e-13,2.0790063934546331e-09,2.8431968571461543e-13,2.079008840464627e-09,0.096155108069552284,-0.048073303838645477,-0.081628511477424961,-4.1822531518545374e-06,0.096155108069552284,4.9077037056131568e-06,0.096155108073298079,-0.048073303838366006,-0.50552849181904069,-2.7127057523720831e-11,-0.50557209052164676,-2.2552126790260606e-09,0.00010053097133121082
