"Time","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.is[1]","aimc.is[2]","loadInertia.w","PI.x","aimc.idq_rr[2]","aimc.idq_sr[1]","powerSensor.flange_a.phi"
4.5042977,-6.5434451,-0.18950389,3.2843878,-8.2952242,157.04099,1.9545465,0.15867344,-5.145493,707.36279
4.5043979,-6.5434995,-0.18952402,3.5240998,-8.322444,157.04094,2.043232,0.15868703,-5.1454239,707.37854
4.504498,-6.5435543,-0.18954502,3.7603343,-8.3414497,157.04089,2.1337268,0.15870127,-5.1453538,707.39423
4.5045981,-6.5436101,-0.1895669,3.9928577,-8.3522205,157.04085,2.2260211,0.15871617,-5.1452832,707.40991
4.5046978,-6.5436668,-0.18958966,4.2214413,-8.3547478,157.0408,2.3201036,0.15873176,-5.1452112,707.42566
4.5047979,-6.5437241,-0.18961337,4.4458585,-8.3490267,157.04074,2.4159641,0.15874803,-5.1451387,707.44135
4.5048981,-6.5437818,-0.189638,4.6658878,-8.3350649,157.0407,2.513592,0.158765,-5.1450648,707.45703
4.5049977,-6.5438404,-0.18966362,4.8813128,-8.3128748,157.04065,2.612977,0.15878268,-5.14499,707.47272
4.5050979,-6.5439,-0.18969019,5.0919199,-8.2824783,157.04059,2.7141085,0.15880106,-5.1449146,707.48846
4.505198,-6.5439601,-0.18971777,5.2975016,-8.243906,157.04054,2.8169758,0.1588202,-5.1448379,707.50415
4.5052981,-6.5440211,-0.18974636,5.4978552,-8.1971951,157.04048,2.9215686,0.15884008,-5.1447597,707.51984
4.5053978,-6.5440831,-0.189776,5.6927819,-8.1423922,157.04044,3.0278766,0.15886068,-5.144681,707.53558
4.5054979,-6.5441456,-0.18980668,5.8820901,-8.0795507,157.04037,3.1358891,0.15888208,-5.1446009,707.55127
4.5055981,-6.544209,-0.18983845,6.0655923,-8.0087328,157.04031,3.2455952,0.15890424,-5.1445198,707.56696
