"time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.stator.zeroInductor.i0","imcQS.rotorCage.port_p.reference.gamma","loadInertia.phi","loadInertia.w","loadInertiaQS.phi","loadInertiaQS.w","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0,0,0,0,0,0,1.5707963267948966,0,0,-0.78539816339744828,0,0,0
5.0000000000000002e-05,-8.0317061282534587e-10,1.3548614836917342e-09,-2.6783129635211893e-07,4.475487154839211e-07,-5.4892575366565736e-16,1.5865042900628445,4.7885680497049874e-23,1.3426030789715557e-18,-0.78539816339744828,2.0484246587745479e-14,-2.2141636803525564e-05,-0.0012134869119996257
0.0001,-1.6320505390016822e-09,2.6963726879116986e-09,-2.7560724117829907e-07,4.445931314569844e-07,-5.4639224039998362e-16,1.6022122533307932,4.0658441850257981e-22,8.1878314650569329e-18,-0.78539816339744828,4.0968491791569476e-14,-4.4348880673931787e-05,-0.001201925969075998
0.00015000000000000001,-2.4806493039925062e-09,4.0251297115513287e-09,-2.8333819819144397e-07,4.4152188161014054e-07,-5.4387120130539784e-16,1.6179202165987421,1.4864433430637541e-21,2.4523081227980845e-17,-0.78539816339744828,6.1452737175044435e-14,-6.6545838752218918e-05,-0.0011900840717036106
0.00020000000000000001,-3.3464765016456906e-09,5.3422611928427748e-09,-2.9101645407533434e-07,4.3833169095701242e-07,-5.5737312882313406e-16,1.6336281798666912,3.9445414477620409e-21,5.5284999103237339e-17,-0.78539816339744828,8.1936983162341689e-14,-8.8725950170018473e-05,-0.0011779493543766712
0.00025000000000000001,-4.2301132687341596e-09,6.6469216725612227e-09,-2.986384053461818e-07,4.350185178473688e-07,-5.8328135166138045e-16,1.6493361431346401,9.0395086418981043e-21,1.0638716111683905e-16,-0.78539816339744828,1.0242122999155602e-13,-0.00011088379062378323,-0.0011655130273068072
0.00030000000000000003,-5.1345697492064322e-09,7.936193872507982e-09,-3.0620657874320186e-07,4.3158552215704793e-07,-5.902693990366711e-16,1.6650441064025892,1.9856534212491652e-20,1.9030416582090596e-16,-0.78539816339744828,1.2290547674856701e-13,-0.00013301032682949942,-0.001152791182779236
0.00035,-6.0587602697266475e-09,9.2110786224251418e-09,-3.1372082693813548e-07,4.2803308329554839e-07,-5.8751554107558783e-16,1.680752069670538,3.5450322230775363e-20,3.0311004810737359e-16,-0.78539816339744828,1.4338972369605518e-13,-0.00015510848257803059,-0.0011397822715140805
0.00040000000000000002,-7.0024041954662076e-09,1.0471340897862032e-08,-3.2117908570144597e-07,4.2436228475630507e-07,-5.7896280262703987e-16,1.6964600329384871,5.7581932880812215e-20,4.493878767064279e-16,-0.78539816339744828,1.6387397065605507e-13,-0.00017717225533410099,-0.0011264898799445075
0.00045000000000000004,-7.9645678226235701e-09,1.1716198745900885e-08,-3.2857448710809592e-07,4.2057673144446865e-07,-5.7773007313659469e-16,1.712167996206436,9.2110612489214272e-20,6.4438603941592209e-16,-0.78539816339744828,1.8435821703645511e-13,-0.00019918167398424007,-0.0011129259405391239
