"time","smee.is[1]","smee.is[2]","smee.idq_dr[1]","smee.idq_rr[2]","smee.idq_sr[1]","smee.idq_sr[2]","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.lesigma.i"
0,0,0,0,0,0,0,-1.5707963267948966,0,0
5.0000000000000002e-05,0.14341208142744302,-12.989892817452633,0.061402670038469588,-14.432526413154422,-0.14341208141989698,14.916637225984219,-1.5707963267946439,2.4253852345345519e-08,0.0084804093855321526
0.0001,0.57254843930447941,-26.027542329401971,0.24490305510420404,-28.752949201209709,-0.57254843883783579,29.723456144901657,-1.5707963267870471,3.8586116729673416e-07,0.033878912697961006
0.00015000000000000001,1.2857119786627038,-39.10961022148561,0.54942327791744294,-42.958532172827177,-1.2857119734311582,44.417581821722301,-1.5707963267360063,1.9499032031988639e-06,0.076128240393444277
0.00020000000000000001,2.2811450164190616,-52.232747549630261,0.97386523617759035,-57.046562207377178,-2.2811449872316749,58.996162028424024,-1.57079632654753,6.1662643478322727e-06,0.13515696162653773
0.00025000000000000001,3.5570290381568515,-65.393594810161417,1.5171104591563764,-71.014349475462566,-3.5570289272879587,73.456367466521527,-1.5707963260402387,1.5076687533235991e-05,0.21088947278415238
0.00030000000000000003,5.1114856346255371,-78.588782986163451,2.1780204765664752,-84.859228067128541,-5.1114853041213513,87.795392436825225,-1.5707963249126558,3.1314018033077851e-05,0.30324605512393416
0.00035,6.9425766763243937,-91.814934124355418,2.9554369068363888,-98.578556537447241,-6.9425758453495865,102.01045540825726,-1.5707963227219084,5.8105045295179601e-05,0.41214288211917649
0.00040000000000000002,9.0483047716450908,-105.06866237588901,3.84818166563733,-112.1697188072221,-9.0483029259433518,116.09879996045483,-1.5707963188460561,9.9273680850953344e-05,0.53749204338732137
0.00045000000000000004,11.42661364507979,-118.34657472056459,4.8550571277671706,-125.6301247586741,-11.426609915911751,130.05769540890091,-1.5707963124583055,0.00015924134683991379,0.67920156457730274
0.00050000000000000001,14.075388510808622,-131.64527167118175,5.9748462848492263,-138.95721081410974,-14.07538152006841,143.88443741199623,-1.5707963025019978,0.00024302720559595098,0.83717542684912316
0.00055000000000000003,16.992456705033323,-144.96134845364375,7.2063130169851668,-152.14844089810489,-16.992444367993425,157.57634898114142,-1.570796287648667,0.00035624762153350285,1.0113136008782257
0.00060000000000000006,20.175588111349825,-158.29139573735858,8.5482022668668058,-165.20130702063605,-20.175567396727779,171.13078109374848,-1.570796266272114,0.00050511389621296469,1.2015120690863399
0.00065000000000000008,23.622495664719963,-171.63200051367872,9.9992402484335585,-178.11332998299443,-23.622462307241832,184.5451134351805,-1.5707962364173249,0.00069642915874763768,1.4076628520654781
0.00069999999999999999,27.330835635271946,-184.97974654358043,11.55813455537864,-190.88205973380428,-27.33078380329184,197.8167547731517,-1.5707961957848084,0.00093758637853119545,1.629654022460199
0.00075000000000000002,31.298208353912614,-198.33121560483411,13.223574464525726,-203.5050763649499,-31.298130259300883,210.94314400512479,-1.5707961416866909,0.0012365626953815805,1.8673697437877104
0.00080000000000000004,35.522158810826696,-211.68298842875137,14.994231177716681,-215.97999083865415,-35.522044261380422,223.92175092447323,-1.5707960710148074,0.0016019118355447219,2.1206903021941987
0.00085000000000000006,40.000176867804527,-225.03164500824113,16.868757895867176,-228.30444524056259,-40.000012769056539,236.75007648642071,-1.5707959802295228,0.0020427631614998742,2.3894921158070783
0.00090000000000000008,44.729698068489867,-238.3737658864749,18.845790152320451,-240.4761137857474,-44.72946785904395,249.42565386752648,-1.5707958653157719,0.0025688118986783377,2.6736477783138151
0.00095,49.708104068940436,-251.705932839821,20.923945980775525,-252.4927033727198,-49.707787095209383,261.94604904851309,-1.570795721758538,0.0031903158622325007,2.9730260804817323
0.001,54.932723225751033,-265.02472971165679,23.101826146678899,-264.35195421896248,-54.932294053469519,274.30886148530004,-1.5707955445154866,0.0039180857087318804,3.2874920412275164
0.0010500000000000002,60.400831382194845,-278.32674323122467,25.378014449180021,-276.05164036756821,-60.400259047952915,286.51172465247299,-1.5707953279974425,0.0047634579963842403,3.6169069520531494
