"Time","rectifier.thyristor_p1.off","rectifier.thyristor_p2.off","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n2.off","inductor.i","meanCurrent.x","rectifier.thyristor_n1.off","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9571962,1,0,12099.99,4.9400001,1,6.1546397,0.043907285,0,105.98385,-0.1659663,4.9499998,6.1631532,1.7126392
4.9573965,1,0,12099.99,4.9400001,1,6.1773343,0.045140557,0,108.7126,-0.14260752,4.9499998,6.1631532,1.7126392
4.9575963,1,0,12099.99,4.9400001,1,6.1986041,0.046378221,0,111.13825,-0.12058499,4.9499998,6.1631532,1.7126392
4.9577966,1,0,12099.99,4.9400001,1,6.218369,0.047619995,0,113.26072,-0.099985629,4.9499998,6.1631532,1.7126392
4.9579964,1,0,12099.99,4.9400001,1,6.2365537,0.048865564,0,115.08469,-0.080890708,4.9499998,6.1631532,1.7126392
4.9581962,1,0,12099.99,4.9400001,1,6.253089,0.050114606,0,116.61958,-0.063375585,4.9499998,6.1631532,1.7126392
4.9583964,1,0,12099.99,4.9400001,1,6.2679124,0.051366784,0,117.87936,-0.047509398,4.9499998,6.1631532,1.7126392
4.9585962,1,0,12099.99,4.9400001,1,6.2809687,0.052621752,0,118.88233,-0.033354774,4.9499998,6.1631532,1.7126392
4.9587965,1,0,12099.99,4.9400001,1,6.2922087,0.053879149,0,119.65083,-0.020967586,4.9499998,6.1631532,1.7126392
4.9589963,1,0,12099.99,4.9400001,1,6.3015914,0.05513861,0,120.21091,-0.010396717,4.9499998,6.1631532,1.7126392
4.9591966,1,0,12099.99,4.9400001,1,6.309082,0.056399759,0,120.59191,-0.0016838902,4.9499998,6.1631532,1.7126392
4.9593964,1,0,12099.99,4.9400001,1,6.3146544,0.057662215,0,120.82598,0.005136508,4.9499998,6.1631532,1.7126392
4.9595966,1,0,12099.99,4.9400001,1,6.3182888,0.058925591,0,120.94762,0.010037559,4.9499998,6.1631532,1.7126392
4.9597964,1,0,12099.99,4.9400001,1,6.3199739,0.0601895,0,120.99306,0.012999916,4.9499998,6.1631532,1.7126392
4.9599962,1,0,12099.99,4.9400001,1,6.319706,0.061453551,0,120.99976,0.014011895,4.9499998,6.1631532,1.7126392
4.96,1,0,12099.99,4.9400001,1,6.3196836,0.061476078,0,120.99976,0.014012205,4.9499998,6.1631532,1.7126392
4.96,1,0,12099.977,4.96,1,6.3196836,0,0,0,0,4.9499998,6.1476078,1.4012206
4.9601965,1,0,12099.977,4.96,1,6.3174887,0.0012412753,0,0.0060311831,-0.00094270438,4.9499998,6.1476078,1.4012206
4.9603963,1,0,12099.977,4.96,1,6.313333,0.0025044398,0,0.049455833,-0.00383575,4.9499998,6.1476078,1.4012206
4.9605966,1,0,12099.977,4.96,1,6.3072591,0.0037665807,0,0.16775937,-0.0086680474,4.9499998,6.1476078,1.4012206
4.9607964,1,0,12099.977,4.96,1,6.2992926,0.005027317,0,0.39724523,-0.015420512,4.9499998,6.1476078,1.4012206
4.9609966,1,0,12099.977,4.96,1,6.2894688,0.0062862737,0,0.77246422,-0.024066497,4.9499998,6.1476078,1.4012206
