"Time","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","aimcM.is[3]","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.is[2]","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.is[1]","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.w","loadInertiaM.w","aimc3.is[1]","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.phi","aimcM.is[4]"
0.10166778,0.010974132,0.21667331,-324.90372,0.010974132,-0.058858179,1.6846673e-07,-157.51112,0.21667331,-168.03871,-0.0019639793,53.657482,-0.0019639793,0.0005905524,0.0005905524,89.429138,-0.058858179,1.6846673e-07,70.69149
0.10176785,0.012250616,0.22781812,-343.58881,0.012250616,-0.06584572,2.3730166e-07,-168.05573,0.22781812,-174.98714,-0.0023288743,59.907722,-0.0023288743,0.00078492437,0.00078492437,99.846207,-0.06584572,2.3730166e-07,71.122986
0.10186791,0.013585716,0.23868246,-362.05603,0.013585716,-0.073179275,3.2807748e-07,-178.64714,0.23868246,-181.54437,-0.0027348215,66.446548,-0.0027348215,0.0010268092,0.0010268092,110.74425,-0.073179275,3.2807748e-07,71.134369
0.10196798,0.014977322,0.24925619,-380.28592,0.014977322,-0.080849797,4.4587716e-07,-189.27266,0.24925619,-187.7063,-0.0031836259,73.263786,-0.0031836259,0.001324153,0.001324153,122.10632,-0.080849797,4.4587716e-07,70.729362
0.10206804,0.016423281,0.25952935,-398.25909,0.016423281,-0.088847935,5.962782e-07,-199.91954,0.25952935,-193.4691,-0.0036770401,80.349052,-0.0036770401,0.0016855034,0.0016855034,133.91508,-0.088847935,5.962782e-07,69.912033
0.10216811,0.017921433,0.26949248,-415.95682,0.017921433,-0.097164229,7.8687447e-07,-210.57521,0.26949248,-198.82935,-0.0042167269,87.69191,-0.0042167269,0.0021205333,0.0021205333,146.15318,-0.097164229,7.8687447e-07,68.686714
0.10226818,0.019469528,0.27913621,-433.36023,0.019469528,-0.10578871,1.0249565e-06,-221.22691,0.27913621,-203.78397,-0.0048043034,95.281494,-0.0048043034,0.00263933,0.00263933,158.80249,-0.10578871,1.0249565e-06,67.05822
0.10236824,0.021065293,0.28845152,-450.45099,0.021065293,-0.11471119,1.3194707e-06,-231.86201,0.28845152,-208.33028,-0.0054413048,103.10681,-0.0054413048,0.0032529526,0.0032529526,171.84468,-0.11471119,1.3194707e-06,65.031677
0.10246831,0.02270643,0.29742986,-467.21115,0.02270643,-0.12392126,1.6809188e-06,-242.46796,0.29742986,-212.466,-0.0061291847,111.15675,-0.0061291847,0.0039733909,0.0039733909,185.26125,-0.12392126,1.6809188e-06,62.612568
0.10256838,0.024390571,0.30606279,-483.6228,0.024390571,-0.13340814,2.1199291e-06,-253.0321,0.30606279,-216.18919,-0.006869345,119.41984,-0.006869345,0.0048132115,0.0048132115,199.03307,-0.13340814,2.1199291e-06,59.806751
0.10266845,0.026115352,0.31434238,-499.66879,0.026115352,-0.14316091,2.6498783e-06,-263.54208,0.31434238,-219.49835,-0.0076630875,127.88464,-0.0076630875,0.0057860557,0.0057860557,213.14107,-0.14316091,2.6498783e-06,56.62038
0.10276851,0.027878348,0.32226101,-515.33203,0.027878348,-0.15316831,3.28435e-06,-273.98541,0.32226101,-222.3923,-0.0085116578,136.5394,-0.0085116578,0.0069062412,0.0069062412,227.56567,-0.15316831,3.28435e-06,53.060009
0.10286858,0.029677106,0.32981128,-530.59589,0.029677106,-0.16341886,4.0386863e-06,-284.34973,0.32981128,-224.8703,-0.0094162207,145.37224,-0.0094162207,0.0081889434,0.0081889434,242.28705,-0.16341886,4.0386863e-06,49.132507
0.10296865,0.031509168,0.33698636,-545.44434,0.031509168,-0.17390092,4.9305345e-06,-294.62289,0.33698636,-226.93199,-0.010377854,154.37122,-0.010377854,0.0096502127,0.0096502127,257.28534,-0.17390092,4.9305345e-06,44.845028
0.10306871,0.033372022,0.34377962,-559.86145,0.033372022,-0.18460251,5.9779118e-06,-304.79269,0.34377962,-228.57738,-0.01139757,163.52412,-0.01139757,0.011306881,0.011306881,272.54019,-0.18460251,5.9779118e-06,40.205128
0.10316878,0.035263151,0.35018486,-573.83197,0.035263151,-0.19551162,7.2017874e-06,-314.84726,0.35018486,-229.80688,-0.012476294,172.81879,-0.012476294,0.013176583,0.013176583,288.03131,-0.19551162,7.2017874e-06,35.220589
0.10326885,0.037180018,0.35619625,-587.34106,0.037180018,-0.20661592,8.6242189e-06,-324.77463,0.35619625,-230.62132,-0.013614872,182.24283,-0.013614872,0.015277789,0.015277789,303.73804,-0.20661592,8.6242189e-06,29.899555
0.10336892,0.039120041,0.36180836,-600.37421,0.039120041,-0.21790288,1.0268917e-05,-334.56308,0.36180836,-231.02185,-0.014814079,191.78374,-0.014814079,0.017629776,0.017629776,319.63956,-0.21790288,1.0268917e-05,24.250492
0.10346898,0.041080665,0.36701614,-612.91754,0.041080665,-0.22935994,1.2162456e-05,-344.20114,0.36701614,-231.01007,-0.016074594,201.42905,-0.016074594,0.02025252,0.02025252,335.71509,-0.22935994,1.2162456e-05,18.282074
0.10356905,0.043059286,0.37181488,-624.95764,0.043059286,-0.24097428,1.4332628e-05,-353.67734,0.37181488,-230.58794,-0.017397026,211.16614,-0.017397026,0.023166856,0.023166856,351.94357,-0.24097428,1.4332628e-05,12.003336
0.10366911,0.045053307,0.37620038,-636.48157,0.045053307,-0.25273296,1.6809719e-05,-362.98047,0.37620038,-229.75781,-0.018781897,220.98233,-0.018781897,0.026394293,0.026394293,368.30389,-0.25273296,1.6809719e-05,5.4235449
