"time","constantSpeed3.phi","constantSpeedM.phi","smee3.is[1]","smee3.is[2]","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee3.stator.stray.port_p.Phi.im","smee3.stator.stray.port_p.Phi.re","smeeM.is[1]","smeeM.is[2]","smeeM.is[3]","smeeM.is[4]","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeM.stator.stray.port_p.Phi.re"
0,-1.5707963267948966,-1.5707963267948966,-4.4302513599870344e-13,7.2209261895243509e-14,0.45015815807855308,7.4805201496723745e-17,-5.4876817891466453e-17,-1.4101928061630572e-16,3.7662569520259027e-13,-1.0770471011084296e-12,-1.1279454727886577e-12,1.054264178865581e-12,0.45015815807855136,8.2519972764454492e-15,-6.4579107203161432e-16,7.270625307756578e-17
0.00050000000000000001,-1.4923088703327114,-1.4923088703327114,0.15509223530759259,-0.14062639344147565,0.44461710104638791,0.070419623761543593,-2.3185319181948842e-05,4.9367391768749471e-05,0.093055341183585619,-0.012808623597143937,-0.10097150591785305,-0.049595198952487117,0.44461710104638613,0.070419623761551045,-2.3185319182109124e-05,4.9367391768377298e-05
0.001,-1.4138214138705267,-1.4138214138705267,0.33355451654988133,-0.24157272486284373,0.42813062943226171,0.13910462501775261,-2.7491267984310762e-05,0.00010617370019908204,0.20013270992819931,0.012560831657330645,-0.19236968903735865,-0.13145183788656259,0.42813062943225999,0.13910462501776008,-2.7491267984895659e-05,0.00010617370019804636
0.0015,-1.3353339574083416,-1.3353339574083416,0.51881932698892408,-0.28990713971200227,0.40110502730385883,0.20436463603738036,-1.1209426584112537e-05,0.00016514532092379533,0.31129159619056623,0.076099262250064068,-0.26425966560239789,-0.23942071744647109,0.40110502730385678,0.20436463603738783,-1.120942658505943e-05,0.00016514532092240088
0.002,-1.2568465009461565,-1.2568465009461565,0.69340689235037756,-0.27577042024318216,0.36420588492413403,0.26459370273983629,2.607161789067904e-05,0.00022071826898310473,0.41604413540655716,0.17530327936163731,-0.30770075042329204,-0.36547280148509864,0.36420588492413181,0.26459370273984378,2.6071617889476084e-05,0.00022071826898129553
0.0025000000000000001,-1.1783590444839713,-1.1783590444839713,0.83979680489788511,-0.19286697566634184,0.31834171366696168,0.31830976563317043,8.344599050272312e-05,0.00026731562538455692,0.50387808293511138,0.30530045938340089,-0.31519202225682735,-0.50009984211914305,0.31834171366695851,0.31830976563317781,8.3445990500990349e-05,0.00026731562538284177
0.0030000000000000001,-1.0998715880217862,-1.0998715880217862,0.94132657565526467,-0.038861463369244703,0.26464157619520995,0.36419111873228954,0.00015870988194650494,0.00029963355515860485,0.56479594538952316,0.45905063956172631,-0.2810870475844498,-0.63277198876515794,0.26464157619520595,0.36419111873229709,0.00015870988194439549,0.00029963355515699226
0.0035000000000000001,-1.0213841315596011,-1.0213841315596011,0.98306067717564216,0.18440545277633069,0.20442729117933806,0.40110891679477045,0.00024844195548590179,0.000312917932263539,0.58983640630229339,0.62765119284762538,-0.20192663604434768,-0.75244871715567507,0.20442729117933314,0.4011089167947775,0.00024844195548324338,0.00031291793226210227
0.0040000000000000001,-0.94289667509741604,-0.94289667509741604,0.95259283086361135,0.47088461992030933,0.13918089782194049,0.42815493549466038,0.00034813884932343391,0.00030321971557169128,0.57155569851665211,0.80072869515088807,-0.076678149146617899,-0.84811839751748119,0.13918089782193419,0.42815493549466749,0.00034813884932024191,0.0003032197155710187
0.0045000000000000005,-0.8644092186352309,-0.8644092186352309,0.84074530024700089,0.8104708806259131,0.070508182535195113,0.44466390307550219,0.00045239973616342176,0.00026761754083117997,0.5044471801477205,0.96689944124185545,0.093129538242228541,-0.90934222125104647,0.070508182535187494,0.44466390307550929,0.00045239973615975498,0.00026761754083112478
