"Time","rootMeanSquareVoltage.mean.y","pulse2.twoPulse.timerPositive[1].entryTime","idealthyristor.off","meanCurrent.x","rootMeanSquareVoltage.mean.x","meanVoltage.x","pulse2.twoPulse.timerNegative[1].entryTime","meanCurrent.y","meanVoltage.y"
4.9593964,3115.8154,4.9400001,1,0.025182186,61.832031,0.50364375,4.9499998,1.2668842,25.337685
4.9595966,3115.8154,4.9400001,1,0.025182139,61.832031,0.50364274,4.9499998,1.2668842,25.337685
4.9597964,3115.8154,4.9400001,1,0.025182109,61.832031,0.5036422,4.9499998,1.2668842,25.337685
4.9599962,3115.8154,4.9400001,1,0.025182098,61.832031,0.50364196,4.9499998,1.2668842,25.337685
4.96,3115.8154,4.9400001,1,0.025182098,61.832031,0.50364196,4.9499998,1.2668842,25.337685
4.96,3091.6016,4.96,1,0,0,0,4.9499998,1.259105,25.182098
4.9601965,3091.6016,4.96,1,9.4236494e-09,2.9000327e-10,1.88473e-07,4.9499998,1.259105,25.182098
4.9603963,3091.6016,4.96,1,3.832638e-08,2.3675997e-09,7.6652759e-07,4.9499998,1.259105,25.182098
4.9605966,3091.6016,4.96,1,8.6456588e-08,8.5369578e-09,1.7291318e-06,4.9499998,1.259105,25.182098
4.9607964,3091.6016,4.96,1,1.5380152e-07,1.890097e-08,3.0760307e-06,4.9499998,1.259105,25.182098
4.9609966,3091.6016,4.96,1,2.3897897e-07,3.8477225e-08,4.7795797e-06,4.9499998,1.259105,25.182098
4.9611964,3091.6016,4.96,1,3.4236515e-07,6.5895684e-08,6.8473032e-06,4.9499998,1.259105,25.182098
4.9613967,3091.6016,4.96,1,4.6399822e-07,1.0101741e-07,9.2799646e-06,4.9499998,1.259105,25.182098
4.9615965,3091.6016,4.96,1,6.0387816e-07,1.4384243e-07,1.2077564e-05,4.9499998,1.259105,25.182098
4.9617963,3091.6016,4.96,1,7.5829348e-07,1.9952013e-07,1.5165871e-05,4.9499998,1.259105,25.182098
4.9619966,3091.6016,4.96,1,9.2916014e-07,2.6539232e-07,1.8583203e-05,4.9499998,1.259105,25.182098
4.9621964,3091.6016,4.96,1,1.1166768e-06,3.4118335e-07,2.2333536e-05,4.9499998,1.259105,25.182098
4.9623966,3091.6016,4.96,1,1.3208434e-06,4.2689319e-07,2.6416868e-05,4.9499998,1.259105,25.182098
4.9625964,3091.6016,4.96,1,1.5351916e-06,5.2534426e-07,3.0703832e-05,4.9499998,1.259105,25.182098
4.9627967,3091.6016,4.96,1,1.7628389e-06,6.3517615e-07,3.5256777e-05,4.9499998,1.259105,25.182098
4.9629965,3091.6016,4.96,1,2.0042698e-06,7.561776e-07,4.0085397e-05,4.9499998,1.259105,25.182098
4.9631968,3091.6016,4.96,1,2.2594845e-06,8.8834855e-07,4.5189689e-05,4.9499998,1.259105,25.182098
4.9633965,3091.6016,4.96,1,2.520311e-06,1.0287702e-06,5.0406223e-05,4.9499998,1.259105,25.182098
4.9635963,3091.6016,4.96,1,2.7903943e-06,1.1787444e-06,5.5807886e-05,4.9499998,1.259105,25.182098
4.9637966,3091.6016,4.96,1,3.0705294e-06,1.338555e-06,6.1410588e-05,4.9499998,1.259105,25.182098
4.9639964,3091.6016,4.96,1,3.3607159e-06,1.508202e-06,6.7214314e-05,4.9499998,1.259105,25.182098
4.9641967,3091.6016,4.96,1,3.6553483e-06,1.6829347e-06,7.3106967e-05,4.9499998,1.259105,25.182098
4.9643965,3091.6016,4.96,1,3.9550846e-06,1.8633109e-06,7.9101694e-05,4.9499998,1.259105,25.182098
4.9645967,3091.6016,4.96,1,4.259638e-06,2.049087e-06,8.5192754e-05,4.9499998,1.259105,25.182098
4.9647965,3091.6016,4.96,1,4.568119e-06,2.2395102e-06,9.1362381e-05,4.9499998,1.259105,25.182098
4.9649649,3091.6016,4.96,1,4.82826e-06,2.3996629e-06,9.65652e-05,4.9499998,1.259105,25.182098
4.9649649,3091.6016,4.96,0,4.82826e-06,2.3996629e-06,9.65652e-05,4.9499998,1.259105,25.182098
4.9649968,3091.6016,4.96,0,0.00025114615,0.76634592,0.005022923,4.9499998,1.259105,25.182098
4.9651966,3091.6016,4.96,0,0.0018058693,5.6004853,0.036117386,4.9499998,1.259105,25.182098
4.9653969,3091.6016,4.96,0,0.0033545599,10.397201,0.067091197,4.9499998,1.259105,25.182098
4.9655967,3091.6016,4.96,0,0.004891105,15.119002,0.0978221,4.9499998,1.259105,25.182098
4.9657965,3091.6016,4.96,0,0.0064094402,19.729582,0.1281888,4.9499998,1.259105,25.182098
4.9659967,3091.6016,4.96,0,0.0079035722,24.194393,0.15807146,4.9499998,1.259105,25.182098
4.9661965,3091.6016,4.96,0,0.0093676057,28.481192,0.18735211,4.9499998,1.259105,25.182098
4.9663968,3091.6016,4.96,0,0.01079576,32.560528,0.2159152,4.9499998,1.259105,25.182098
4.9665966,3091.6016,4.96,0,0.0121824,36.406239,0.24364799,4.9499998,1.259105,25.182098
4.9667969,3091.6016,4.96,0,0.013522052,39.995838,0.27044106,4.9499998,1.259105,25.182098
4.9669967,3091.6016,4.96,0,0.01480943,43.310879,0.29618859,4.9499998,1.259105,25.182098
4.9671969,3091.6016,4.96,0,0.016039452,46.337254,0.32078901,4.9499998,1.259105,25.182098
4.9673967,3091.6016,4.96,0,0.017207261,49.065395,0.34414521,4.9499998,1.259105,25.182098
4.9675965,3091.6016,4.96,0,0.018308252,51.490444,0.36616504,4.9499998,1.259105,25.182098
4.9677968,3091.6016,4.96,0,0.019338077,53.612324,0.38676152,4.9499998,1.259105,25.182098
4.9679966,3091.6016,4.96,0,0.020292671,55.435738,0.40585342,4.9499998,1.259105,25.182098
4.9681969,3091.6016,4.96,0,0.021168269,56.970097,0.42336538,4.9499998,1.259105,25.182098
4.9683967,3091.6016,4.96,0,0.021961411,58.22937,0.43922824,4.9499998,1.259105,25.182098
4.9685969,3091.6016,4.96,0,0.022668973,59.231865,0.45337945,4.9499998,1.259105,25.182098
4.9687967,3091.6016,4.96,0,0.023288155,59.999943,0.46576309,4.9499998,1.259105,25.182098
4.968997,3091.6016,4.96,0,0.023816518,60.559654,0.47633037,4.9499998,1.259105,25.182098
4.9691968,3091.6016,4.96,0,0.024251975,60.940346,0.4850395,4.9499998,1.259105,25.182098
4.9693966,3091.6016,4.96,0,0.024592808,61.174183,0.49185616,4.9499998,1.259105,25.182098
4.9695969,3091.6016,4.96,0,0.024837671,61.295639,0.49675339,4.9499998,1.259105,25.182098
4.9697967,3091.6016,4.96,0,0.024985597,61.340977,0.49971193,4.9499998,1.259105,25.182098
4.9699969,3091.6016,4.96,0,0.025036003,61.347649,0.50072008,4.9499998,1.259105,25.182098
4.9699998,3091.6016,4.96,0,0.025036016,61.347649,0.50072032,4.9499998,1.259105,25.182098
4.9699998,3091.6016,4.96,1,0.025036016,61.347649,0.50072032,4.9699998,1.259105,25.182098
4.9701967,3091.6016,4.96,1,0.025036007,61.347649,0.50072014,4.9699998,1.259105,25.182098
4.970397,3091.6016,4.96,1,0.025035977,61.347649,0.50071955,4.9699998,1.259105,25.182098
4.9705968,3091.6016,4.96,1,0.025035929,61.347649,0.50071859,4.9699998,1.259105,25.182098
4.9707971,3091.6016,4.96,1,0.025035862,61.347649,0.50071722,4.9699998,1.259105,25.182098
4.9709969,3091.6016,4.96,1,0.025035776,61.347649,0.50071555,4.9699998,1.259105,25.182098
4.9711967,3091.6016,4.96,1,0.025035674,61.347649,0.50071347,4.9699998,1.259105,25.182098
4.9713969,3091.6016,4.96,1,0.025035553,61.347649,0.50071102,4.9699998,1.259105,25.182098
4.9715967,3091.6016,4.96,1,0.025035413,61.347649,0.50070822,4.9699998,1.259105,25.182098
4.971797,3091.6016,4.96,1,0.025035258,61.347649,0.50070512,4.9699998,1.259105,25.182098
4.9719968,3091.6016,4.96,1,0.025035087,61.347649,0.50070173,4.9699998,1.259105,25.182098
