"time","inertiaLoad.phi","inertiaLoad.w","inertiaLoadQS.phi","inertiaLoadQS.w","terminalBoxQS.plugSupply.pin[1].v.re","terminalBoxQS.plugSupply.pin[1].v.im","terminalBoxQS.plugSupply.pin[1].i.re","terminalBoxQS.plugSupply.pin[1].i.im","terminalBoxQS.plugSupply.pin[2].v.re","terminalBoxQS.plugSupply.pin[2].v.im","terminalBoxQS.plugSupply.pin[2].i.re","terminalBoxQS.plugSupply.pin[2].i.im","terminalBoxQS.plugSupply.pin[3].v.re","terminalBoxQS.plugSupply.pin[3].v.im","terminalBoxQS.plugSupply.pin[3].i.re","terminalBoxQS.plugSupply.pin[3].i.im"
0,0,0,0,0,-1.6049995195659579,2.5379992371236351,-53.499983950004804,84.599974620007629,3.0004715751977704,0.1209707368470572,100.01571915544774,4.0323578927601273,-1.3954720577634385,-2.6589699747034348,-46.515735205442887,-88.632332512767746
5.0000000000000002e-05,3.9105110315584017e-07,0.015642044099638219,3.910509856653957e-07,0.015642039398658252,-1.6083693154208312,2.5470510857379822,-53.499983916306846,84.599974529489131,3.0099956039764426,0.11936314135576646,100.01571906020746,4.0323579088360821,-1.4016262906872397,-2.6664142278264946,-46.515735143900557,-88.632332438325207
0.0001,1.5642043960723132e-06,0.031284087809795899,1.564203925409948e-06,0.031284078391099868,-1.6117391111809785,2.5561029341199464,-53.499983882608888,84.599974438970648,3.0195196325065017,0.11775554589864096,100.01571896496716,4.032357924912036,-1.4077805234571503,-2.6738584807513304,-46.515735082358233,-88.632332363882682
0.00015000000000000001,3.51945982201947e-06,0.046926130706666229,3.5194587613602246e-06,0.046926116553518284,-1.6151089067551005,2.5651547820242664,-53.499983848910929,84.599974348452179,3.0290436605298998,0.11614795051923354,100.01571886972688,4.0323579409879899,-1.4139347559064219,-2.6813027332762429,-46.51573502081591,-88.632332289440157
0.00020000000000000001,6.2568173341622555e-06,0.06256817250374884,6.2568154459081692e-06,0.062568153599413326,-1.6184787020814855,2.5742066292851593,-53.499983815212978,84.599974257933695,3.0385676878722001,0.11454035524699058,100.01571877448661,4.032357957063943,-1.4200889879223386,-2.688746985264892,-46.515734959273587,-88.632332214997632
0.00025000000000000001,9.7762768325150864e-06,0.078210212928693623,9.7762738783334042e-06,0.078210189256435012,-1.6218484971014417,2.5832584757450072,-53.499983781515027,84.59997416741524,3.0480917143675645,0.1129327601098955,100.01571867924635,4.0323579731398942,-1.4262432193977459,-2.6961912365876479,-46.515734897731271,-88.632332140555121
0.00030000000000000003,1.4077837902201642e-05,0.093852250691411399,1.4077833640278937e-05,0.093852222234495006,-1.6252182915370632,2.5923103206572633,-53.499983747817083,84.599974076896785,3.0576157392305054,0.11132516524054621,100.01571858400611,4.0323579892158428,-1.4323974498250658,-2.7036354866305516,-46.515734836188969,-88.632332066112625
0.00035,1.9161500741598927e-05,0.10949428640877036,1.9161494931786088e-05,0.10949425315046114,-1.6285880855212282,2.6013621643788936,-53.499983714119146,84.599973986378345,3.0671397628366055,0.10971757057553494,100.01571848876587,4.0323580052917896,-1.4385516794470044,-2.7110797356871732,-46.515734774646674,-88.632331991670128
0.00040000000000000002,2.5027265350706946e-05,0.12513632008077058,2.5027257752854856e-05,0.12513628200433347,-1.631957879053938,2.6104140069099016,-53.499983680421209,84.599973895859918,3.0766637851858722,0.10810997611486814,100.01571839352565,4.0323580213677346,-1.44470590826356,-2.7185239837575144,-46.515734713104386,-88.632331917227646
0.00045000000000000004,3.1675131729525702e-05,0.14077835170741207,3.1675122103485259e-05,0.14077830879611189,-1.6353276721351993,2.6194658482502886,-53.49998364672328,84.599973805341506,3.0861878062783021,0.10650238185854304,100.01571829828544,4.0323580374436769,-1.4508601362747271,-2.725968230841576,-46.515734651562106,-88.632331842785177
