"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.airGap.V_mrr.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.airGap.V_msr.im","loadInertia.w","imc.airGap.V_mrr.im","loadInertiaQS.w","imc.airGap.V_msr.re","loadInertiaQS.phi","imc.stator.port_p.V_m.im","loadInertia.phi","imc.stator.port_p.V_m.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.45257542,0.43484116,-0.0024811334,-0.32883707,0.45097697,157.07961,-2.4617368e-05,157.07964,45.01371,70.304985,32.88546,71.09037,30.740591,0.0043565272,1.5707964,-0.30738956
0.45267543,0.43484116,-0.0024811272,-0.3383317,0.45097715,157.07961,-2.4610397e-05,157.07964,45.01371,70.320694,33.834972,71.106087,29.692289,0.0043565291,1.5707964,-0.29690707
0.45277545,0.43484116,-0.0024811209,-0.34749234,0.45097736,157.07961,-2.460392e-05,157.07964,45.01371,70.336403,34.751083,71.121796,28.614674,0.0043565314,1.5707964,-0.2861315
0.45287547,0.43484116,-0.0024811146,-0.35630992,0.4509775,157.07961,-2.4597539e-05,157.07964,45.01371,70.352119,35.632889,71.137505,27.50881,0.0043565328,1.5707964,-0.27507344
0.45297548,0.43484116,-0.0024811078,-0.36477575,0.45097771,157.07961,-2.4591554e-05,157.07964,45.01371,70.367828,36.479519,71.153214,26.375788,0.0043565352,1.5707964,-0.26374385
0.4530755,0.43484116,-0.0024811006,-0.37288147,0.45097795,157.07961,-2.4585819e-05,157.07964,45.01371,70.383537,37.290131,71.16893,25.216728,0.0043565375,1.5707964,-0.25215384
0.45317551,0.43484116,-0.0024810929,-0.38061908,0.4509781,157.07961,-2.45803e-05,157.07964,45.01371,70.399246,38.063934,71.184639,24.032776,0.0043565389,1.5707964,-0.24031495
0.45327553,0.43484116,-0.0024810855,-0.38798094,0.45097831,157.07961,-2.4574963e-05,157.07964,45.01371,70.414955,38.800159,71.200348,22.825096,0.0043565407,1.5707964,-0.22823881
0.45337555,0.43484116,-0.002481078,-0.39495978,0.45097852,157.07961,-2.4569932e-05,157.07964,45.01371,70.430672,39.498081,71.216057,21.594883,0.0043565431,1.5707964,-0.21593733
0.45347556,0.43484116,-0.002481071,-0.40154871,0.4509787,157.07961,-2.4565292e-05,157.07964,45.01371,70.446381,40.157009,71.231766,20.343353,0.0043565445,1.5707964,-0.2034227
0.45357558,0.43484116,-0.0024810636,-0.40774122,0.4509789,157.07961,-2.4561057e-05,157.07964,45.01371,70.46209,40.776295,71.247482,19.071739,0.0043565468,1.5707964,-0.19070724
0.4536756,0.43484116,-0.0024810557,-0.41353121,0.45097908,157.07961,-2.4557432e-05,157.07964,45.01371,70.477798,41.355324,71.263191,17.781298,0.0043565487,1.5707964,-0.1778035
0.45377561,0.43484116,-0.0024810475,-0.41891298,0.45097929,157.07961,-2.4554347e-05,157.07964,45.01371,70.493507,41.893528,71.2789,16.473303,0.0043565505,1.5707964,-0.16472425
0.45387563,0.43484116,-0.0024810398,-0.42388117,0.4509795,157.07961,-2.4551715e-05,157.07964,45.01371,70.509224,42.390373,71.294609,15.149044,0.0043565528,1.5707964,-0.15148237
0.45397568,0.43484116,-0.0024810324,-0.42843091,0.45097965,157.07961,-2.454947e-05,157.07964,45.01371,70.524933,42.845371,71.310318,13.809831,0.0043565542,1.5707964,-0.13809095
0.45407569,0.43484116,-0.0024810249,-0.4325577,0.45097989,157.07961,-2.4547689e-05,157.07964,45.01371,70.540642,43.258072,71.326035,12.456985,0.0043565561,1.5707964,-0.1245632
0.45417571,0.43484116,-0.0024810173,-0.43625745,0.4509801,157.07961,-2.4546209e-05,157.07964,45.01371,70.556351,43.628071,71.341743,11.09184,0.0043565584,1.5707964,-0.11091249
0.45427573,0.43484116,-0.0024810096,-0.43952656,0.45098025,157.07961,-2.4544941e-05,157.07964,45.01371,70.572067,43.954994,71.357452,9.7157459,0.0043565598,1.5707964,-0.097152285
0.45437574,0.43484116,-0.0024810021,-0.44236174,0.45098048,157.07961,-2.4544042e-05,157.07964,45.01371,70.587776,44.238529,71.373161,8.33006,0.0043565622,1.5707964,-0.083296165
0.45447576,0.43484116,-0.0024809949,-0.4447602,0.45098069,157.07961,-2.4543482e-05,157.07964,45.01371,70.603485,44.47839,71.388878,6.936151,0.004356564,1.5707964,-0.069357812
0.45457578,0.43484116,-0.0024809875,-0.44671962,0.45098087,157.07961,-2.4543288e-05,157.07964,45.01371,70.619194,44.674339,71.404587,5.5353947,0.0043565659,1.5707964,-0.055350997
0.45467579,0.43484116,-0.0024809798,-0.44823802,0.45098111,157.07961,-2.4543475e-05,157.07964,45.01371,70.634903,44.826191,71.420296,4.1291738,0.0043565682,1.5707964,-0.041289534
0.45477581,0.43484116,-0.0024809714,-0.44931394,0.45098129,157.07961,-2.4544162e-05,157.07964,45.01371,70.65062,44.933784,71.436005,2.7188761,0.0043565696,1.5707964,-0.02718731
0.45487583,0.43484116,-0.0024809628,-0.44994625,0.45098147,157.07961,-2.4545272e-05,157.07964,45.01371,70.666328,44.997021,71.451714,1.3058946,0.0043565719,1.5707964,-0.013058248
0.45497584,0.43484116,-0.0024809546,-0.4501344,0.45098171,157.07961,-2.4546769e-05,157.07964,45.01371,70.682037,45.015839,71.46743,-0.10837619,0.0043565738,1.5707964,0.0010837072
0.45507586,0.43484116,-0.0024809472,-0.44987819,0.45098186,157.07961,-2.4548624e-05,157.07964,45.01371,70.697746,44.990211,71.483139,-1.5225399,0.0043565752,1.5707964,0.015224591
0.45517588,0.43484116,-0.00248094,-0.4491778,0.45098209,157.07961,-2.4550909e-05,157.07964,45.01371,70.713463,44.920174,71.498848,-2.9352007,0.0043565775,1.5707964,0.029350447
0.45527589,0.43484116,-0.0024809327,-0.44803402,0.45098233,157.07961,-2.4553554e-05,157.07964,45.01371,70.729172,44.805786,71.514557,-4.3449636,0.0043565799,1.5707964,0.043447327
0.45537591,0.43484116,-0.0024809258,-0.44644794,0.45098248,157.07961,-2.4556532e-05,157.07964,45.01371,70.744881,44.647171,71.530273,-5.7504373,0.0043565813,1.5707964,0.057501312
0.45547593,0.43484116,-0.0024809192,-0.44442111,0.45098272,157.07961,-2.4559822e-05,157.07964,45.01371,70.76059,44.444477,71.545982,-7.1502342,0.0043565836,1.5707964,0.071498536
0.45557594,0.43484116,-0.002480913,-0.44195554,0.45098293,157.07961,-2.4563386e-05,157.07964,45.01371,70.776299,44.197906,71.561691,-8.5429716,0.0043565854,1.5707964,0.085425176
0.45567596,0.43484116,-0.0024809069,-0.43905365,0.45098308,157.07961,-2.4567271e-05,157.07964,45.01371,70.792015,43.907703,71.5774,-9.9272766,0.0043565873,1.5707964,0.099267483
0.45577598,0.43484116,-0.0024809011,-0.43571836,0.45098335,157.07961,-2.4571596e-05,157.07964,45.01371,70.807724,43.574158,71.593109,-11.301781,0.0043565896,1.5707964,0.11301178
0.45587599,0.43484116,-0.0024808955,-0.43195292,0.45098349,157.07961,-2.457646e-05,157.07964,45.01371,70.823433,43.19759,71.608826,-12.665127,0.004356591,1.5707964,0.12664454
0.45597601,0.43484116,-0.0024808899,-0.42776105,0.4509837,157.07961,-2.4581846e-05,157.07964,45.01371,70.839142,42.778381,71.624535,-14.015971,0.0043565929,1.5707964,0.14015225
0.45607603,0.43484116,-0.0024808848,-0.42314687,0.45098394,157.07961,-2.4587855e-05,157.07964,45.01371,70.854851,42.31694,71.640244,-15.352978,0.0043565952,1.5707964,0.15352161
0.45617604,0.43484116,-0.0024808799,-0.41811496,0.45098409,157.07961,-2.4594561e-05,157.07964,45.01371,70.870567,41.813725,71.655952,-16.674828,0.0043565966,1.5707964,0.1667394
0.45627606,0.43484116,-0.0024808748,-0.41267028,0.45098436,157.07961,-2.4601801e-05,157.07964,45.01371,70.886276,41.269226,71.671661,-17.980217,0.0043565989,1.5707964,0.1797926
0.45637608,0.43484116,-0.0024808696,-0.40681824,0.45098457,157.07961,-2.4609524e-05,157.07964,45.01371,70.901985,40.68399,71.687378,-19.267857,0.0043566008,1.5707964,0.1926683
0.45647609,0.43484116,-0.0024808643,-0.40056458,0.45098475,157.07961,-2.4617611e-05,157.07964,45.01371,70.917694,40.05859,71.703087,-20.536472,0.0043566027,1.5707964,0.2053538
0.45657611,0.43484116,-0.0024808596,-0.39391544,0.45098498,157.07961,-2.4625984e-05,157.07964,45.01371,70.933411,39.393642,71.718796,-21.784817,0.004356605,1.5707964,0.21783657
0.45667613,0.43484116,-0.0024808554,-0.38687748,0.45098519,157.07961,-2.4634399e-05,157.07964,45.01371,70.94912,38.689808,71.734505,-23.011654,0.0043566069,1.5707964,0.23010428
0.45677614,0.43484116,-0.0024808517,-0.37945753,0.45098537,157.07961,-2.4642879e-05,157.07964,45.01371,70.964828,37.947777,71.750221,-24.215775,0.0043566083,1.5707964,0.24214485
0.45687616,0.43484116,-0.002480848,-0.37166303,0.45098561,157.07961,-2.4651506e-05,157.07964,45.01371,70.980537,37.168282,71.76593,-25.395988,0.0043566106,1.5707964,0.25394636
0.45697618,0.43484116,-0.002480844,-0.36350158,0.45098576,157.07961,-2.4660294e-05,157.07964,45.01371,70.996246,36.352097,71.781639,-26.55113,0.004356612,1.5707964,0.26549718
0.45707619,0.43484116,-0.0024808408,-0.3549813,0.450986,157.07961,-2.4669105e-05,157.07964,45.01371,71.011963,35.500019,71.797348,-27.680063,0.0043566143,1.5707964,0.27678588
0.45717621,0.43484116,-0.0024808377,-0.34611058,0.45098624,157.07961,-2.4678036e-05,157.07964,45.01371,71.027672,34.6129,71.813057,-28.781668,0.0043566166,1.5707964,0.28780136
0.45727623,0.43484116,-0.0024808357,-0.33689818,0.45098642,157.07961,-2.4687133e-05,157.07964,45.01371,71.043381,33.691612,71.828773,-29.85486,0.004356618,1.5707964,0.29853269
0.45737624,0.43484116,-0.0024808333,-0.32735318,0.45098665,157.07961,-2.4696243e-05,157.07964,45.01371,71.05909,32.737061,71.844482,-30.898579,0.0043566204,1.5707964,0.30896935
0.45747626,0.43484116,-0.002480831,-0.317485,0.45098686,157.07961,-2.4705361e-05,157.07964,45.01371,71.074806,31.750193,71.860191,-31.911795,0.0043566222,1.5707964,0.31910095
0.45757627,0.43484116,-0.0024808289,-0.30730343,0.45098704,157.07961,-2.4714524e-05,157.07964,45.01371,71.090515,30.731979,71.8759,-32.893505,0.0043566236,1.5707964,0.32891756
0.45767629,0.43484116,-0.0024808273,-0.29681846,0.45098728,157.07961,-2.472392e-05,157.07964,45.01371,71.106224,29.683428,71.891617,-33.842747,0.004356626,1.5707964,0.33840942
0.45777631,0.43484116,-0.0024808263,-0.28604048,0.45098749,157.07961,-2.4733605e-05,157.07964,45.01371,71.121933,28.605572,71.907326,-34.758575,0.0043566278,1.5707964,0.34756726
0.45787632,0.43484116,-0.0024808256,-0.27498013,0.45098767,157.07961,-2.4743509e-05,157.07964,45.01371,71.137642,27.499477,71.923035,-35.640091,0.0043566297,1.5707964,0.35638192
0.45797634,0.43484116,-0.0024808249,-0.2636483,0.45098794,157.07961,-2.4753588e-05,157.07964,45.01371,71.153358,26.366234,71.938744,-36.486423,0.004356632,1.5707964,0.3648448
0.45807636,0.43484116,-0.002480824,-0.25205621,0.45098808,157.07961,-2.4763831e-05,157.07964,45.01371,71.169067,25.206963,71.954453,-37.296734,0.0043566334,1.5707964,0.37294748
0.45817637,0.43484116,-0.0024808238,-0.24021527,0.45098832,157.07961,-2.4774192e-05,157.07964,45.01371,71.184776,24.022806,71.970169,-38.070225,0.0043566357,1.5707964,0.38068199
0.45827639,0.43484116,-0.0024808242,-0.22813721,0.45098856,157.07961,-2.4784556e-05,157.07964,45.01371,71.200485,22.814936,71.985878,-38.806133,0.0043566376,1.5707964,0.38804069
0.45837641,0.43484116,-0.0024808252,-0.21583392,0.45098871,157.07961,-2.4794837e-05,157.07964,45.01371,71.216194,21.584541,72.001587,-39.503735,0.004356639,1.5707964,0.39501631
0.45847642,0.43484116,-0.0024808263,-0.20331755,0.45098898,157.07961,-2.4805158e-05,157.07964,45.01371,71.231911,20.332838,72.017296,-40.162334,0.0043566413,1.5707964,0.40160194
0.45857644,0.43484116,-0.0024808275,-0.19060047,0.45098919,157.07961,-2.4815463e-05,157.07964,45.01371,71.24762,19.061062,72.033005,-40.781284,0.0043566437,1.5707964,0.40779114
0.45867646,0.43484116,-0.0024808289,-0.17769521,0.45098937,157.07961,-2.4825735e-05,157.07964,45.01371,71.263329,17.770468,72.048721,-41.359978,0.004356645,1.5707964,0.41357777
0.45877647,0.43484116,-0.002480831,-0.16461454,0.4509896,157.07961,-2.4835947e-05,157.07964,45.01371,71.279037,16.462332,72.06443,-41.897839,0.0043566474,1.5707964,0.4189561
0.45887649,0.43484116,-0.0024808336,-0.15137137,0.45098978,157.07961,-2.4846144e-05,157.07964,45.01371,71.294754,15.137943,72.080139,-42.394341,0.0043566488,1.5707964,0.42392081
0.45897651,0.43484116,-0.0024808364,-0.13797876,0.45098999,157.07961,-2.4856343e-05,157.07964,45.01371,71.310463,13.798611,72.095848,-42.848988,0.0043566511,1.5707964,0.42846707
0.45907652,0.43484116,-0.0024808391,-0.12444994,0.45099026,157.07961,-2.4866586e-05,157.07964,45.01371,71.326172,12.445657,72.111565,-43.261333,0.0043566534,1.5707964,0.43259031
0.45917654,0.43484116,-0.0024808412,-0.11079825,0.45099041,157.07961,-2.4876917e-05,157.07964,45.01371,71.341881,11.080416,72.127274,-43.630974,0.0043566544,1.5707964,0.43628648
0.45927656,0.43484116,-0.0024808443,-0.097037189,0.45099065,157.07961,-2.4887182e-05,157.07964,45.01371,71.35759,9.704236,72.142982,-43.957539,0.0043566567,1.5707964,0.43955198
0.45937657,0.43484116,-0.0024808475,-0.083180331,0.45099089,157.07961,-2.4897341e-05,157.07964,45.01371,71.373306,8.3184757,72.158691,-44.240707,0.004356659,1.5707964,0.44238353
0.45947659,0.43484116,-0.0024808517,-0.069241352,0.45099103,157.07961,-2.4907338e-05,157.07964,45.01371,71.389015,6.9245043,72.1744,-44.480206,0.0043566604,1.5707964,0.44477835
0.45957661,0.43484116,-0.0024808559,-0.055234022,0.45099127,157.07961,-2.4917266e-05,157.07964,45.01371,71.404724,5.5236964,72.190117,-44.675789,0.0043566627,1.5707964,0.4467341
0.45967662,0.43484116,-0.0024808599,-0.041172165,0.45099148,157.07961,-2.4927051e-05,157.07964,45.01371,71.420433,4.1174355,72.205826,-44.827271,0.0043566646,1.5707964,0.44824883
0.45977664,0.43484116,-0.0024808643,-0.02706966,0.45099169,157.07961,-2.4936682e-05,157.07964,45.01371,71.43615,2.7071099,72.221535,-44.934494,0.0043566665,1.5707964,0.44932103
0.45987666,0.43484116,-0.0024808694,-0.012940431,0.45099193,157.07961,-2.4946161e-05,157.07964,45.01371,71.451859,1.294112,72.237244,-44.99736,0.0043566688,1.5707964,0.44994965
0.45997667,0.43484116,-0.002480875,0.0012015714,0.45099208,157.07961,-2.4955516e-05,157.07964,45.01371,71.467567,-0.12016364,72.252953,-45.015808,0.0043566702,1.5707964,0.4501341
0.46007669,0.43484116,-0.0024808801,0.015342388,0.45099232,157.07961,-2.4965062e-05,157.07964,45.01371,71.483276,-1.5343207,72.268669,-44.989811,0.0043566721,1.5707964,0.44987416
0.46017671,0.43484116,-0.0024808836,0.02946806,0.45099255,157.07961,-2.4975065e-05,157.07964,45.01371,71.498985,-2.9469631,72.284378,-44.919403,0.0043566744,1.5707964,0.44917011
